period,NS,EW,UD,H
2.000000e-02,7.562686e-03,8.733800e-03,4.683877e-03,1.155307e-02
2.129572e-02,8.586082e-03,9.913906e-03,5.326641e-03,1.311512e-02
2.267538e-02,9.751923e-03,1.125186e-02,6.064832e-03,1.488974e-02
2.414443e-02,1.107755e-02,1.276578e-02,6.907894e-03,1.690199e-02
2.570865e-02,1.259069e-02,1.448811e-02,7.879305e-03,1.919455e-02
2.737421e-02,1.432349e-02,1.643937e-02,8.990581e-03,2.180402e-02
2.914768e-02,1.631524e-02,1.866225e-02,1.027027e-02,2.478844e-02
3.103604e-02,1.860716e-02,2.117922e-02,1.175906e-02,2.819195e-02
3.304674e-02,2.124445e-02,2.403572e-02,1.348913e-02,3.207869e-02
3.518770e-02,2.429671e-02,2.729131e-02,1.552768e-02,3.653965e-02
3.746737e-02,2.787462e-02,3.107476e-02,1.793528e-02,4.174488e-02
3.989473e-02,3.200437e-02,3.542495e-02,2.062875e-02,4.774104e-02
4.247935e-02,3.676253e-02,4.041905e-02,2.394786e-02,5.463683e-02
4.523142e-02,4.291991e-02,4.623948e-02,2.905697e-02,6.308889e-02
4.816178e-02,5.050579e-02,5.365644e-02,3.310795e-02,7.368750e-02
5.128199e-02,5.896668e-02,6.506560e-02,3.672133e-02,8.781004e-02
5.460434e-02,7.125830e-02,7.568427e-02,4.279992e-02,1.039512e-01
5.814194e-02,8.244386e-02,8.962394e-02,5.546969e-02,1.217762e-01
6.190872e-02,9.832077e-02,1.137416e-01,7.104231e-02,1.503467e-01
6.591954e-02,1.216436e-01,1.497804e-01,8.031206e-02,1.929542e-01
7.019020e-02,1.490479e-01,1.859131e-01,8.581594e-02,2.382833e-01
7.473754e-02,1.805615e-01,2.306984e-01,1.046666e-01,2.929577e-01
7.957948e-02,2.312196e-01,3.309783e-01,1.284759e-01,4.037439e-01
8.473512e-02,2.431826e-01,3.695733e-01,1.342127e-01,4.424050e-01
9.022476e-02,3.202312e-01,4.297916e-01,1.537394e-01,5.359747e-01
9.607006e-02,4.246966e-01,6.784683e-01,1.998064e-01,8.004289e-01
1.022941e-01,5.560691e-01,8.506804e-01,1.940412e-01,1.016302e+00
1.089213e-01,5.735422e-01,7.013226e-01,2.924291e-01,9.059823e-01
