frequency,NS,EW,UD
0.000000e+00,2.277800e-01,2.894000e-02,2.146500e-01
4.166667e-03,1.070000e-01,1.340674e-01,2.431918e-02
8.333333e-03,1.493813e-01,2.725720e-01,3.719496e-02
1.250000e-02,3.642649e-01,4.469573e-01,6.384594e-02
1.666667e-02,6.806976e-01,6.255396e-01,1.920807e-01
2.083333e-02,9.020021e-01,6.941594e-01,5.941831e-01
2.500000e-02,9.057417e-01,7.630344e-01,1.448595e+00
2.916667e-02,5.473866e-01,1.248422e+00,2.867107e+00
3.333333e-02,1.072345e+00,2.659157e+00,4.478464e+00
3.750000e-02,1.825116e+00,4.374162e+00,5.483815e+00
4.166667e-02,1.867620e+00,5.275483e+00,5.250983e+00
4.583333e-02,1.864726e+00,4.861296e+00,4.372360e+00
5.000000e-02,2.113799e+00,4.868337e+00,4.188071e+00
5.416667e-02,2.255870e+00,5.339856e+00,4.077594e+00
5.833333e-02,2.436746e+00,6.000260e+00,3.925858e+00
6.250000e-02,5.113546e+00,3.292223e+00,4.574146e+00
6.666667e-02,8.713560e-01,7.362417e-01,1.566452e+00
7.083333e-02,2.790984e+00,2.402033e+00,3.486145e+00
7.500000e-02,3.201777e+00,2.467252e+00,3.619399e+00
7.916667e-02,3.084656e+00,2.423692e+00,3.804750e+00
8.333333e-02,1.525814e+00,1.739396e+00,2.012158e+00
8.750000e-02,2.405550e+00,3.491758e+00,2.608986e+00
9.166667e-02,2.164214e+00,3.994524e+00,1.308907e+00
9.583333e-02,1.402168e+00,1.954453e+00,1.667934e+00
1.000000e-01,1.009357e+00,2.669366e+00,2.496140e+00
1.041667e-01,4.078599e+00,1.354631e+00,6.154509e-01
1.083333e-01,2.781106e+00,1.874999e+00,3.444194e+00
1.125000e-01,4.645446e+00,4.395946e+00,3.041238e+00
1.166667e-01,2.904667e+00,2.851069e+00,4.287262e+00
1.208333e-01,3.622560e+00,4.326054e+00,3.398002e+00
1.250000e-01,5.563241e-01,3.391216e+00,2.472413e+00
1.291667e-01,3.887296e+00,4.194874e+00,9.681758e-01
1.333333e-01,1.714528e+00,1.676865e+00,3.100432e+00
1.375000e-01,3.041784e+00,1.175747e+00,8.294724e-01
1.416667e-01,2.315349e+00,3.261549e+00,4.371634e+00
1.458333e-01,1.543452e+00,2.311467e+00,2.520494e+00
1.500000e-01,1.853947e+00,3.791769e-01,1.835078e+00
1.541667e-01,2.067324e+00,2.620374e+00,1.029216e+00
1.583333e-01,2.039702e+00,2.576641e+00,2.529764e+00
1.625000e-01,2.097267e+00,1.844436e+00,2.799437e+00
1.666667e-01,2.953061e+00,4.496417e+00,3.065057e+00
1.708333e-01,4.549170e+00,2.379349e+00,3.172321e+00
1.750000e-01,2.545998e+00,2.928151e+00,4.093453e+00
1.791667e-01,1.702380e+00,4.729303e+00,2.747936e+00
1.833333e-01,2.749715e+00,6.382705e+00,4.601122e+00
1.875000e-01,4.417341e+00,6.075308e+00,2.093476e+00
1.916667e-01,5.917165e+00,4.929636e+00,1.066695e+00
1.958333e-01,4.115420e+00,3.444874e+00,1.441521e+00
2.000000e-01,6.897001e+00,6.176063e+00,8.045556e+00
2.041667e-01,5.480898e+00,5.016381e+00,4.667036e+00
2.083333e-01,2.702064e+00,4.163008e+00,5.694103e+00
2.125000e-01,5.109181e+00,9.639944e+00,4.110368e+00
2.166667e-01,1.190036e+01,9.494536e+00,2.915890e+00
2.208333e-01,4.186266e+00,1.787138e+00,5.152308e+00
2.250000e-01,5.618620e+00,2.510235e+00,2.944882e+00
2.291667e-01,8.204365e+00,4.041120e+00,3.953334e+00
2.333333e-01,1.034039e+01,8.610962e+00,4.819740e+00
2.375000e-01,7.899574e+00,1.242997e+01,3.275031e+00
2.416667e-01,1.246712e+01,6.919713e+00,6.446277e+00
2.458333e-01,9.657822e+00,4.694192e+00,6.736424e+00
2.500000e-01,7.569215e+00,9.841420e+00,5.341021e+00
2.541667e-01,9.927043e+00,1.212876e+01,6.056741e+00
2.583333e-01,6.764497e+00,4.293452e+00,7.862210e+00
2.625000e-01,3.228268e+00,1.862003e+00,5.763214e+00
2.666667e-01,4.214789e+00,2.447908e+00,3.580235e+00
2.708333e-01,1.092318e+01,7.482025e+00,3.093262e+00
2.750000e-01,1.317236e+01,1.132257e+01,1.640108e+00
2.791667e-01,3.651531e+00,1.147730e+01,2.776645e+00
2.833333e-01,2.398781e+00,6.332541e+00,1.454122e+00
2.875000e-01,1.137631e+01,2.915498e+00,9.220909e+00
2.916667e-01,8.996044e+00,1.357882e+01,5.920047e+00
2.958333e-01,6.209033e+00,1.174572e+01,2.803143e+00
3.000000e-01,1.833854e+00,1.380250e+01,2.203987e+00
3.041667e-01,6.834477e-01,1.224423e+01,1.386986e+00
3.083333e-01,1.386035e+01,6.637712e+00,7.079632e-01
3.125000e-01,1.903322e+01,7.045711e+00,5.414424e+00
3.166667e-01,2.054143e+01,8.794997e+00,1.906945e+00
3.208333e-01,4.561409e+00,1.737427e+01,3.130048e+00
3.250000e-01,4.640901e+00,1.664460e+01,4.950811e+00
