frequency,NS,EW,UD
0.000000e+00,5.149415e+02,2.056350e+02,4.051000e+03
7.194245e-03,1.032177e-01,3.222480e-01,2.117245e-01
1.438849e-02,3.231886e-01,6.049104e-01,1.759279e-01
2.158273e-02,8.066241e-01,7.931058e-01,1.287530e-01
2.877698e-02,1.820327e+00,6.240087e-01,1.789819e+00
3.597122e-02,1.261893e+00,5.755735e-01,3.204274e+00
4.316547e-02,4.354276e-01,5.696323e-01,2.740960e+00
5.035971e-02,9.071884e-01,2.084591e+00,3.916885e+00
5.755396e-02,1.038167e+00,2.626934e+00,2.613968e+00
6.474820e-02,1.362447e+00,1.015215e+00,1.259452e+00
7.194245e-02,1.585645e+00,2.423138e+00,2.301741e+00
7.913669e-02,3.319769e-01,1.049189e+00,4.084099e-01
8.633094e-02,1.658156e+00,1.086428e+00,2.983933e+00
9.352518e-02,1.897368e+00,1.887683e+00,7.263700e-01
1.007194e-01,3.871119e+00,3.547942e+00,1.802725e+00
1.079137e-01,3.730450e+00,4.498182e+00,2.614863e+00
1.151079e-01,3.944261e+00,4.887049e+00,1.727490e+00
1.223022e-01,7.932968e+00,3.296703e+00,9.125272e-01
1.294964e-01,1.258242e+01,4.019575e+00,6.856324e+00
1.366906e-01,1.260899e+01,8.689086e-01,4.324308e+00
1.438849e-01,8.827391e+00,6.168841e+00,4.831975e+00
1.510791e-01,1.052828e+01,6.651048e+00,5.037797e+00
1.582734e-01,2.433653e+00,6.356759e+00,8.438902e+00
1.654676e-01,4.503243e+00,6.978657e+00,6.222465e+00
1.726619e-01,1.171305e+01,5.248261e+00,4.078358e+00
1.798561e-01,1.387208e+01,2.509445e+00,5.918919e+00
1.870504e-01,3.909534e+00,8.868750e+00,6.152421e+00
1.942446e-01,1.239974e+01,8.216914e+00,8.005304e+00
2.014388e-01,5.143805e+00,9.196668e+00,4.915154e+00
2.086331e-01,1.146189e+01,1.470875e+01,3.093704e+00
2.158273e-01,4.383874e+00,6.207103e+00,2.746447e+00
2.230216e-01,1.595018e+01,8.110099e+00,5.565700e+00
2.302158e-01,2.063836e+00,3.249384e+00,5.045699e+00
2.374101e-01,5.454724e+00,3.707517e+00,1.170542e+00
2.446043e-01,8.002964e+00,4.150337e+00,4.021191e+00
2.517986e-01,4.689955e+00,9.603343e+00,2.218287e+00
2.589928e-01,6.749992e+00,1.009522e+01,2.926571e+00
2.661871e-01,7.567240e+00,3.272480e+00,3.395184e+00
2.733813e-01,5.022455e+00,6.859645e+00,7.633155e+00
2.805755e-01,9.149873e+00,4.019117e+00,8.487289e+00
2.877698e-01,1.589193e+01,7.548887e+00,2.926862e+00
2.949640e-01,1.014263e+01,8.533080e+00,7.893480e+00
3.021583e-01,1.281667e+01,4.699138e+00,2.462822e+00
3.093525e-01,1.439595e+01,3.199803e+00,3.863558e+00
3.165468e-01,2.145284e+01,9.175478e+00,8.763204e+00
3.237410e-01,1.441618e+00,1.463072e+01,6.431673e+00
3.309353e-01,1.032387e+01,1.443145e+01,6.354847e+00
3.381295e-01,1.073051e+01,2.261860e+00,5.733528e+00
3.453237e-01,3.022743e-01,7.098198e+00,1.701878e+00
3.525180e-01,9.818105e+00,4.134080e+00,4.924665e+00
3.597122e-01,1.147610e+01,1.303185e+01,4.884650e+00
3.669065e-01,5.773276e+00,1.063996e+01,6.056887e+00
3.741007e-01,1.036302e+01,7.695942e+00,1.209559e+00
3.812950e-01,3.029189e+00,8.255121e+00,7.228046e+00
3.884892e-01,6.968847e+00,6.501364e+00,5.578863e+00
3.956835e-01,4.872880e+00,4.899237e+00,4.571753e+00
4.028777e-01,1.391608e+01,3.471154e+00,1.053855e+01
4.100719e-01,6.391732e+00,5.207484e+00,5.040071e+00
4.172662e-01,1.482963e+00,2.907169e+00,3.288365e+00
4.244604e-01,5.721135e+00,8.058256e+00,1.450409e+00
4.316547e-01,2.191275e+00,7.154958e+00,2.986776e+00
4.388489e-01,3.365537e+00,4.281501e+00,2.963562e+00
4.460432e-01,8.674761e-01,1.042192e+01,4.459284e+00
