period,NS,EW,UD,H
2.000000e-02,2.616077e-03,5.706313e-03,3.101401e-02,6.277409e-03
2.129572e-02,2.972939e-03,8.166464e-03,4.439968e-02,8.690771e-03
2.267538e-02,3.382359e-03,9.209135e-03,5.006772e-02,9.810633e-03
2.414443e-02,3.825371e-03,9.770279e-03,5.311643e-02,1.049246e-02
2.570865e-02,4.342258e-03,1.014015e-02,5.512552e-02,1.103077e-02
2.737421e-02,4.941756e-03,1.054380e-02,5.730135e-02,1.164442e-02
2.914768e-02,5.669908e-03,1.078715e-02,5.863859e-02,1.218649e-02
3.103604e-02,6.970260e-03,1.246711e-02,6.774912e-02,1.428332e-02
3.304674e-02,7.779675e-03,1.391760e-02,7.564264e-02,1.594437e-02
3.518770e-02,9.073794e-03,1.428175e-02,7.763208e-02,1.692046e-02
3.746737e-02,1.178918e-02,1.360044e-02,7.393949e-02,1.799880e-02
3.989473e-02,1.483707e-02,1.579747e-02,7.007826e-02,2.167253e-02
4.247935e-02,1.797788e-02,1.825517e-02,8.314386e-02,2.562139e-02
4.523142e-02,2.445358e-02,2.007957e-02,9.549528e-02,3.164122e-02
4.816178e-02,2.494609e-02,2.763008e-02,1.070739e-01,3.722537e-02
5.128199e-02,2.775399e-02,2.977031e-02,1.178523e-01,4.070080e-02
5.460434e-02,3.407716e-02,4.151619e-02,1.278269e-01,5.371077e-02
5.814194e-02,4.595175e-02,5.310160e-02,1.370120e-01,7.022352e-02
6.190872e-02,5.485034e-02,6.849686e-02,1.454346e-01,8.775181e-02
6.591954e-02,6.076829e-02,6.835758e-02,1.531304e-01,9.146335e-02
7.019020e-02,7.962238e-02,7.666514e-02,1.601408e-01,1.105317e-01
7.473754e-02,1.146194e-01,9.406245e-02,1.665103e-01,1.482746e-01
7.957948e-02,1.223168e-01,1.377253e-01,1.722850e-01,1.842000e-01
8.473512e-02,1.383859e-01,1.780906e-01,1.775107e-01,2.255370e-01
9.022476e-02,1.568619e-01,1.615684e-01,1.925407e-01,2.251888e-01
9.607006e-02,1.656605e-01,2.070800e-01,2.084497e-01,2.651896e-01
1.022941e-01,2.052211e-01,2.933790e-01,2.231258e-01,3.580320e-01
1.089213e-01,1.872559e-01,2.660309e-01,2.366057e-01,3.253263e-01
1.159778e-01,1.962235e-01,2.978744e-01,2.489412e-01,3.566971e-01
1.234916e-01,2.059634e-01,3.611876e-01,2.647248e-01,4.157852e-01
1.314921e-01,2.373403e-01,3.241924e-01,2.876786e-01,4.017850e-01
1.400110e-01,2.289765e-01,4.055768e-01,3.089277e-01,4.657497e-01
1.490817e-01,2.860492e-01,4.802698e-01,3.285042e-01,5.590020e-01
1.587401e-01,3.192883e-01,4.805498e-01,3.464655e-01,5.769516e-01
1.690242e-01,3.712256e-01,5.605705e-01,3.640565e-01,6.723449e-01
1.799746e-01,4.550909e-01,6.978628e-01,3.914532e-01,8.331388e-01
1.916345e-01,4.597464e-01,7.832078e-01,4.167087e-01,9.081746e-01
2.040497e-01,5.363834e-01,9.110843e-01,4.405806e-01,1.057252e+00
2.172693e-01,5.937515e-01,8.488724e-01,4.746163e-01,1.035918e+00
2.313453e-01,6.680927e-01,1.090218e+00,5.060303e-01,1.278641e+00
2.463332e-01,6.898684e-01,1.074444e+00,5.372117e-01,1.276851e+00
2.622921e-01,9.556975e-01,1.186044e+00,5.705178e-01,1.523174e+00
2.792850e-01,9.811736e-01,1.525573e+00,6.066436e-01,1.813856e+00
2.973787e-01,9.967397e-01,1.855898e+00,6.478973e-01,2.106619e+00
3.166447e-01,1.328669e+00,1.861563e+00,7.218754e-01,2.287090e+00
3.371588e-01,1.445428e+00,1.956708e+00,7.322951e-01,2.432688e+00
3.590020e-01,1.407789e+00,1.664784e+00,7.935209e-01,2.180224e+00
3.822603e-01,1.553586e+00,1.794386e+00,9.611649e-01,2.373489e+00
4.070254e-01,1.436506e+00,1.833680e+00,8.891250e-01,2.329363e+00
4.333949e-01,1.713834e+00,1.943404e+00,1.104482e+00,2.591148e+00
4.614729e-01,1.816375e+00,1.868073e+00,1.123632e+00,2.605555e+00
4.913698e-01,1.846578e+00,1.509143e+00,1.096859e+00,2.384819e+00
5.232037e-01,2.041004e+00,1.871793e+00,1.440771e+00,2.769351e+00
5.571000e-01,1.625113e+00,1.699627e+00,1.213219e+00,2.351537e+00
5.931922e-01,1.874953e+00,1.490960e+00,1.290536e+00,2.395498e+00
6.316228e-01,2.101553e+00,1.563275e+00,1.472531e+00,2.619228e+00
6.725431e-01,2.600312e+00,1.846894e+00,1.579894e+00,3.189457e+00
7.161144e-01,2.748196e+00,2.606653e+00,1.558800e+00,3.787773e+00
7.625086e-01,2.554887e+00,2.768344e+00,1.659001e+00,3.767118e+00
8.119085e-01,2.438549e+00,2.834970e+00,1.877589e+00,3.739462e+00
8.645087e-01,2.609441e+00,3.289497e+00,1.880101e+00,4.198806e+00
9.205168e-01,2.069844e+00,2.436184e+00,2.002594e+00,3.196756e+00
9.801534e-01,2.006073e+00,3.053863e+00,2.132865e+00,3.653821e+00
1.043654e+00,2.342465e+00,3.507331e+00,2.271040e+00,4.217643e+00
1.111268e+00,2.745698e+00,3.617955e+00,2.417038e+00,4.541856e+00
1.183262e+00,3.719879e+00,3.844990e+00,2.574268e+00,5.349902e+00
1.259921e+00,4.948436e+00,4.569010e+00,2.741157e+00,6.735196e+00
1.341546e+00,5.292844e+00,4.217981e+00,2.918712e+00,6.767980e+00
1.428460e+00,4.929463e+00,4.678488e+00,3.107731e+00,6.796165e+00
