frequency,NS,EW,UD
0.000000e+00,6.355216e+02,1.194645e+01,9.547911e+02
6.060606e-03,2.641584e-01,1.124963e+00,3.570961e-01
1.212121e-02,1.137846e-01,2.154616e+00,5.479043e-01
1.818182e-02,1.249920e-01,3.123193e+00,1.255182e+00
2.424242e-02,6.250953e-01,4.202837e+00,2.279314e+00
3.030303e-02,8.234006e-01,7.660336e+00,2.867185e+00
3.636364e-02,7.678999e-01,1.108785e+01,2.342571e+00
4.242424e-02,1.787251e+00,1.202071e+01,1.434551e+00
4.848485e-02,2.820258e+00,1.084583e+01,2.298274e+00
5.454545e-02,1.255994e-01,1.004126e+01,1.995249e+00
6.060606e-02,1.020836e+00,9.469409e+00,4.555368e+00
6.666667e-02,1.594979e+00,4.925266e+00,4.987401e+00
7.272727e-02,1.347164e+00,4.885775e+00,2.808918e+00
7.878788e-02,3.344179e+00,4.635176e+00,3.663904e+00
8.484848e-02,7.710316e-01,3.519569e+00,4.236850e+00
9.090909e-02,1.696622e+00,1.599309e+00,4.375334e+00
9.696970e-02,7.760963e-01,5.751133e+00,1.693492e+00
1.030303e-01,4.478796e-01,1.773884e+00,3.305038e+00
1.090909e-01,2.591248e+00,4.067757e+00,3.876034e+00
1.151515e-01,2.968541e+00,5.860381e+00,4.550868e+00
1.212121e-01,4.869387e+00,6.156643e+00,3.708406e+00
1.272727e-01,1.620086e+00,2.112392e+00,9.371171e-01
1.333333e-01,7.172774e+00,8.705403e+00,3.217337e+00
1.393939e-01,8.178185e+00,1.372140e+01,3.062031e+00
1.454545e-01,9.007853e+00,9.931414e+00,5.123100e+00
1.515152e-01,1.407337e+01,1.358468e+01,3.404694e+00
1.575758e-01,2.075406e+01,1.380035e+01,9.781835e+00
1.636364e-01,1.466563e+01,8.365959e+00,1.265643e+01
1.696970e-01,1.888421e+01,6.524850e+00,1.863151e+01
1.757576e-01,1.404404e+01,5.763936e+00,1.743575e+01
1.818182e-01,7.890602e+00,3.993311e-01,1.793848e+01
1.878788e-01,9.040209e+00,8.961390e+00,1.138699e+01
1.939394e-01,5.625282e+00,1.574698e+01,2.484752e+01
2.000000e-01,1.557180e+01,1.594738e+01,2.219487e+01
2.060606e-01,1.692029e+00,1.040900e+01,1.580130e+01
2.121212e-01,2.837603e+01,2.145504e+01,1.454935e+01
2.181818e-01,1.947356e+01,1.032468e+01,1.283394e+01
2.242424e-01,1.412944e+01,1.812519e+01,1.441637e+01
2.303030e-01,8.275958e+00,1.462106e+01,1.851719e+01
2.363636e-01,3.305012e+01,3.481110e+01,2.951610e+01
2.424242e-01,1.114249e+01,1.217694e+01,7.682300e+00
2.484848e-01,7.775689e+00,1.893706e+01,2.355118e+01
2.545455e-01,5.812508e+00,2.853402e+01,1.929960e+01
2.606061e-01,1.797750e+01,2.917999e+01,2.777112e+01
2.666667e-01,1.453531e+01,2.000314e+01,3.108527e+01
2.727273e-01,6.745640e+00,1.305988e+01,1.720144e+01
2.787879e-01,8.931442e+00,2.657763e+01,1.587483e+01
2.848485e-01,1.962910e+00,9.497956e+00,6.090710e+00
2.909091e-01,1.977235e+01,1.313209e+01,1.167330e+01
2.969697e-01,4.118790e+00,1.361463e+01,7.216981e+00
3.030303e-01,9.101175e+00,1.434461e+01,1.766291e+01
3.090909e-01,9.918474e+00,1.409170e+01,1.023785e+01
3.151515e-01,1.537922e+01,1.657854e+01,1.791653e+01
3.212121e-01,7.139192e+00,2.016411e+01,8.087238e+00
3.272727e-01,2.321394e+01,1.617035e+01,4.336578e+00
3.333333e-01,1.307197e+01,1.831861e+01,7.019637e+00
3.393939e-01,7.676086e+00,7.945570e+00,1.822712e+01
3.454545e-01,1.275754e+01,1.484842e+01,1.581770e+01
3.515152e-01,1.361348e+01,1.471706e+01,4.595820e+00
3.575758e-01,2.278426e+01,1.260803e+01,4.240948e+00
3.636364e-01,1.317399e+01,1.499395e+01,1.414604e+01
3.696970e-01,1.649265e+01,7.174750e+00,3.256839e+01
3.757576e-01,3.346945e+00,2.081839e+01,4.708981e+01
3.818182e-01,1.108639e+01,1.264600e+01,3.035848e+01
3.878788e-01,7.093999e+00,3.318113e+01,3.418185e+01
3.939394e-01,3.227948e+00,2.118592e+01,2.612252e+01
4.000000e-01,7.325552e+00,2.158338e+01,4.236916e+01
4.060606e-01,2.692306e+01,1.986680e+01,4.468453e+01
4.121212e-01,2.531798e+01,2.490138e+01,4.170731e+01
4.181818e-01,3.555810e+01,3.482499e+01,3.741161e+01
4.242424e-01,3.914920e+01,4.321629e+01,1.758037e+01
4.303030e-01,4.675662e+01,5.886956e+01,1.283325e+01
4.363636e-01,4.660851e+01,5.914052e+01,1.669687e+01
4.424242e-01,4.241908e+01,5.439412e+01,3.306039e+01
4.484848e-01,3.644707e+01,4.694762e+01,2.470967e+01
4.545455e-01,3.981383e+01,4.099833e+01,6.083655e+00
4.606061e-01,3.262083e+01,2.866191e+01,1.725913e+01
4.666667e-01,1.926800e+01,1.466609e+01,1.982011e+01
4.727273e-01,2.901890e+01,9.220877e+00,3.451821e+01
4.787879e-01,2.453000e+01,1.389382e+01,2.356069e+01
4.848485e-01,3.106850e+01,1.577014e+01,1.386403e+01
4.909091e-01,2.749916e+01,2.280616e+01,1.638522e+01
4.969697e-01,2.815935e+01,1.269324e+01,1.046441e+01
5.030303e-01,2.983812e+01,1.979455e+01,6.772170e+00
5.090909e-01,3.247212e+01,1.622120e+01,3.743131e+00
5.151515e-01,2.603921e+01,1.918168e+01,1.530658e+01
5.212121e-01,1.869819e+01,1.914902e+01,1.226687e+01
5.272727e-01,2.990157e+01,1.263276e+01,1.420950e+01
5.333333e-01,3.759995e+01,8.367275e+00,6.108986e+00
5.393939e-01,2.981040e+01,1.561550e+01,2.724245e+00
5.454545e-01,2.361179e+01,8.238048e+00,3.670171e+00
5.515152e-01,3.245645e+01,6.347544e+00,4.865451e+00
5.575758e-01,1.587896e+01,7.767378e+00,1.395303e+01
5.636364e-01,2.984324e+01,8.932850e+00,1.526464e+01
5.696970e-01,2.444328e+01,2.923242e+00,3.099207e+01
5.757576e-01,2.405767e+01,1.535298e+01,2.936355e+01
5.818182e-01,1.738648e+01,9.273342e+00,2.344765e+01
5.878788e-01,1.281625e+01,1.313950e+01,3.556914e+01
5.939394e-01,1.685444e+01,1.445022e+01,2.588371e+01
6.000000e-01,2.477967e+01,1.188951e+01,2.216931e+01
6.060606e-01,4.539524e+01,9.970091e+00,1.010697e+01
6.121212e-01,4.156581e+01,2.064575e+01,2.301595e+01
6.181818e-01,4.377304e+01,2.929147e+01,1.917642e+01
6.242424e-01,4.376814e+01,2.194956e+01,1.369685e+01
6.303030e-01,3.804716e+01,2.019079e+01,2.038021e+01
6.363636e-01,2.818304e+01,2.280323e+01,2.249132e+01
6.424242e-01,3.784151e+01,3.707651e+01,2.218372e+01
6.484848e-01,3.571136e+01,2.825847e+01,2.097753e+01
6.545455e-01,3.237578e+01,2.324323e+01,3.372386e+01
6.606061e-01,2.498565e+01,1.737995e+01,3.047137e+01
6.666667e-01,2.431025e+01,2.282505e+01,2.994424e+01
6.727273e-01,3.225644e+01,2.336503e+01,4.088575e+01
6.787879e-01,3.918470e+01,1.579388e+01,2.955002e+01
6.848485e-01,3.380696e+01,1.060790e+01,3.361064e+01
6.909091e-01,2.270000e+01,4.742462e+00,2.676164e+01
6.969697e-01,2.459025e+01,1.397302e+01,3.504834e+01
7.030303e-01,2.356919e+01,1.825284e+01,2.819725e+01
7.090909e-01,2.396218e+01,2.122644e+01,1.932800e+01
7.151515e-01,4.250564e+01,1.673278e+01,1.773604e+01
7.212121e-01,5.223169e+01,6.591122e+00,1.839136e+01
7.272727e-01,4.457344e+01,1.097584e+01,1.343766e+01
7.333333e-01,4.521529e+01,3.376624e+00,1.595228e+01
7.393939e-01,3.969153e+01,2.084193e+01,9.814344e+00
7.454545e-01,3.317823e+01,1.233191e+01,1.097403e+01
7.515152e-01,3.653066e+01,1.008194e+01,6.844154e+00
7.575758e-01,3.562158e+01,2.089927e+01,1.190193e+01
7.636364e-01,3.039325e+01,2.664691e+01,1.619130e+01
7.696970e-01,2.909551e+01,1.359900e+01,1.742509e+01
7.757576e-01,3.176702e+01,2.533719e+01,1.262975e+01
7.818182e-01,4.772075e+01,4.185560e+01,1.902336e+01
7.878788e-01,4.076893e+01,4.557985e+01,2.708977e+01
7.939394e-01,2.708869e+01,4.048210e+01,2.735639e+01
8.000000e-01,2.056953e+01,3.559781e+01,1.772626e+01
8.060606e-01,1.123231e+01,3.013664e+01,6.310163e+00
8.121212e-01,1.544684e+01,3.003256e+01,1.075940e+01
8.181818e-01,3.171816e+01,1.005380e+01,1.510552e+01
8.242424e-01,2.711605e+01,3.465245e+00,1.125674e+01
8.303030e-01,2.900017e+01,2.596421e+00,1.669311e+01
8.363636e-01,2.523253e+01,1.441369e+01,1.203973e+01
8.424242e-01,2.702491e+01,1.494959e+01,9.149627e+00
8.484848e-01,2.526853e+01,2.342421e+01,1.195474e+01
8.545455e-01,2.823371e+01,3.726316e+01,1.449001e+01
8.606061e-01,3.507915e+01,4.964112e+01,6.437818e+00
8.666667e-01,4.652069e+01,3.133767e+01,1.057781e+01
8.727273e-01,7.386912e+01,3.950589e+01,1.756534e+01
8.787879e-01,6.668225e+01,4.157121e+01,2.969981e+01
8.848485e-01,7.083010e+01,5.399749e+01,3.006097e+01
8.909091e-01,6.153595e+01,4.735985e+01,2.621571e+01
8.969697e-01,7.343526e+01,6.230080e+01,1.009246e+01
9.030303e-01,5.798020e+01,7.053880e+01,8.348552e+00
9.090909e-01,6.535280e+01,6.984680e+01,1.248080e+01
9.151515e-01,4.407163e+01,5.444287e+01,1.143577e+01
9.212121e-01,4.681536e+01,5.702455e+01,2.105322e+01
9.272727e-01,5.415472e+01,6.646104e+01,1.847856e+01
9.333333e-01,5.870726e+01,5.871671e+01,1.360288e+01
9.393939e-01,5.143002e+01,4.155803e+01,1.644008e+01
9.454545e-01,5.713664e+01,4.012444e+01,1.829264e+01
9.515152e-01,6.254186e+01,4.731123e+01,3.281416e+01
9.575758e-01,5.531017e+01,4.554992e+01,3.586319e+01
9.636364e-01,5.416446e+01,3.448540e+01,5.045783e+01
9.696970e-01,4.726112e+01,4.774262e+01,5.609178e+01
9.757576e-01,5.621284e+01,5.464171e+01,5.507308e+01
9.818182e-01,6.529183e+01,5.985602e+01,5.635896e+01
9.878788e-01,6.285112e+01,7.022102e+01,4.637805e+01
9.939394e-01,6.687908e+01,6.534286e+01,5.554493e+01
1.000000e+00,6.658619e+01,6.729239e+01,4.054912e+01
1.006061e+00,5.294715e+01,3.921233e+01,4.316683e+01
1.012121e+00,3.964450e+01,4.395046e+01,4.138861e+01
1.018182e+00,2.254227e+01,4.569280e+01,3.483621e+01
1.024242e+00,4.294338e+01,4.067868e+01,2.703691e+01
1.030303e+00,3.858770e+01,2.808510e+01,2.344028e+01
1.036364e+00,3.964714e+01,2.041566e+01,2.142013e+01
1.042424e+00,3.139933e+01,1.667489e+01,3.339913e+01
1.048485e+00,2.737532e+01,3.002144e+01,2.921099e+01
1.054545e+00,2.584274e+01,4.015232e+01,2.527207e+01
1.060606e+00,3.796401e+01,4.764220e+01,1.743439e+01
1.066667e+00,4.313508e+01,4.337145e+01,2.648676e+01
1.072727e+00,5.610930e+01,2.456184e+01,1.195894e+01
1.078788e+00,5.659061e+01,2.616036e+01,5.014923e+00
1.084848e+00,5.582092e+01,4.069184e+01,9.471543e+00
1.090909e+00,4.645799e+01,2.853207e+01,2.041545e+01
1.096970e+00,3.758802e+01,4.526037e+01,2.886819e+01
1.103030e+00,4.056499e+01,6.265032e+01,3.929615e+01
1.109091e+00,4.351295e+01,7.680339e+01,4.135571e+01
1.115152e+00,2.885273e+01,7.792260e+01,3.328066e+01
1.121212e+00,3.721891e+01,8.077376e+01,4.173900e+01
1.127273e+00,3.891025e+01,7.852677e+01,4.581711e+01
1.133333e+00,6.331041e+01,8.024000e+01,3.744441e+01
1.139394e+00,6.270667e+01,9.009650e+01,2.823252e+01
1.145455e+00,6.576115e+01,9.353757e+01,8.785316e+00
1.151515e+00,5.751567e+01,9.598941e+01,9.266220e+00
1.157576e+00,5.085366e+01,9.946654e+01,2.143915e+01
1.163636e+00,5.144537e+01,7.667751e+01,2.423186e+01
1.169697e+00,6.215057e+01,6.191570e+01,2.493206e+01
1.175758e+00,5.573928e+01,6.946624e+01,1.809652e+01
1.181818e+00,4.291725e+01,4.521076e+01,2.071529e+01
1.187879e+00,4.182475e+01,4.638394e+01,1.715179e+01
1.193939e+00,3.368344e+01,4.848529e+01,2.236938e+01
1.200000e+00,4.018393e+01,5.227507e+01,3.941943e+00
1.206061e+00,3.773883e+01,4.289792e+01,2.262987e+01
1.212121e+00,4.060358e+01,4.431343e+01,2.872504e+01
1.218182e+00,6.414461e+01,4.219101e+01,4.490240e+01
1.224242e+00,7.805005e+01,4.298405e+01,4.525034e+01
1.230303e+00,6.845775e+01,4.996219e+01,2.769684e+01
1.236364e+00,7.226632e+01,3.298434e+01,2.776036e+01
1.242424e+00,8.204722e+01,1.590036e+01,3.860175e+01
1.248485e+00,6.081261e+01,1.886324e+01,3.787403e+01
1.254545e+00,5.647969e+01,2.343207e+01,3.552160e+01
1.260606e+00,6.274214e+01,1.871491e+01,2.758983e+01
