period,NS,EW,UD,H
2.000000e-02,3.188059e-02,3.003479e-03,1.130830e-02,3.202176e-02
2.129572e-02,4.563919e-02,3.412879e-03,1.618589e-02,4.576662e-02
2.267538e-02,5.146592e-02,3.885502e-03,1.825219e-02,5.161238e-02
2.414443e-02,5.460009e-02,4.407414e-03,1.936389e-02,5.477769e-02
2.570865e-02,5.666547e-02,4.999359e-03,2.009659e-02,5.688558e-02
2.737421e-02,5.889591e-02,5.738910e-03,2.087208e-02,5.917485e-02
2.914768e-02,6.027179e-02,6.622043e-03,2.135121e-02,6.063448e-02
3.103604e-02,6.963507e-02,7.810072e-03,2.470734e-02,7.007167e-02
3.304674e-02,7.774896e-02,9.004293e-03,2.758113e-02,7.826863e-02
3.518770e-02,7.979383e-02,1.072431e-02,2.830204e-02,8.051128e-02
3.746737e-02,7.599796e-02,1.389505e-02,2.695114e-02,7.725777e-02
3.989473e-02,7.203552e-02,1.555196e-02,2.557341e-02,7.369518e-02
4.247935e-02,8.546616e-02,2.030594e-02,3.033773e-02,8.784530e-02
4.523142e-02,9.816267e-02,2.342985e-02,3.484160e-02,1.009201e-01
4.816178e-02,1.100648e-01,2.849458e-02,3.906367e-02,1.136934e-01
5.128199e-02,1.211443e-01,3.352514e-02,4.299394e-02,1.256975e-01
5.460434e-02,1.313976e-01,4.588678e-02,4.663113e-02,1.391795e-01
5.814194e-02,1.408394e-01,5.867469e-02,5.359571e-02,1.525728e-01
6.190872e-02,1.494973e-01,7.319345e-02,7.193977e-02,1.664533e-01
6.591954e-02,1.574081e-01,7.153743e-02,1.038220e-01,1.729014e-01
7.019020e-02,1.646143e-01,8.607518e-02,1.414832e-01,1.857601e-01
7.473754e-02,1.711618e-01,1.200927e-01,1.159441e-01,2.090900e-01
7.957948e-02,1.770979e-01,1.340971e-01,1.194350e-01,2.221389e-01
8.473512e-02,2.113543e-01,1.874474e-01,1.547326e-01,2.825016e-01
9.022476e-02,2.319715e-01,1.989990e-01,1.827124e-01,3.056328e-01
9.607006e-02,2.630349e-01,2.257610e-01,1.697705e-01,3.466344e-01
1.022941e-01,2.914184e-01,2.468685e-01,1.558014e-01,3.819277e-01
1.089213e-01,3.971836e-01,2.314561e-01,1.661815e-01,4.597029e-01
1.159778e-01,4.003825e-01,2.809462e-01,2.102051e-01,4.891185e-01
1.234916e-01,4.208413e-01,3.801821e-01,2.476043e-01,5.671383e-01
1.314921e-01,4.728926e-01,4.206040e-01,3.102695e-01,6.328785e-01
1.400110e-01,5.530582e-01,4.520770e-01,3.206908e-01,7.143158e-01
1.490817e-01,6.156740e-01,5.518821e-01,3.571558e-01,8.268182e-01
1.587401e-01,7.497599e-01,6.156167e-01,3.491302e-01,9.701154e-01
1.690242e-01,8.154806e-01,6.635203e-01,4.777258e-01,1.051317e+00
1.799746e-01,7.682323e-01,6.461097e-01,6.464739e-01,1.003812e+00
1.916345e-01,1.020201e+00,7.658665e-01,7.998232e-01,1.275681e+00
2.040497e-01,1.142858e+00,9.233111e-01,8.560376e-01,1.469227e+00
2.172693e-01,9.623255e-01,9.694924e-01,7.370673e-01,1.366011e+00
2.313453e-01,1.067790e+00,9.981399e-01,5.942607e-01,1.461663e+00
2.463332e-01,1.804031e+00,9.744492e-01,6.325361e-01,2.050385e+00
2.622921e-01,2.225079e+00,1.155056e+00,6.973205e-01,2.507017e+00
2.792850e-01,2.128807e+00,1.584848e+00,7.305726e-01,2.653972e+00
2.973787e-01,2.473101e+00,1.684077e+00,7.674678e-01,2.992046e+00
3.166447e-01,2.376436e+00,1.546833e+00,7.380104e-01,2.835514e+00
3.371588e-01,2.438578e+00,1.383257e+00,7.826326e-01,2.803580e+00
3.590020e-01,1.808402e+00,1.498302e+00,7.838469e-01,2.348453e+00
3.822603e-01,1.655911e+00,1.102795e+00,7.901592e-01,1.989522e+00
4.070254e-01,1.577603e+00,1.226920e+00,7.613632e-01,1.998540e+00
4.333949e-01,1.463763e+00,1.461164e+00,6.764116e-01,2.068237e+00
4.614729e-01,1.366928e+00,1.680362e+00,6.265787e-01,2.166128e+00
4.913698e-01,1.576257e+00,2.025377e+00,6.751539e-01,2.566464e+00
5.232037e-01,1.680392e+00,1.838171e+00,9.206663e-01,2.490500e+00
5.571000e-01,1.523820e+00,1.657761e+00,1.199808e+00,2.251710e+00
5.931922e-01,1.493731e+00,1.445179e+00,1.149810e+00,2.078407e+00
6.316228e-01,1.702123e+00,1.695108e+00,1.139547e+00,2.402211e+00
6.725431e-01,1.776641e+00,2.023706e+00,1.369216e+00,2.692924e+00
7.161144e-01,1.887592e+00,2.363101e+00,1.582505e+00,3.024442e+00
7.625086e-01,1.992455e+00,3.068326e+00,1.664593e+00,3.658484e+00
8.119085e-01,1.921936e+00,3.479594e+00,1.588938e+00,3.975099e+00
8.645087e-01,1.932834e+00,2.677237e+00,1.447985e+00,3.302036e+00
9.205168e-01,2.293622e+00,2.170747e+00,1.272926e+00,3.157981e+00
9.801534e-01,2.427432e+00,2.442889e+00,1.300841e+00,3.443854e+00
1.043654e+00,2.442207e+00,2.591166e+00,1.557234e+00,3.560690e+00
1.111268e+00,2.554086e+00,2.808019e+00,1.683263e+00,3.795830e+00
1.183262e+00,2.877946e+00,3.118100e+00,1.867403e+00,4.243244e+00
1.259921e+00,3.677840e+00,4.074149e+00,2.006491e+00,5.488643e+00
1.341546e+00,4.087290e+00,4.766891e+00,2.274885e+00,6.279266e+00
1.428460e+00,3.943914e+00,5.417509e+00,1.903145e+00,6.701034e+00
1.521004e+00,4.456693e+00,6.223829e+00,1.360607e+00,7.654944e+00
1.619544e+00,4.561419e+00,6.576110e+00,1.375334e+00,8.003235e+00
1.724467e+00,6.486693e+00,5.294967e+00,1.928559e+00,8.373403e+00
1.836189e+00,7.264914e+00,3.850127e+00,1.603407e+00,8.222071e+00
1.955148e+00,5.670106e+00,4.007614e+00,1.551451e+00,6.943419e+00
2.081814e+00,4.656163e+00,3.785456e+00,1.651884e+00,6.000794e+00
2.216686e+00,4.957950e+00,3.114508e+00,1.758960e+00,5.855035e+00
2.360297e+00,5.279022e+00,3.161774e+00,1.872802e+00,6.153446e+00
2.513211e+00,5.620593e+00,3.059750e+00,1.994016e+00,6.399463e+00
2.676031e+00,5.984771e+00,2.515294e+00,2.123332e+00,6.491856e+00
2.849401e+00,6.372756e+00,2.247129e+00,2.311144e+00,6.757337e+00
3.034002e+00,6.785864e+00,2.882764e+00,2.683813e+00,7.372807e+00
3.230563e+00,7.225164e+00,3.535518e+00,2.563521e+00,8.043810e+00
3.439858e+00,7.693473e+00,3.022946e+00,2.729758e+00,8.266059e+00
3.662712e+00,8.191735e+00,3.707730e+00,2.906560e+00,8.991762e+00
3.900005e+00,8.722564e+00,4.024068e+00,3.094910e+00,9.606053e+00
4.152671e+00,9.287704e+00,3.961801e+00,3.295425e+00,1.009739e+01
4.421705e+00,9.889639e+00,4.487300e+00,3.508915e+00,1.086006e+01
4.708170e+00,1.053030e+01,5.104832e+00,3.736146e+00,1.170242e+01
5.013193e+00,1.121299e+01,5.382888e+00,3.978197e+00,1.243811e+01
5.337978e+00,1.193934e+01,4.832580e+00,4.235717e+00,1.288028e+01
5.683804e+00,1.271272e+01,4.375204e+00,4.510081e+00,1.344454e+01
6.052035e+00,1.353693e+01,3.869881e+00,4.802449e+00,1.407922e+01
6.444122e+00,1.441564e+01,3.692760e+00,5.114277e+00,1.488110e+01
6.861610e+00,1.534433e+01,3.036981e+00,5.443654e+00,1.564198e+01
7.306147e+00,1.634270e+01,2.541119e+00,5.797777e+00,1.653908e+01
7.779482e+00,1.739545e+01,2.689730e+00,6.171587e+00,1.760217e+01
8.283484e+00,1.854601e+01,2.718998e+00,6.579128e+00,1.874426e+01
8.820137e+00,1.970050e+01,2.183538e+00,6.989212e+00,1.982114e+01
9.391559e+00,2.096370e+01,2.066982e+00,7.437002e+00,2.106535e+01
1.000000e+01,2.237113e+01,2.501710e+00,7.937499e+00,2.251057e+01
