frequency,NS,EW,UD
0.000000e+00,2.509158e+02,1.063664e+03,2.063809e+03
7.575758e-03,1.264961e-01,3.257153e-01,9.490501e-02
1.515152e-02,2.605751e-01,4.841857e-01,1.359821e-01
2.272727e-02,1.106931e-01,1.358067e-01,1.251982e-01
3.030303e-02,6.111475e-01,5.489212e-01,6.037143e-01
3.787879e-02,5.732100e-01,5.913421e-01,5.902159e-01
4.545455e-02,5.589061e-01,8.431338e-01,4.090993e-01
5.303030e-02,6.950104e-01,4.977437e-01,8.218940e-01
6.060606e-02,7.783311e-01,3.594722e-01,8.829263e-01
6.818182e-02,6.093857e-01,3.601387e-01,6.617480e-01
7.575758e-02,5.817804e-01,3.306396e-01,3.506330e-01
8.333333e-02,1.367805e-01,6.161319e-01,3.057262e-01
9.090909e-02,2.520887e-01,9.245582e-01,9.414983e-01
9.848485e-02,7.376716e-01,1.304267e+00,9.836015e-01
1.060606e-01,3.111610e-01,7.413119e-01,7.857741e-01
1.136364e-01,1.432262e-01,3.404067e-01,2.189283e-01
1.212121e-01,5.245843e-01,7.967784e-01,8.056239e-01
1.287879e-01,5.620952e-01,2.270984e+00,1.236268e+00
1.363636e-01,1.726438e+00,1.478065e+00,1.558860e+00
1.439394e-01,3.303913e+00,1.811601e+00,1.317807e+00
1.515152e-01,2.731946e+00,2.642716e+00,1.109120e+00
1.590909e-01,7.697588e-01,2.645930e+00,1.602130e+00
1.666667e-01,4.675733e+00,3.258546e+00,4.357003e+00
1.742424e-01,3.656674e+00,8.259125e-01,2.951028e+00
1.818182e-01,6.374654e-01,4.081716e+00,1.227019e+00
1.893939e-01,3.249357e+00,4.688270e+00,3.899648e+00
1.969697e-01,4.665509e+00,2.048714e+00,2.563240e+00
2.045455e-01,1.654941e+00,3.567986e+00,1.545662e+00
2.121212e-01,1.324217e+00,8.789353e-01,2.376902e+00
2.196970e-01,1.117567e+00,3.606805e+00,2.732536e+00
2.272727e-01,3.011674e+00,2.352622e+00,1.705323e+00
2.348485e-01,2.480492e+00,3.253100e+00,2.911405e+00
2.424242e-01,3.366254e+00,4.836978e+00,5.119315e-01
2.500000e-01,2.333347e+00,4.546707e+00,9.033902e-01
2.575758e-01,1.099586e+00,4.090495e+00,7.147520e-01
2.651515e-01,1.381041e+00,1.052643e+00,7.231746e-01
2.727273e-01,8.206209e-01,1.954087e+00,2.214958e+00
2.803030e-01,2.257318e+00,2.285884e+00,1.572602e+00
2.878788e-01,5.332965e-01,4.165942e+00,5.694566e-01
2.954545e-01,1.714988e+00,4.224431e+00,2.646177e+00
3.030303e-01,1.605510e+00,6.234659e+00,3.122849e+00
3.106061e-01,5.618276e-01,6.490422e+00,7.812016e-01
3.181818e-01,2.941591e+00,5.143271e+00,1.332705e+00
3.257576e-01,7.900662e-01,1.921600e+00,2.363997e+00
3.333333e-01,4.083372e-01,7.580744e+00,3.871319e+00
3.409091e-01,2.140487e+00,6.437460e+00,7.305797e+00
3.484848e-01,4.254610e+00,5.076589e+00,5.161542e+00
3.560606e-01,1.933891e+00,9.329866e+00,4.547202e+00
3.636364e-01,6.960559e-01,7.939497e+00,8.121433e+00
3.712121e-01,2.581773e+00,6.131437e+00,7.294703e+00
3.787879e-01,4.879184e+00,5.429774e+00,6.705653e+00
3.863636e-01,2.251378e+00,4.520481e+00,4.700536e+00
3.939394e-01,2.679326e+00,6.137881e+00,3.924016e+00
4.015152e-01,2.464795e+00,5.130053e+00,2.213267e+00
4.090909e-01,1.818239e+00,3.950084e+00,7.865503e-01
4.166667e-01,2.999757e+00,6.007391e+00,7.653940e-01
4.242424e-01,3.157831e+00,6.779116e+00,2.891609e+00
4.318182e-01,3.387300e+00,8.518679e+00,4.222347e+00
4.393939e-01,4.159601e+00,7.150029e+00,2.926559e+00
4.469697e-01,6.293716e+00,1.043694e+01,4.318895e-01
4.545455e-01,5.645244e+00,6.321717e+00,2.714751e+00
4.621212e-01,3.619652e+00,7.545977e+00,2.569574e+00
4.696970e-01,1.677953e+00,4.679213e+00,2.533952e+00
4.772727e-01,4.268583e+00,3.613370e+00,1.683386e+00
4.848485e-01,1.141555e+00,4.761710e+00,2.192112e+00
4.924242e-01,1.652575e+00,2.561022e+00,3.443397e+00
5.000000e-01,1.691539e+00,2.185216e+00,3.594640e+00
5.075758e-01,5.683850e-01,3.504002e+00,4.190506e+00
5.151515e-01,1.154880e+00,1.046294e+00,3.508719e+00
5.227273e-01,2.167971e+00,9.011091e-01,1.372224e+00
5.303030e-01,3.266134e+00,3.767503e+00,3.637345e+00
5.378788e-01,4.035669e+00,3.484520e+00,2.837201e+00
5.454545e-01,3.868316e+00,3.101319e+00,2.587894e+00
5.530303e-01,2.799017e+00,3.452317e+00,2.151874e+00
5.606061e-01,1.392389e+00,5.620979e-01,5.353143e+00
5.681818e-01,3.417178e+00,9.644642e-01,4.636227e+00
5.757576e-01,1.509837e+00,2.930630e+00,2.224516e+00
5.833333e-01,1.546896e+00,3.593795e+00,1.398483e+00
5.909091e-01,2.143779e+00,3.217758e+00,5.351358e-01
5.984848e-01,1.914430e+00,3.268300e-01,3.002006e+00
6.060606e-01,2.366293e+00,2.029553e+00,2.733424e+00
6.136364e-01,3.105201e+00,3.080881e+00,1.971102e+00
6.212121e-01,2.138708e+00,1.872725e+00,3.275813e+00
6.287879e-01,2.107653e+00,3.495184e+00,2.200393e+00
6.363636e-01,1.763409e+00,3.556579e+00,1.423217e+00
6.439394e-01,1.814878e+00,6.207939e+00,1.165137e+00
6.515152e-01,2.315962e+00,5.313912e+00,1.917336e+00
6.590909e-01,2.304499e+00,3.965077e+00,8.914554e-01
6.666667e-01,3.774267e+00,3.111517e+00,2.085109e+00
6.742424e-01,3.719872e+00,2.680459e+00,3.098493e+00
6.818182e-01,2.452411e+00,3.505942e-01,3.515105e+00
6.893939e-01,1.502723e+00,2.793327e+00,5.899411e-01
6.969697e-01,1.350626e+00,2.599765e+00,2.520054e+00
7.045455e-01,2.394354e+00,1.697844e+00,2.798987e+00
7.121212e-01,1.987643e+00,5.517248e+00,3.328137e+00
7.196970e-01,2.317592e+00,6.445615e+00,1.638781e+00
7.272727e-01,3.621797e+00,5.142171e+00,1.972512e+00
7.348485e-01,2.632352e+00,3.388508e+00,1.605315e+00
7.424242e-01,2.656270e+00,5.667814e+00,1.342982e-01
7.500000e-01,9.469217e-01,2.544669e+00,1.033835e+00
7.575758e-01,9.861306e-01,5.194690e+00,2.434020e+00
7.651515e-01,2.730909e+00,6.227367e+00,2.136284e+00
7.727273e-01,1.246405e+00,6.678925e+00,6.482319e+00
7.803030e-01,2.535652e+00,4.942399e+00,2.503560e+00
7.878788e-01,2.281891e+00,6.623197e+00,1.535642e+00
7.954545e-01,1.302579e+00,9.760886e+00,2.989786e+00
8.030303e-01,3.234454e+00,9.731628e+00,3.041891e+00
8.106061e-01,2.611341e+00,9.181976e+00,3.964095e+00
8.181818e-01,4.031836e+00,7.242736e+00,3.287312e+00
8.257576e-01,7.754619e+00,3.112093e+00,3.980935e+00
8.333333e-01,5.166408e+00,5.047892e-01,6.057550e+00
8.409091e-01,2.291256e+00,2.424349e+00,5.571753e+00
8.484848e-01,4.664583e+00,3.375074e+00,5.389574e+00
8.560606e-01,7.906835e+00,5.832968e+00,4.216097e+00
8.636364e-01,5.749758e+00,4.072447e+00,4.565375e+00
8.712121e-01,3.216675e+00,6.054247e+00,2.088689e+00
8.787879e-01,4.107496e+00,5.582548e+00,7.321068e-01
8.863636e-01,3.447281e+00,5.783809e+00,2.089677e+00
8.939394e-01,2.067825e+00,5.547051e+00,1.578131e+00
9.015152e-01,1.833954e+00,1.095364e+00,1.661912e+00
9.090909e-01,2.396596e+00,2.502600e+00,2.482180e+00
9.166667e-01,2.620545e+00,1.582243e+00,2.708673e+00
9.242424e-01,4.250762e+00,6.026359e+00,1.739101e+00
9.318182e-01,3.014049e+00,7.137727e+00,1.371845e+00
9.393939e-01,4.385150e+00,6.116518e+00,9.151769e-01
9.469697e-01,5.021477e+00,1.839262e+00,1.489509e+00
9.545455e-01,2.677889e+00,2.302858e+00,2.189521e+00
9.621212e-01,2.771168e+00,6.690388e+00,1.680828e+00
9.696970e-01,5.926455e-01,8.676641e+00,2.005785e+00
9.772727e-01,2.749828e+00,7.784451e+00,4.736514e+00
9.848485e-01,1.201660e+00,6.375505e+00,4.056504e-01
9.924242e-01,1.682462e+00,7.120238e+00,4.229196e+00
1.000000e+00,1.837177e+00,8.023646e+00,4.310762e+00
1.007576e+00,4.519337e+00,8.678991e+00,2.253536e+00
1.015152e+00,4.575602e+00,7.015081e+00,2.800797e+00
1.022727e+00,3.450933e+00,2.565671e+00,3.331597e+00
1.030303e+00,2.065531e+00,2.923991e+00,4.322228e+00
1.037879e+00,2.007975e+00,3.308449e+00,4.300546e+00
