period,NS,EW,UD,H
2.000000e-02,7.251993e-03,1.693318e-02,3.285883e-02,1.842075e-02
2.129572e-02,8.290329e-03,2.424011e-02,4.703779e-02,2.561860e-02
2.267538e-02,9.506498e-03,2.733503e-02,5.304270e-02,2.894092e-02
2.414443e-02,1.094735e-02,2.899983e-02,5.627289e-02,3.099733e-02
2.570865e-02,1.262997e-02,3.009692e-02,5.840163e-02,3.263956e-02
2.737421e-02,1.448801e-02,3.130252e-02,6.069801e-02,3.449276e-02
2.914768e-02,1.712057e-02,3.203324e-02,6.211390e-02,3.632138e-02
3.103604e-02,2.061348e-02,3.699669e-02,7.173981e-02,4.235174e-02
3.304674e-02,2.316570e-02,4.130737e-02,8.009497e-02,4.735978e-02
3.518770e-02,2.649939e-02,4.239452e-02,8.219481e-02,4.999513e-02
3.746737e-02,3.110316e-02,4.037936e-02,7.827476e-02,5.096959e-02
3.989473e-02,3.650022e-02,3.825917e-02,7.427533e-02,5.287751e-02
4.247935e-02,3.752106e-02,4.539272e-02,8.811858e-02,5.889252e-02
4.523142e-02,4.844151e-02,5.213635e-02,1.012051e-01,7.116726e-02
4.816178e-02,5.602437e-02,5.845803e-02,1.134728e-01,8.096958e-02
5.128199e-02,7.774937e-02,6.434282e-02,1.248927e-01,1.009206e-01
5.460434e-02,1.179919e-01,7.398773e-02,1.354610e-01,1.392705e-01
5.814194e-02,1.245076e-01,8.022117e-02,1.451928e-01,1.481134e-01
6.190872e-02,1.406956e-01,9.982323e-02,1.541166e-01,1.725107e-01
6.591954e-02,1.845907e-01,1.279519e-01,1.622704e-01,2.246006e-01
7.019020e-02,1.678400e-01,1.363585e-01,1.696980e-01,2.162496e-01
7.473754e-02,1.608655e-01,1.287667e-01,1.764466e-01,2.060548e-01
7.957948e-02,1.693676e-01,1.378758e-01,1.965509e-01,2.183921e-01
8.473512e-02,1.793619e-01,1.841806e-01,2.032955e-01,2.570859e-01
9.022476e-02,2.020428e-01,2.344130e-01,2.041288e-01,3.094685e-01
9.607006e-02,2.465680e-01,2.694335e-01,2.209867e-01,3.652262e-01
1.022941e-01,2.849592e-01,2.952987e-01,2.365381e-01,4.103694e-01
1.089213e-01,3.300577e-01,3.079423e-01,2.508219e-01,4.514050e-01
1.159778e-01,3.557202e-01,3.815929e-01,2.638930e-01,5.216800e-01
1.234916e-01,4.040058e-01,3.849202e-01,2.807536e-01,5.580181e-01
1.314921e-01,5.492606e-01,4.730330e-01,3.050801e-01,7.248776e-01
1.400110e-01,7.610876e-01,6.881333e-01,3.275998e-01,1.026052e+00
1.490817e-01,9.004175e-01,8.026181e-01,3.483468e-01,1.206212e+00
1.587401e-01,1.067284e+00,9.811106e-01,3.673819e-01,1.449715e+00
1.690242e-01,1.303558e+00,1.259966e+00,3.861094e-01,1.812947e+00
1.799746e-01,1.812008e+00,1.470605e+00,4.151482e-01,2.333678e+00
1.916345e-01,2.923272e+00,2.143608e+00,4.419171e-01,3.624994e+00
2.040497e-01,3.899026e+00,3.236053e+00,6.205373e-01,5.066996e+00
2.172693e-01,4.930337e+00,4.031942e+00,7.955867e-01,6.369049e+00
2.313453e-01,4.447096e+00,2.822331e+00,5.858809e-01,5.267087e+00
2.463332e-01,2.881761e+00,2.398715e+00,5.671856e-01,3.749450e+00
2.622921e-01,2.100085e+00,1.870110e+00,6.049273e-01,2.812058e+00
2.792850e-01,1.760154e+00,1.780334e+00,6.432239e-01,2.503544e+00
2.973787e-01,1.729101e+00,1.702855e+00,6.869603e-01,2.426830e+00
3.166447e-01,1.754728e+00,1.823783e+00,7.322096e-01,2.530860e+00
3.371588e-01,1.665256e+00,1.774638e+00,7.763691e-01,2.433602e+00
3.590020e-01,1.752711e+00,1.783535e+00,8.276441e-01,2.500598e+00
3.822603e-01,1.626596e+00,1.449887e+00,8.827072e-01,2.178988e+00
4.070254e-01,1.518227e+00,1.281962e+00,9.389536e-01,1.987068e+00
4.333949e-01,1.282873e+00,1.358189e+00,9.994810e-01,1.868272e+00
4.614729e-01,1.232501e+00,1.232818e+00,1.064522e+00,1.743244e+00
4.913698e-01,1.299015e+00,1.314900e+00,1.132876e+00,1.848352e+00
5.232037e-01,1.528294e+00,1.395937e+00,1.206149e+00,2.069861e+00
