period,NS,EW,UD,H
2.000000e-02,3.012206e-02,2.947939e-02,1.139491e-02,4.214703e-02
2.129572e-02,4.312059e-02,4.219946e-02,1.302621e-02,6.033390e-02
2.267538e-02,4.862567e-02,4.758685e-02,1.491249e-02,6.803649e-02
2.414443e-02,5.158693e-02,5.048495e-02,1.709540e-02,7.217992e-02
2.570865e-02,5.353841e-02,5.239486e-02,1.961267e-02,7.491050e-02
2.737421e-02,5.561720e-02,5.443765e-02,2.252257e-02,7.782500e-02
2.914768e-02,5.691031e-02,5.569808e-02,2.641118e-02,7.963077e-02
3.103604e-02,6.580533e-02,6.443126e-02,3.500423e-02,9.209630e-02
3.304674e-02,7.347015e-02,7.193423e-02,4.112548e-02,1.028222e-01
3.518770e-02,7.540062e-02,7.382511e-02,4.389111e-02,1.055244e-01
3.746737e-02,7.181248e-02,7.760015e-02,4.826448e-02,1.057299e-01
3.989473e-02,7.655633e-02,8.372077e-02,5.168167e-02,1.134462e-01
4.247935e-02,8.707826e-02,8.719003e-02,6.465552e-02,1.232263e-01
4.523142e-02,1.034018e-01,1.056571e-01,8.450054e-02,1.478356e-01
4.816178e-02,1.267191e-01,1.232451e-01,1.168297e-01,1.767685e-01
5.128199e-02,1.498400e-01,1.487967e-01,1.572734e-01,2.111693e-01
5.460434e-02,1.664299e-01,1.914670e-01,1.779046e-01,2.536898e-01
5.814194e-02,1.847136e-01,2.384953e-01,2.012735e-01,3.016606e-01
6.190872e-02,2.361803e-01,2.792405e-01,2.503499e-01,3.657272e-01
6.591954e-02,3.125245e-01,3.575071e-01,3.196213e-01,4.748504e-01
7.019020e-02,4.158345e-01,4.261382e-01,4.111793e-01,5.954092e-01
7.473754e-02,4.507995e-01,5.293362e-01,4.925338e-01,6.952820e-01
7.957948e-02,5.171003e-01,5.458957e-01,4.747954e-01,7.519274e-01
8.473512e-02,7.255875e-01,6.864552e-01,7.249482e-01,9.988483e-01
9.022476e-02,8.376791e-01,6.890646e-01,1.010790e+00,1.084673e+00
9.607006e-02,1.084588e+00,8.594819e-01,1.033520e+00,1.383850e+00
1.022941e-01,1.147687e+00,1.215645e+00,1.200340e+00,1.671819e+00
1.089213e-01,1.438130e+00,1.722564e+00,1.254886e+00,2.243979e+00
1.159778e-01,1.857113e+00,2.255105e+00,1.129427e+00,2.921364e+00
1.234916e-01,2.159854e+00,2.748740e+00,1.280243e+00,3.495789e+00
1.314921e-01,2.385981e+00,2.880390e+00,1.597940e+00,3.740261e+00
1.400110e-01,2.455785e+00,3.999146e+00,1.294347e+00,4.692978e+00
1.490817e-01,2.789701e+00,4.135255e+00,1.051311e+00,4.988263e+00
1.587401e-01,3.725804e+00,4.348290e+00,1.235311e+00,5.726189e+00
1.690242e-01,3.745862e+00,4.192800e+00,1.031499e+00,5.622371e+00
1.799746e-01,4.207369e+00,4.363546e+00,1.307752e+00,6.061558e+00
1.916345e-01,5.325981e+00,4.220249e+00,1.213501e+00,6.795335e+00
2.040497e-01,3.937330e+00,4.656349e+00,1.326013e+00,6.097881e+00
2.172693e-01,3.826931e+00,4.354056e+00,1.464416e+00,5.796826e+00
2.313453e-01,3.424936e+00,4.522523e+00,1.510971e+00,5.673042e+00
2.463332e-01,4.078944e+00,4.783983e+00,1.232177e+00,6.286834e+00
2.622921e-01,3.895674e+00,4.532331e+00,9.442070e-01,5.976479e+00
2.792850e-01,4.601665e+00,4.979697e+00,9.026072e-01,6.780318e+00
2.973787e-01,6.686460e+00,6.050281e+00,1.032935e+00,9.017464e+00
