frequency,NS,EW,UD
0.000000e+00,2.996982e+02,1.856789e+01,1.807660e+03
7.092199e-03,2.084671e-01,1.654109e-01,1.541924e-01
1.418440e-02,7.086659e-01,3.740716e-01,1.063914e-01
2.127660e-02,1.248794e+00,4.051250e-01,4.816738e-01
2.836879e-02,1.256443e+00,6.546107e-01,2.252729e+00
3.546099e-02,1.596728e+00,2.090734e+00,6.034248e+00
4.255319e-02,2.916433e+00,3.618979e+00,8.650467e+00
4.964539e-02,2.928290e+00,2.863402e+00,4.640764e+00
5.673759e-02,1.045612e+00,4.419553e+00,2.862621e+00
6.382979e-02,4.394605e-01,5.009281e+00,1.604296e+00
7.092199e-02,2.695435e+00,1.042233e+00,3.139204e+00
7.801418e-02,2.444993e+00,2.548796e+00,2.355485e+00
8.510638e-02,5.346577e+00,3.557074e-01,1.310171e+00
9.219858e-02,1.564765e+00,2.284675e+00,2.169212e+00
9.929078e-02,2.846136e+00,6.151836e+00,9.760351e-01
1.063830e-01,2.692068e+00,3.884795e+00,5.868233e-01
1.134752e-01,1.804709e+00,4.142379e+00,2.466597e+00
1.205674e-01,1.910310e+00,4.122978e+00,2.326599e+00
1.276596e-01,2.723180e+00,7.793209e+00,5.833564e+00
1.347518e-01,6.118708e+00,4.147158e+00,2.955935e+00
1.418440e-01,1.842334e+00,6.618627e+00,6.812681e+00
1.489362e-01,4.227209e-01,6.378563e+00,3.902315e+00
1.560284e-01,1.947786e+00,5.824692e+00,3.587841e+00
1.631206e-01,6.820476e+00,7.626650e+00,5.835196e+00
1.702128e-01,5.994540e+00,7.092017e+00,2.200445e+00
1.773050e-01,3.644453e+00,6.939328e+00,5.664099e+00
1.843972e-01,1.961719e+00,4.991374e+00,2.079778e+00
1.914894e-01,8.584043e+00,5.676282e+00,3.180198e+00
1.985816e-01,7.176595e+00,1.010904e+01,3.593478e+00
2.056738e-01,4.847658e+00,1.332461e+00,4.425594e+00
2.127660e-01,8.586675e+00,7.384829e+00,2.536932e+00
2.198582e-01,1.782961e+00,8.501447e+00,1.967167e+00
2.269504e-01,4.374674e+00,7.583942e+00,1.747190e+00
2.340426e-01,7.205580e+00,5.674054e+00,3.419993e+00
2.411348e-01,1.005991e+01,1.165993e+01,4.924125e+00
2.482270e-01,1.421285e+01,6.817402e+00,5.870698e+00
2.553191e-01,6.121084e+00,9.079391e+00,2.839278e+00
2.624113e-01,2.594337e+00,2.206888e+00,5.573156e+00
2.695035e-01,1.177170e+01,1.044704e+01,1.501110e+00
2.765957e-01,9.487699e+00,5.232163e+00,1.643151e+00
2.836879e-01,7.733519e+00,3.973098e+00,4.190685e+00
2.907801e-01,2.505354e+00,8.461311e+00,2.767632e+00
2.978723e-01,3.000143e+00,7.904400e+00,2.221154e+00
3.049645e-01,3.960397e+00,6.035122e+00,2.754465e+00
3.120567e-01,8.373461e+00,1.763494e+00,5.310856e+00
3.191489e-01,5.094896e+00,3.014660e+00,1.846785e+00
3.262411e-01,6.059607e+00,4.989801e+00,1.686711e+00
3.333333e-01,3.488237e+00,9.478511e+00,4.079616e+00
3.404255e-01,3.574376e+00,1.348170e+00,9.203790e-01
3.475177e-01,4.395290e+00,3.687756e+00,4.660759e+00
3.546099e-01,1.461936e+00,6.738003e+00,3.127681e+00
3.617021e-01,5.378307e+00,6.506877e+00,6.385690e+00
3.687943e-01,5.013629e+00,7.238989e+00,3.992197e+00
3.758865e-01,3.995932e+00,7.931575e+00,6.307766e+00
3.829787e-01,6.568207e+00,7.739188e+00,7.132269e+00
3.900709e-01,9.604489e-01,4.164860e+00,8.543095e+00
3.971631e-01,5.752889e+00,4.691974e+00,6.606660e+00
4.042553e-01,3.286536e+00,1.891557e+00,2.844306e+00
4.113475e-01,3.649359e+00,8.053852e+00,3.784653e+00
4.184397e-01,6.594395e+00,1.002321e+01,4.683669e+00
4.255319e-01,5.052466e+00,9.739152e+00,3.618769e+00
4.326241e-01,8.417224e+00,5.924635e+00,2.565420e+00
4.397163e-01,4.067764e+00,6.606013e+00,1.844497e+00
4.468085e-01,7.603959e+00,4.196054e+00,8.422955e+00
4.539007e-01,3.602851e+00,7.349863e+00,7.955264e+00
4.609929e-01,5.100938e+00,9.799817e+00,4.096325e-01
4.680851e-01,6.022916e+00,9.131257e+00,4.870004e+00
4.751773e-01,8.933905e+00,3.661567e+00,4.540144e+00
4.822695e-01,1.228070e+01,2.963689e+00,4.483413e+00
4.893617e-01,8.353540e+00,3.760465e+00,4.003976e+00
4.964539e-01,1.265236e+00,7.554774e+00,2.238297e+00
5.035461e-01,5.377373e+00,9.828535e+00,2.550666e+00
5.106383e-01,3.587349e+00,6.952091e+00,4.782383e+00
5.177305e-01,5.191760e+00,1.128281e+01,5.563760e+00
5.248227e-01,5.440725e+00,8.009905e+00,4.461676e+00
5.319149e-01,4.177855e+00,2.120489e+00,3.236104e+00
5.390071e-01,1.942206e+00,4.350075e+00,4.864950e+00
5.460993e-01,5.168749e+00,4.781516e+00,4.584999e+00
5.531915e-01,5.061891e+00,4.210802e+00,4.065550e+00
5.602837e-01,1.402934e+00,3.965324e+00,2.762521e+00
5.673759e-01,7.256814e+00,5.962790e+00,4.398274e+00
5.744681e-01,1.064718e+01,3.748249e+00,5.779697e+00
5.815603e-01,7.731808e+00,2.109044e+00,3.894781e+00
