period,NS,EW,UD,H
2.000000e-02,4.613582e-02,2.390823e-02,8.852839e-02,5.196266e-02
2.129572e-02,6.604417e-02,2.728561e-02,1.267329e-01,7.145863e-02
2.267538e-02,7.447553e-02,3.115842e-02,1.429118e-01,8.073074e-02
2.414443e-02,7.901114e-02,3.558822e-02,1.516146e-01,8.665611e-02
2.570865e-02,8.200022e-02,4.086510e-02,1.573497e-01,9.161874e-02
2.737421e-02,8.529293e-02,4.801768e-02,1.635132e-01,9.788044e-02
2.914768e-02,8.728160e-02,5.583403e-02,1.673196e-01,1.036123e-01
3.103604e-02,1.008145e-01,7.014259e-02,1.933888e-01,1.228151e-01
3.304674e-02,1.125597e-01,7.361101e-02,2.159152e-01,1.344926e-01
3.518770e-02,1.155220e-01,9.083265e-02,2.215885e-01,1.469555e-01
3.746737e-02,1.274587e-01,1.157381e-01,2.110427e-01,1.721657e-01
3.989473e-02,1.522329e-01,1.221849e-01,2.000608e-01,1.952025e-01
4.247935e-02,1.982274e-01,1.609426e-01,2.373564e-01,2.553363e-01
4.523142e-02,2.159768e-01,1.788018e-01,2.726135e-01,2.803856e-01
4.816178e-02,2.478182e-01,2.117016e-01,3.056645e-01,3.259316e-01
5.128199e-02,3.026319e-01,2.511515e-01,3.364313e-01,3.932724e-01
5.460434e-02,3.712120e-01,2.952235e-01,3.649038e-01,4.742945e-01
5.814194e-02,4.989455e-01,4.067374e-01,3.911227e-01,6.437250e-01
6.190872e-02,6.493470e-01,4.676777e-01,4.341236e-01,8.002337e-01
6.591954e-02,7.615140e-01,5.007009e-01,6.141048e-01,9.113753e-01
7.019020e-02,1.013952e+00,6.443151e-01,7.186385e-01,1.201350e+00
7.473754e-02,1.400314e+00,8.481089e-01,7.156616e-01,1.637121e+00
7.957948e-02,1.786361e+00,1.071173e+00,9.990712e-01,2.082906e+00
8.473512e-02,1.825158e+00,1.555404e+00,1.301743e+00,2.398016e+00
9.022476e-02,1.736565e+00,1.843687e+00,1.141631e+00,2.532753e+00
9.607006e-02,1.859001e+00,2.095078e+00,1.169021e+00,2.800935e+00
1.022941e-01,2.446238e+00,2.244466e+00,1.625141e+00,3.319896e+00
1.089213e-01,2.449292e+00,2.174345e+00,1.857894e+00,3.275180e+00
1.159778e-01,2.475439e+00,1.980443e+00,1.621741e+00,3.170166e+00
1.234916e-01,2.653644e+00,2.448774e+00,1.712331e+00,3.610862e+00
1.314921e-01,3.449823e+00,2.527998e+00,1.647617e+00,4.276921e+00
1.400110e-01,3.396098e+00,2.904619e+00,1.827690e+00,4.468814e+00
1.490817e-01,3.709160e+00,3.534617e+00,1.437264e+00,5.123610e+00
1.587401e-01,5.278513e+00,4.272193e+00,1.408213e+00,6.790754e+00
1.690242e-01,5.533315e+00,5.058907e+00,1.338616e+00,7.497341e+00
1.799746e-01,4.739934e+00,5.615600e+00,1.581572e+00,7.348601e+00
1.916345e-01,4.201479e+00,6.223267e+00,1.588773e+00,7.508759e+00
2.040497e-01,5.972235e+00,8.679567e+00,1.601876e+00,1.053577e+01
2.172693e-01,6.986298e+00,1.059974e+01,1.689838e+00,1.269499e+01
2.313453e-01,8.814816e+00,1.145288e+01,1.588985e+00,1.445232e+01
2.463332e-01,1.019905e+01,1.009808e+01,1.893907e+00,1.435242e+01
2.622921e-01,1.184150e+01,9.821298e+00,2.293589e+00,1.538438e+01
2.792850e-01,8.771735e+00,9.084460e+00,2.126745e+00,1.262817e+01
2.973787e-01,6.432959e+00,7.339158e+00,1.943895e+00,9.759416e+00
3.166447e-01,5.597293e+00,8.516497e+00,2.291370e+00,1.019119e+01
3.371588e-01,5.759266e+00,6.620378e+00,2.444463e+00,8.774881e+00
3.590020e-01,4.855183e+00,8.204075e+00,2.734145e+00,9.533082e+00
3.822603e-01,3.969265e+00,7.061070e+00,2.668962e+00,8.100233e+00
4.070254e-01,4.454800e+00,5.771164e+00,2.528379e+00,7.290513e+00
4.333949e-01,4.731644e+00,6.509008e+00,3.015207e+00,8.047089e+00
4.614729e-01,4.689562e+00,8.147364e+00,3.132258e+00,9.400614e+00
4.913698e-01,4.857780e+00,5.882607e+00,3.306057e+00,7.629095e+00
5.232037e-01,5.823166e+00,7.316145e+00,3.266296e+00,9.350681e+00
5.571000e-01,7.132484e+00,7.923326e+00,3.990944e+00,1.066074e+01
5.931922e-01,7.031546e+00,7.758300e+00,3.683683e+00,1.047062e+01
6.316228e-01,7.237872e+00,9.752572e+00,3.924662e+00,1.214494e+01
6.725431e-01,5.442888e+00,9.874529e+00,5.024481e+00,1.127525e+01
7.161144e-01,5.393014e+00,9.756321e+00,6.016728e+00,1.114766e+01
7.625086e-01,5.464704e+00,1.064689e+01,6.495556e+00,1.196742e+01
8.119085e-01,7.463838e+00,1.176838e+01,7.479380e+00,1.393570e+01
8.645087e-01,8.349428e+00,9.699241e+00,7.398318e+00,1.279798e+01
9.205168e-01,6.141446e+00,6.726780e+00,5.721572e+00,9.108619e+00
9.801534e-01,5.335533e+00,6.212435e+00,6.087926e+00,8.189155e+00
1.043654e+00,5.587040e+00,5.849372e+00,6.482437e+00,8.088892e+00
1.111268e+00,5.366589e+00,5.780283e+00,6.899131e+00,7.887455e+00
1.183262e+00,4.478038e+00,6.014475e+00,7.347900e+00,7.498449e+00
1.259921e+00,4.077149e+00,6.215942e+00,7.824217e+00,7.433780e+00
1.341546e+00,4.341281e+00,6.410525e+00,8.331173e+00,7.742193e+00
1.428460e+00,4.622506e+00,6.181534e+00,8.870823e+00,7.718738e+00
1.521004e+00,4.921423e+00,5.558518e+00,9.444600e+00,7.424118e+00
1.619544e+00,5.241160e+00,5.354325e+00,1.005819e+01,7.492566e+00
1.724467e+00,5.580581e+00,5.153493e+00,1.070959e+01,7.596142e+00
1.836189e+00,5.941876e+00,4.391671e+00,1.140295e+01,7.388685e+00
1.955148e+00,6.327200e+00,4.572964e+00,1.214248e+01,7.806757e+00
2.081814e+00,6.736702e+00,5.396751e+00,1.292824e+01,8.631805e+00
2.216686e+00,7.173415e+00,5.992330e+00,1.376636e+01,9.346973e+00
2.360297e+00,7.637946e+00,5.995896e+00,1.465792e+01,9.710252e+00
2.513211e+00,8.132239e+00,6.260048e+00,1.560646e+01,1.026263e+01
2.676031e+00,8.659152e+00,7.432965e+00,1.661781e+01,1.141183e+01
2.849401e+00,9.220338e+00,7.316484e+00,1.769479e+01,1.177054e+01
3.034002e+00,9.818056e+00,7.894402e+00,1.884201e+01,1.259825e+01
3.230563e+00,1.045372e+01,7.102559e+00,2.006192e+01,1.263830e+01
3.439858e+00,1.113124e+01,6.854205e+00,2.136237e+01,1.307228e+01
3.662712e+00,1.185211e+01,6.923424e+00,2.274558e+01,1.372611e+01
3.900005e+00,1.262013e+01,6.443691e+00,2.421944e+01,1.416999e+01
4.152671e+00,1.343769e+01,5.836290e+00,2.578860e+01,1.465039e+01
4.421705e+00,1.430830e+01,5.640268e+00,2.745929e+01,1.537986e+01
4.708170e+00,1.523488e+01,5.850317e+00,2.923737e+01,1.631955e+01
5.013193e+00,1.622236e+01,5.307694e+00,3.113243e+01,1.706859e+01
5.337978e+00,1.727326e+01,5.652088e+00,3.314895e+01,1.817447e+01
5.683804e+00,1.839072e+01,6.017226e+00,3.529353e+01,1.935008e+01
6.052035e+00,1.958204e+01,6.406938e+00,3.757988e+01,2.060352e+01
6.444122e+00,2.085927e+01,6.824831e+00,4.003123e+01,2.194738e+01
6.861610e+00,2.219207e+01,7.260941e+00,4.258889e+01,2.334971e+01
7.306147e+00,2.366180e+01,7.741651e+00,4.540962e+01,2.489607e+01
7.779482e+00,2.515196e+01,8.229072e+00,4.826949e+01,2.646392e+01
8.283484e+00,2.677481e+01,8.760251e+00,5.138311e+01,2.817148e+01
8.820137e+00,2.859327e+01,9.354589e+00,5.487365e+01,3.008461e+01
9.391559e+00,3.051308e+01,9.984068e+00,5.855940e+01,3.210498e+01
1.000000e+01,3.252933e+01,1.064318e+01,6.242764e+01,3.422623e+01
