frequency,NS,EW,UD
0.000000e+00,2.228919e+03,2.569455e+03,2.249975e+03
6.578947e-03,2.055955e-02,1.309264e-01,6.691485e-02
1.315789e-02,1.067215e-01,2.886051e-01,1.452897e-01
1.973684e-02,2.730560e-01,6.485720e-01,1.263334e-01
2.631579e-02,9.562393e-01,6.471551e-01,3.513730e-01
3.289474e-02,2.039833e+00,5.629097e-01,8.489234e-01
3.947368e-02,1.285198e+00,8.724595e-01,5.853978e-01
4.605263e-02,9.828257e-01,8.146806e-01,6.469547e-01
5.263158e-02,1.657209e+00,7.707522e-01,2.045495e+00
5.921053e-02,5.527725e-01,1.777514e+00,2.525074e+00
6.578947e-02,2.154972e+00,2.360147e+00,2.175531e+00
7.236842e-02,3.060005e+00,1.839397e+00,2.329381e-01
7.894737e-02,1.817901e+00,3.024331e+00,1.855512e+00
8.552632e-02,2.869982e+00,1.117396e+00,1.745279e+00
9.210526e-02,5.995875e+00,4.318815e+00,7.448267e-01
9.868421e-02,3.559683e+00,2.795373e+00,2.392641e+00
1.052632e-01,3.305861e+00,3.682772e+00,1.973794e+00
1.118421e-01,2.602615e+00,5.160374e+00,1.851573e+00
1.184211e-01,3.250971e+00,3.112928e+00,1.476260e+00
1.250000e-01,3.469727e+00,6.903232e-01,1.368566e+00
1.315789e-01,3.744384e+00,6.904649e+00,4.420399e+00
1.381579e-01,7.284327e+00,4.743370e+00,6.012379e-01
1.447368e-01,4.780580e+00,9.053275e+00,4.982963e+00
1.513158e-01,1.122085e+01,7.321529e+00,5.320538e+00
1.578947e-01,5.701612e+00,5.765473e+00,3.169711e+00
1.644737e-01,6.350592e+00,7.255251e+00,2.037923e+00
1.710526e-01,1.111620e+01,9.533283e+00,2.126280e+00
1.776316e-01,1.633462e+01,9.442394e+00,5.433487e+00
1.842105e-01,8.441723e+00,4.318370e+00,4.638647e+00
1.907895e-01,5.462811e+00,7.016061e+00,3.312825e+00
1.973684e-01,3.086063e-01,3.956950e+00,4.448392e+00
2.039474e-01,1.564044e+01,8.479199e+00,6.549915e+00
2.105263e-01,7.510211e+00,7.719663e+00,5.408729e+00
2.171053e-01,7.097671e+00,2.763307e+00,3.474467e+00
2.236842e-01,1.426640e+01,5.611841e+00,7.069952e-01
2.302632e-01,1.239819e+01,9.279552e+00,5.279994e+00
2.368421e-01,1.397154e+01,7.377828e+00,3.133917e+00
2.434211e-01,9.699433e+00,8.930196e+00,1.541289e+00
2.500000e-01,1.065359e+01,7.962641e+00,1.865717e+00
2.565789e-01,8.161114e+00,7.823876e+00,2.405798e+00
2.631579e-01,1.110414e+01,9.657856e+00,1.800513e+00
2.697368e-01,9.394384e+00,1.227598e+01,1.282073e+00
2.763158e-01,6.236575e+00,9.345499e+00,3.817723e+00
2.828947e-01,8.791056e+00,1.138907e+01,2.898257e+00
2.894737e-01,6.225757e+00,1.701320e+00,6.938506e+00
2.960526e-01,1.183359e+01,6.975655e+00,3.722518e+00
3.026316e-01,1.085112e+01,1.349133e+01,6.306881e+00
3.092105e-01,1.153504e+01,9.500205e+00,1.926832e+00
3.157895e-01,1.301445e+01,1.100082e+01,1.333428e+00
3.223684e-01,9.678360e+00,1.165193e+01,2.472820e+00
3.289474e-01,1.053134e+01,2.238128e+01,2.751898e+00
3.355263e-01,1.627010e+01,2.674996e+01,4.641434e+00
3.421053e-01,1.388271e+01,6.481532e+00,8.559563e+00
3.486842e-01,1.074926e+01,1.072317e+01,7.244007e+00
3.552632e-01,9.526403e+00,1.761585e+01,1.119655e+01
3.618421e-01,1.724765e+01,2.141084e+01,1.031354e+01
3.684211e-01,8.863010e+00,2.785780e+01,7.168182e+00
3.750000e-01,1.883296e+01,2.632427e+01,4.122783e+00
3.815789e-01,1.678527e+01,1.334888e+01,6.727052e+00
3.881579e-01,3.776659e+00,8.704672e+00,6.705263e+00
3.947368e-01,2.124131e+00,1.418535e+01,4.979544e+00
4.013158e-01,8.082694e+00,1.262971e+01,8.715211e+00
4.078947e-01,9.085960e+00,2.069296e+01,9.854477e+00
4.144737e-01,2.175618e+01,1.124744e+01,5.383306e+00
4.210526e-01,2.033086e+01,2.413424e+01,5.240116e+00
4.276316e-01,2.406972e+01,2.748264e+01,4.582061e+00
4.342105e-01,2.517774e+01,2.463150e+01,8.058797e+00
4.407895e-01,1.869751e+01,2.657020e+01,1.278667e+01
4.473684e-01,1.487642e+01,1.348014e+01,9.454524e+00
4.539474e-01,2.604135e+01,1.398617e+01,6.748631e+00
4.605263e-01,1.912585e+01,1.375622e+01,1.043541e+01
4.671053e-01,2.686905e+01,1.681475e+01,1.224706e+01
4.736842e-01,2.923425e+01,2.079146e+01,2.202361e+00
4.802632e-01,1.734996e+01,2.433430e+01,8.340977e+00
4.868421e-01,2.262919e+01,2.334546e+01,7.216811e+00
4.934211e-01,1.607639e+01,1.022220e+01,1.685304e+01
5.000000e-01,2.158893e+01,2.358244e+01,1.575889e+01
5.065789e-01,2.414242e+01,2.060423e+01,1.242837e+01
5.131579e-01,2.752801e+01,1.860709e+01,2.747550e+00
5.197368e-01,1.684713e+01,1.868368e+01,1.405746e+01
5.263158e-01,7.607606e+00,9.391810e+00,8.776437e+00
5.328947e-01,9.094424e+00,6.280397e+00,8.671513e+00
5.394737e-01,6.707147e+00,1.258278e+01,9.583647e+00
5.460526e-01,8.540394e+00,8.344187e+00,1.031681e+01
5.526316e-01,1.247128e+01,1.299500e+01,1.233570e+01
5.592105e-01,1.375849e+01,1.186535e+01,2.437918e+01
5.657895e-01,1.425598e+01,7.933706e+00,2.891535e+01
5.723684e-01,9.558815e+00,1.427544e+01,2.048717e+01
5.789474e-01,1.023745e+01,9.044415e+00,2.061855e+01
5.855263e-01,8.537197e+00,1.542064e+01,1.931166e+01
5.921053e-01,5.552324e+00,1.987563e+01,1.209120e+01
5.986842e-01,3.222632e+00,1.850436e+01,9.063524e+00
6.052632e-01,4.168312e+00,1.479883e+01,1.158218e+01
6.118421e-01,1.356984e+01,1.631213e+01,1.236128e+01
6.184211e-01,1.800727e+01,1.795449e+01,2.387267e+01
6.250000e-01,2.219538e+01,1.419973e+01,2.640674e+01
6.315789e-01,2.928754e+01,2.143486e+01,7.221128e+00
6.381579e-01,3.040839e+01,3.604059e+01,1.908686e+01
6.447368e-01,1.609103e+01,4.066583e+01,1.473527e+01
6.513158e-01,2.276218e+01,3.318438e+01,1.169357e+01
6.578947e-01,3.397723e+01,1.878578e+01,2.010082e+01
6.644737e-01,2.442332e+01,2.034505e+01,1.608319e+01
6.710526e-01,4.019266e+01,2.628613e+01,1.285378e+01
6.776316e-01,4.125211e+01,3.098215e+01,1.309745e+01
6.842105e-01,4.614604e+01,2.784172e+01,1.655576e+01
6.907895e-01,4.413557e+01,1.366846e+01,1.508204e+01
6.973684e-01,3.945658e+01,1.202171e+01,2.100337e+01
7.039474e-01,2.813830e+01,1.961836e+01,2.924844e+01
7.105263e-01,2.767644e+01,2.297438e+01,3.276301e+01
7.171053e-01,3.012526e+01,3.394652e+01,2.792120e+01
7.236842e-01,2.459465e+01,3.505185e+01,1.929790e+01
7.302632e-01,1.821152e+01,3.094577e+01,8.064454e+00
7.368421e-01,3.014919e+01,1.994250e+01,1.013472e+01
7.434211e-01,1.073173e+01,1.967756e+01,9.368638e+00
7.500000e-01,1.763203e+01,7.271858e+00,5.684226e+00
