period,NS,EW,UD,H
2.000000e-02,2.888978e-02,2.558394e-02,3.992191e-02,3.858960e-02
2.129572e-02,4.135769e-02,2.957063e-02,5.714952e-02,5.084172e-02
2.267538e-02,4.663735e-02,3.437446e-02,6.444573e-02,5.793657e-02
2.414443e-02,4.947732e-02,4.043143e-02,6.837054e-02,6.389605e-02
2.570865e-02,5.134888e-02,4.746650e-02,7.095700e-02,6.992693e-02
2.737421e-02,5.337639e-02,5.563669e-02,7.376860e-02,7.710046e-02
2.914768e-02,6.332454e-02,7.029848e-02,7.548905e-02,9.461435e-02
3.103604e-02,8.418971e-02,8.436153e-02,8.722476e-02,1.191838e-01
3.304674e-02,9.356817e-02,9.350951e-02,9.738741e-02,1.322839e-01
3.518770e-02,1.077264e-01,1.181110e-01,9.995017e-02,1.598599e-01
3.746737e-02,1.535735e-01,1.213821e-01,9.519889e-02,1.957509e-01
3.989473e-02,1.511488e-01,1.559333e-01,9.352081e-02,2.171662e-01
4.247935e-02,1.867188e-01,1.756529e-01,1.309180e-01,2.563550e-01
4.523142e-02,2.375942e-01,1.965949e-01,1.677805e-01,3.083838e-01
4.816178e-02,2.874853e-01,2.410276e-01,2.164527e-01,3.751561e-01
5.128199e-02,3.757541e-01,3.168617e-01,2.565429e-01,4.915206e-01
5.460434e-02,4.937412e-01,4.779503e-01,3.283909e-01,6.871804e-01
5.814194e-02,5.149741e-01,5.547827e-01,4.557547e-01,7.569558e-01
6.190872e-02,5.938509e-01,6.974218e-01,4.485324e-01,9.160001e-01
6.591954e-02,7.021514e-01,8.052774e-01,3.819304e-01,1.068405e+00
7.019020e-02,8.738136e-01,1.127860e+00,3.530121e-01,1.426751e+00
7.473754e-02,1.149372e+00,1.273317e+00,2.713212e-01,1.715340e+00
7.957948e-02,1.698413e+00,1.522294e+00,2.815781e-01,2.280787e+00
8.473512e-02,2.481603e+00,1.759726e+00,2.808650e-01,3.042202e+00
9.022476e-02,2.714642e+00,2.130438e+00,3.314188e-01,3.450804e+00
9.607006e-02,2.812982e+00,2.837144e+00,4.009013e-01,3.995279e+00
1.022941e-01,2.309855e+00,2.834251e+00,4.049762e-01,3.656284e+00
1.089213e-01,1.933778e+00,2.324879e+00,3.422016e-01,3.023997e+00
1.159778e-01,1.762505e+00,1.850799e+00,3.204010e-01,2.555755e+00
1.234916e-01,1.299247e+00,1.708448e+00,3.475441e-01,2.146354e+00
1.314921e-01,1.170068e+00,1.330512e+00,3.723585e-01,1.771813e+00
1.400110e-01,1.102934e+00,1.378909e+00,3.975748e-01,1.765745e+00
1.490817e-01,1.015722e+00,1.225049e+00,4.247744e-01,1.591363e+00
1.587401e-01,1.158157e+00,1.434588e+00,4.458912e-01,1.843738e+00
1.690242e-01,1.092360e+00,1.740007e+00,4.684977e-01,2.054477e+00
1.799746e-01,1.084954e+00,1.662439e+00,5.037599e-01,1.985152e+00
1.916345e-01,1.117375e+00,1.624961e+00,5.362662e-01,1.972061e+00
2.040497e-01,1.292194e+00,1.495504e+00,5.669840e-01,1.976435e+00
2.172693e-01,1.373695e+00,1.378879e+00,6.107900e-01,1.946367e+00
2.313453e-01,1.287158e+00,1.389905e+00,6.512218e-01,1.894363e+00
2.463332e-01,1.244279e+00,1.238006e+00,6.883767e-01,1.755246e+00
2.622921e-01,1.407603e+00,1.481858e+00,7.342431e-01,2.043832e+00
2.792850e-01,1.772415e+00,1.522712e+00,7.807385e-01,2.336687e+00
2.973787e-01,1.562903e+00,1.394985e+00,8.338529e-01,2.094910e+00
