frequency,NS,EW,UD
0.000000e+00,3.750424e+02,4.228069e+02,3.870007e+03
8.928571e-03,1.755579e-01,1.050218e-01,1.722534e-01
1.785714e-02,2.466087e-01,2.485022e-01,1.418663e-01
2.678571e-02,1.556495e-01,3.028964e-01,2.789435e-01
3.571429e-02,8.189549e-01,8.463070e-01,7.656769e-01
4.464286e-02,6.527954e-01,1.080841e+00,3.137402e-01
5.357143e-02,8.156579e-01,2.369851e-01,8.278480e-01
6.250000e-02,6.937923e-01,1.068227e+00,5.295234e-01
7.142857e-02,1.556468e-01,1.083496e+00,8.189545e-02
8.035714e-02,4.064349e-01,6.300266e-01,1.107668e-01
8.928571e-02,1.735058e+00,1.023881e+00,5.140380e-01
9.821429e-02,7.925013e-01,1.216317e+00,8.746309e-01
1.071429e-01,1.023229e+00,2.005842e+00,8.723162e-01
1.160714e-01,1.710382e+00,2.309345e+00,1.228715e+00
1.250000e-01,1.009749e+00,1.315708e+00,9.375165e-01
1.339286e-01,1.702160e+00,3.643130e+00,8.293202e-01
1.428571e-01,2.007608e+00,5.414750e+00,3.462370e+00
1.517857e-01,2.518476e+00,4.819063e+00,1.813372e+00
1.607143e-01,2.658035e+00,1.730364e+00,1.587516e+00
1.696429e-01,1.815268e+00,7.609800e-01,3.771566e+00
1.785714e-01,2.115922e+00,1.853183e+00,3.148809e+00
1.875000e-01,5.775156e+00,4.621865e+00,7.571857e-01
1.964286e-01,1.457661e+00,3.115169e+00,2.101444e-01
2.053571e-01,3.730119e+00,5.242766e+00,2.531352e+00
2.142857e-01,1.456305e+00,4.768737e+00,3.025547e+00
2.232143e-01,9.793596e-01,9.076365e-01,1.742953e+00
2.321429e-01,3.216245e+00,2.606347e+00,2.458500e+00
2.410714e-01,1.545981e+00,5.422798e+00,1.146009e+00
2.500000e-01,1.890659e+00,4.354261e+00,6.064445e-01
2.589286e-01,2.127720e+00,3.296261e+00,1.103540e+00
2.678571e-01,1.371729e+00,2.237886e+00,1.010836e+00
2.767857e-01,1.493918e-01,3.920954e+00,5.298248e-01
2.857143e-01,8.290420e-01,3.061621e+00,6.285646e-01
2.946429e-01,3.008184e+00,2.646379e+00,2.213024e+00
3.035714e-01,1.921994e+00,1.961922e+00,2.007656e+00
3.125000e-01,2.030287e+00,2.472195e+00,3.045146e+00
3.214286e-01,2.393879e+00,1.943668e+00,1.147723e+00
3.303571e-01,1.228153e+00,2.077186e+00,4.209788e+00
3.392857e-01,9.093848e-01,2.755398e+00,2.720343e+00
3.482143e-01,1.372273e+00,2.678470e+00,4.742928e+00
3.571429e-01,7.414105e+00,2.594143e+00,6.038258e+00
3.660714e-01,3.925911e+00,2.746712e+00,5.215213e-01
3.750000e-01,4.275259e+00,2.223755e+00,4.110163e+00
3.839286e-01,3.057419e+00,1.512163e+00,1.022680e+00
3.928571e-01,3.439405e+00,1.620566e+00,2.550145e+00
4.017857e-01,3.002297e+00,7.500899e+00,9.580937e-01
4.107143e-01,2.799379e+00,4.386632e+00,2.102682e+00
4.196429e-01,1.030946e+00,2.494038e+00,3.921668e+00
4.285714e-01,3.817729e+00,8.227740e+00,1.674652e+00
4.375000e-01,2.979818e+00,6.049429e+00,2.245939e+00
4.464286e-01,2.059990e+00,7.226351e+00,2.162863e+00
4.553571e-01,7.566696e-01,6.860973e+00,6.110422e+00
4.642857e-01,1.869800e+00,2.963525e+00,6.165797e+00
4.732143e-01,3.192741e+00,1.680849e+00,2.137950e+00
4.821429e-01,1.048475e+00,4.345086e+00,6.895636e+00
4.910714e-01,1.046159e+00,3.995598e+00,7.682422e-01
5.000000e-01,8.094067e-01,4.688738e+00,1.557612e+00
5.089286e-01,8.335347e-01,1.334458e+00,4.374555e+00
5.178571e-01,2.912463e+00,6.922547e+00,3.961795e+00
5.267857e-01,9.659442e-01,4.660239e+00,3.548672e+00
5.357143e-01,4.980736e-01,4.152216e+00,1.819011e+00
5.446429e-01,1.175723e+00,1.898313e+00,2.547430e+00
5.535714e-01,4.256363e+00,3.722128e+00,5.542400e+00
5.625000e-01,2.029755e+00,5.211200e+00,3.730674e+00
5.714286e-01,5.512627e+00,4.558313e+00,4.849102e+00
5.803571e-01,2.329493e+00,5.156309e+00,2.123515e+00
5.892857e-01,8.451459e+00,6.231271e+00,2.666053e+00
5.982143e-01,3.625929e+00,5.137516e+00,2.065875e+00
6.071429e-01,4.303428e+00,2.182031e+00,1.091299e+00
6.160714e-01,5.229615e+00,4.203603e+00,1.683825e+00
6.250000e-01,2.074133e+00,2.156283e+00,2.432833e+00
6.339286e-01,6.421390e+00,6.574256e+00,2.049634e+00
6.428571e-01,3.873440e+00,8.247602e+00,2.458930e+00
6.517857e-01,1.358906e+00,8.022490e+00,2.154433e+00
6.607143e-01,2.043029e+00,7.297687e+00,2.854067e+00
6.696429e-01,3.944483e+00,6.502872e+00,3.786498e+00
6.785714e-01,2.103091e+00,4.633681e+00,3.538013e+00
6.875000e-01,3.977762e+00,5.526188e+00,3.369740e+00
6.964286e-01,5.421727e+00,3.798125e+00,5.438367e+00
7.053571e-01,1.969362e+00,3.765333e+00,5.014023e+00
7.142857e-01,2.986151e+00,5.982086e+00,3.976057e+00
7.232143e-01,3.890290e+00,3.677195e+00,3.767149e+00
7.321429e-01,3.626789e+00,2.433316e+00,5.723959e+00
7.410714e-01,3.107457e+00,2.588064e+00,4.110458e+00
7.500000e-01,4.477370e+00,3.630811e+00,6.467141e-01
7.589286e-01,3.856903e+00,1.197577e+00,1.572217e+00
7.678571e-01,3.903902e+00,5.890775e+00,3.283416e+00
7.767857e-01,3.582974e+00,8.122221e+00,4.494989e+00
7.857143e-01,4.375456e+00,6.436995e+00,4.484780e+00
7.946429e-01,5.854149e+00,6.295775e+00,1.353985e+00
8.035714e-01,8.422548e+00,3.895841e+00,5.193383e+00
8.125000e-01,1.211627e+01,4.835315e+00,5.950963e+00
8.214286e-01,9.327014e+00,1.004220e+01,4.170155e+00
8.303571e-01,2.874452e+00,3.795262e+00,6.228563e+00
8.392857e-01,3.545331e+00,2.392489e+00,4.405245e+00
8.482143e-01,1.386015e+00,4.221125e+00,1.612399e+00
8.571429e-01,5.806009e+00,3.601875e+00,6.058690e+00
8.660714e-01,7.444918e+00,2.107917e+00,3.035339e+00
8.750000e-01,4.756287e+00,3.967453e+00,5.127379e+00
8.839286e-01,5.449262e+00,2.523718e+00,6.182097e+00
8.928571e-01,9.650019e-01,6.593874e+00,4.382926e+00
9.017857e-01,1.440229e+00,7.318603e+00,3.384689e+00
9.107143e-01,9.479051e-01,8.606453e+00,2.100526e+00
9.196429e-01,1.186936e+00,6.280574e+00,4.233569e+00
9.285714e-01,3.401298e+00,7.293685e+00,2.820864e+00
9.375000e-01,4.402575e+00,6.286320e+00,6.039526e+00
9.464286e-01,4.631913e+00,7.617723e+00,2.764498e+00
9.553571e-01,6.587036e+00,8.054581e+00,2.918229e+00
9.642857e-01,1.457612e+00,1.109667e+00,2.899840e+00
9.732143e-01,1.757499e+00,1.247719e+00,1.141871e+00
9.821429e-01,1.453021e+00,3.779033e+00,4.924266e-01
9.910714e-01,5.007141e+00,3.709236e+00,3.798666e+00
1.000000e+00,1.977804e+00,3.026728e+00,3.722001e+00
1.008929e+00,7.702312e-01,2.941732e+00,2.608062e+00
1.017857e+00,2.890298e+00,6.342352e-01,4.693922e+00
1.026786e+00,4.359415e+00,2.844724e+00,2.852515e+00
1.035714e+00,6.453407e+00,4.566994e+00,4.767205e+00
1.044643e+00,3.176987e+00,9.266797e+00,4.527177e+00
1.053571e+00,1.813875e+00,5.282222e+00,3.098074e+00
1.062500e+00,3.911048e+00,8.290362e-01,2.171857e+00
1.071429e+00,3.220662e+00,4.427046e+00,3.559132e+00
1.080357e+00,3.373238e+00,5.344964e-01,7.714648e-01
1.089286e+00,1.760440e+00,6.103279e+00,3.029126e+00
1.098214e+00,6.311357e+00,8.998317e+00,5.618948e+00
1.107143e+00,1.107653e+01,9.706218e+00,5.395868e+00
1.116071e+00,1.155471e+01,9.930732e+00,2.573447e+00
1.125000e+00,4.887764e+00,4.257374e+00,5.657345e+00
1.133929e+00,4.550835e+00,5.831272e+00,5.459777e+00
1.142857e+00,4.251796e+00,6.059130e+00,5.299188e+00
1.151786e+00,1.802062e+00,3.122411e+00,3.204788e+00
1.160714e+00,1.268471e+00,5.440770e+00,5.902664e+00
1.169643e+00,2.473646e+00,6.974302e+00,6.027381e+00
1.178571e+00,3.116689e+00,3.283403e+00,6.115302e+00
1.187500e+00,5.902662e+00,3.473543e+00,7.960233e+00
1.196429e+00,2.103832e+00,7.549998e+00,4.777774e+00
1.205357e+00,7.289726e+00,8.789034e+00,3.033006e+00
1.214286e+00,6.899165e+00,5.389832e+00,3.315248e+00
1.223214e+00,4.315752e+00,2.581758e+00,5.435646e+00
1.232143e+00,2.360126e+00,8.394487e+00,5.845002e+00
1.241071e+00,2.316406e+00,3.849595e+00,1.429979e+00
1.250000e+00,1.211202e+00,4.934984e+00,1.618513e+00
1.258929e+00,2.031666e+00,8.614854e+00,2.773790e+00
1.267857e+00,3.458261e+00,5.866559e+00,5.777102e+00
1.276786e+00,5.121236e+00,5.141106e+00,6.036719e+00
1.285714e+00,7.503908e-01,7.046370e+00,5.320328e+00
1.294643e+00,4.022643e+00,6.612468e+00,2.684745e+00
1.303571e+00,2.599135e+00,4.870458e+00,4.499868e+00
1.312500e+00,5.153373e+00,5.220796e+00,2.470655e+00
1.321429e+00,3.170515e+00,7.621085e+00,3.703807e+00
1.330357e+00,1.978026e+00,9.954242e+00,5.228263e+00
1.339286e+00,6.029685e+00,8.363892e+00,7.944741e+00
1.348214e+00,1.067025e+01,2.973935e+00,1.078688e+01
1.357143e+00,7.030248e+00,4.066054e+00,8.001041e+00
1.366071e+00,2.822150e+00,4.640299e+00,5.639186e-01
1.375000e+00,3.419863e+00,9.012866e+00,4.428473e+00
1.383929e+00,2.046340e+00,9.038313e+00,4.666429e+00
1.392857e+00,4.521879e+00,1.314421e+01,3.240355e+00
1.401786e+00,3.093102e+00,9.256124e+00,7.066725e+00
1.410714e+00,4.388423e-01,6.657752e+00,5.619573e+00
1.419643e+00,1.818463e+00,1.422033e+01,6.065180e+00
1.428571e+00,4.283326e+00,1.053623e+01,4.877522e+00
1.437500e+00,9.156882e-01,8.172068e+00,2.306750e+00
1.446429e+00,2.331338e+00,2.346589e+00,2.742309e+00
1.455357e+00,8.255481e+00,3.349568e+00,4.487351e-01
1.464286e+00,1.165205e+01,7.440594e+00,3.649593e+00
1.473214e+00,6.415989e+00,1.778711e+01,4.188229e+00
1.482143e+00,6.052516e-01,1.896415e+01,3.798779e+00
1.491071e+00,1.609642e+00,1.385737e+01,6.721855e+00
1.500000e+00,1.408747e+00,1.081468e+01,6.488206e+00
1.508929e+00,3.650534e-01,4.205324e+00,4.950102e+00
1.517857e+00,1.171628e+00,3.730227e+00,4.797014e+00
1.526786e+00,3.344727e+00,3.324332e+00,4.725789e+00
1.535714e+00,3.413480e+00,1.985906e+00,7.283892e+00
1.544643e+00,5.382907e-01,2.510316e+00,8.085636e+00
1.553571e+00,3.534104e+00,3.080729e+00,5.962043e+00
1.562500e+00,3.556814e+00,4.391031e+00,2.760260e+00
1.571429e+00,4.668274e+00,7.184039e+00,3.089608e+00
1.580357e+00,2.479062e+00,6.321615e+00,3.620264e+00
1.589286e+00,6.047231e+00,6.392939e+00,4.747859e+00
1.598214e+00,6.781448e+00,1.123757e+01,3.725945e+00
1.607143e+00,6.844870e+00,9.343634e+00,1.251649e+00
1.616071e+00,4.667653e+00,1.158655e+01,2.920694e+00
1.625000e+00,3.849585e+00,8.713581e+00,5.932174e+00
1.633929e+00,5.155214e+00,9.293731e+00,4.524055e+00
1.642857e+00,1.825511e+00,9.422170e+00,1.354581e+00
1.651786e+00,1.856719e+00,8.026491e+00,2.387111e+00
1.660714e+00,3.630057e+00,3.057818e+00,2.136251e+00
1.669643e+00,2.068214e+00,7.608135e+00,3.627822e+00
1.678571e+00,6.084024e+00,1.245387e+01,8.201120e+00
1.687500e+00,8.557665e+00,1.045009e+01,7.561805e+00
1.696429e+00,1.128885e+01,1.175419e+01,4.596413e+00
1.705357e+00,1.290552e+01,1.148847e+01,7.083260e+00
1.714286e+00,6.140610e+00,7.859219e+00,4.957468e+00
1.723214e+00,5.630016e+00,2.026640e+00,2.008251e+00
1.732143e+00,7.733604e+00,3.349110e+00,3.793630e+00
1.741071e+00,3.611225e+00,4.030299e+00,2.824798e+00
1.750000e+00,8.087778e+00,8.859632e+00,8.140871e+00
1.758929e+00,8.875497e+00,4.359524e+00,6.253663e+00
1.767857e+00,1.023490e+00,5.194484e+00,1.066482e+00
1.776786e+00,5.920394e+00,8.495409e+00,4.408461e+00
1.785714e+00,5.102529e+00,8.406340e+00,3.441575e+00
1.794643e+00,4.280629e+00,4.552730e+00,3.281339e+00
1.803571e+00,1.176832e+01,5.120571e+00,3.358765e+00
1.812500e+00,1.661212e+01,5.529416e+00,3.732752e+00
1.821429e+00,1.409568e+01,7.667629e+00,4.685913e+00
1.830357e+00,1.359189e+01,9.368189e+00,1.023327e+01
1.839286e+00,1.177193e+01,8.444158e+00,3.956391e+00
1.848214e+00,1.233637e+01,3.079907e+00,2.141848e+00
1.857143e+00,1.235713e+01,7.552283e+00,1.646693e+00
1.866071e+00,7.046513e+00,3.487434e+00,2.992196e+00
1.875000e+00,4.186319e+00,3.101596e+00,2.527734e+00
1.883929e+00,3.230344e+00,3.701454e+00,4.793810e+00
1.892857e+00,5.360954e+00,3.546717e+00,5.706484e+00
1.901786e+00,6.106907e+00,9.207260e+00,4.353596e+00
1.910714e+00,1.155276e+01,1.196274e+01,4.542073e+00
1.919643e+00,1.431036e+01,1.441329e+01,2.307749e+00
1.928571e+00,1.191902e+01,1.197844e+01,2.566984e+00
1.937500e+00,9.135151e+00,1.167236e+01,3.439788e+00
1.946429e+00,4.796631e+00,5.891394e+00,4.839266e+00
1.955357e+00,6.447017e+00,5.148281e+00,8.810722e+00
1.964286e+00,6.716949e+00,1.198412e+01,5.971269e+00
1.973214e+00,7.303790e+00,7.504647e+00,1.818439e+00
1.982143e+00,2.963700e+00,2.221038e+00,3.012069e+00
