frequency,NS,EW,UD
0.000000e+00,8.651201e+01,2.008414e+03,1.785169e+03
9.900990e-03,1.119293e-01,2.561247e-02,5.305510e-02
1.980198e-02,1.261865e-01,2.766486e-01,1.170287e-01
2.970297e-02,8.765410e-01,9.957728e-01,7.260305e-01
3.960396e-02,1.409824e+00,1.124693e+00,2.138211e-01
4.950495e-02,3.909891e-01,2.539069e-01,8.911289e-01
5.940594e-02,7.002176e-01,1.078500e+00,1.325154e+00
6.930693e-02,8.821469e-01,7.075901e-01,3.948480e-01
7.920792e-02,5.914061e-01,9.744322e-01,5.188544e-01
8.910891e-02,1.011068e+00,1.136421e+00,9.242704e-01
9.900990e-02,7.049666e-01,1.251299e+00,1.195339e+00
1.089109e-01,1.159592e+00,2.513638e+00,1.207281e+00
1.188119e-01,5.108551e-01,1.449568e+00,9.101565e-01
1.287129e-01,1.701384e+00,2.303281e+00,1.633686e+00
1.386139e-01,2.191329e+00,3.980603e+00,5.611678e-01
1.485149e-01,1.890170e+00,6.638297e+00,2.590179e+00
1.584158e-01,4.738887e+00,4.582470e+00,3.191832e+00
1.683168e-01,5.053645e+00,4.002729e+00,9.156253e-01
1.782178e-01,4.041677e+00,4.027408e+00,2.383780e+00
1.881188e-01,3.712109e-01,2.259671e+00,2.623119e+00
1.980198e-01,4.235019e+00,2.111520e+00,2.214118e+00
2.079208e-01,3.055102e+00,9.211496e-01,2.759340e+00
2.178218e-01,2.088098e+00,3.412476e+00,7.290375e-01
2.277228e-01,3.539480e+00,3.542451e+00,7.863712e-01
2.376238e-01,1.806648e+00,3.468369e+00,1.833170e+00
2.475248e-01,3.517605e+00,1.303431e+00,5.362614e-01
2.574257e-01,2.420229e+00,2.861580e+00,2.131135e+00
2.673267e-01,4.924737e+00,3.149514e+00,2.462031e+00
2.772277e-01,1.664822e+00,1.651333e+00,3.426036e+00
2.871287e-01,2.729983e+00,4.273972e+00,1.529106e+00
2.970297e-01,3.306820e+00,3.992645e+00,4.156402e+00
3.069307e-01,2.818500e+00,2.421049e+00,2.949310e+00
3.168317e-01,2.047779e+00,1.704856e+00,1.178077e+00
3.267327e-01,2.243751e+00,1.475986e+00,7.985197e-01
3.366337e-01,2.912894e+00,3.899803e+00,9.692304e-01
3.465347e-01,3.075185e+00,1.138080e+00,1.617418e+00
3.564356e-01,4.098295e+00,2.155630e+00,1.478661e+00
3.663366e-01,2.181896e+00,1.645529e+00,3.912785e+00
3.762376e-01,3.193077e+00,1.211166e+00,1.923690e+00
3.861386e-01,1.678814e+00,2.362085e+00,1.605320e+00
