period,NS,EW,UD,H
2.000000e-02,1.128750e-03,4.102164e-02,3.718785e-02,4.103716e-02
2.129572e-02,1.602181e-03,5.872452e-02,5.324610e-02,5.874637e-02
2.267538e-02,1.804788e-03,6.622295e-02,6.004668e-02,6.624754e-02
2.414443e-02,1.914934e-03,7.025627e-02,6.370383e-02,7.028237e-02
2.570865e-02,1.988078e-03,7.291408e-02,6.611332e-02,7.294118e-02
2.737421e-02,2.125303e-03,7.589393e-02,6.894455e-02,7.592368e-02
2.914768e-02,2.180020e-03,7.767831e-02,7.058839e-02,7.770889e-02
3.103604e-02,2.116588e-03,8.959925e-02,8.138835e-02,8.962425e-02
3.304674e-02,2.316488e-03,1.000447e-01,9.090170e-02,1.000715e-01
3.518770e-02,2.320417e-03,1.026811e-01,9.333629e-02,1.027074e-01
3.746737e-02,2.305749e-03,9.780216e-02,8.895749e-02,9.782933e-02
3.989473e-02,2.791342e-03,9.266744e-02,8.383750e-02,9.270947e-02
4.247935e-02,3.270960e-03,1.099486e-01,9.950068e-02,1.099972e-01
4.523142e-02,3.724205e-03,1.262852e-01,1.143078e-01,1.263401e-01
4.816178e-02,4.148977e-03,1.415996e-01,1.281886e-01,1.416603e-01
5.128199e-02,4.544311e-03,1.558556e-01,1.411101e-01,1.559218e-01
5.460434e-02,4.910104e-03,1.690485e-01,1.530681e-01,1.691198e-01
5.814194e-02,5.414972e-03,1.811972e-01,1.640796e-01,1.812781e-01
6.190872e-02,5.739715e-03,1.923373e-01,1.741770e-01,1.924230e-01
6.591954e-02,6.429472e-03,2.025162e-01,1.834030e-01,2.026182e-01
7.019020e-02,8.659865e-03,2.117885e-01,1.918074e-01,2.119654e-01
7.473754e-02,9.321191e-03,2.202132e-01,1.994436e-01,2.204104e-01
7.957948e-02,1.107731e-02,2.278511e-01,2.063666e-01,2.281202e-01
8.473512e-02,1.380518e-02,2.347629e-01,2.126314e-01,2.351684e-01
9.022476e-02,1.805101e-02,2.546147e-01,2.301080e-01,2.552538e-01
9.607006e-02,2.064895e-02,2.756555e-01,2.491676e-01,2.764278e-01
1.022941e-01,2.206258e-02,2.950655e-01,2.667503e-01,2.958892e-01
1.089213e-01,2.523402e-02,3.128936e-01,2.829001e-01,3.139095e-01
1.159778e-01,2.476429e-02,3.292080e-01,2.976790e-01,3.301382e-01
1.234916e-01,3.024953e-02,3.502492e-01,3.162777e-01,3.515530e-01
1.314921e-01,3.551962e-02,3.806067e-01,3.437592e-01,3.822605e-01
1.400110e-01,3.804918e-02,4.087097e-01,3.692005e-01,4.104770e-01
1.490817e-01,4.753729e-02,4.346006e-01,3.926397e-01,4.371928e-01
1.587401e-01,5.836743e-02,4.583554e-01,4.141455e-01,4.620567e-01
1.690242e-01,7.325012e-02,4.821104e-01,4.353202e-01,4.876433e-01
1.799746e-01,9.439824e-02,5.183473e-01,4.681091e-01,5.268728e-01
1.916345e-01,1.283190e-01,5.517519e-01,4.983361e-01,5.664767e-01
2.040497e-01,1.385969e-01,5.838915e-01,5.272319e-01,6.001154e-01
2.172693e-01,1.910966e-01,6.289182e-01,5.679597e-01,6.573097e-01
2.313453e-01,2.515192e-01,6.704763e-01,6.055512e-01,7.161008e-01
2.463332e-01,3.650135e-01,7.086658e-01,6.400965e-01,7.971463e-01
2.622921e-01,5.428212e-01,7.556942e-01,6.828714e-01,9.304453e-01
2.792850e-01,6.165549e-01,8.034952e-01,7.261000e-01,1.012790e+00
2.973787e-01,5.030816e-01,8.570779e-01,7.753994e-01,9.938177e-01
3.166447e-01,5.593777e-01,9.135626e-01,8.264748e-01,1.071214e+00
3.371588e-01,5.144585e-01,9.675502e-01,8.762011e-01,1.095820e+00
3.590020e-01,5.349106e-01,1.031556e+00,9.340775e-01,1.161997e+00
3.822603e-01,5.362457e-01,1.099845e+00,9.964336e-01,1.223609e+00
4.070254e-01,4.859991e-01,1.170050e+00,1.059921e+00,1.266970e+00
4.333949e-01,4.581296e-01,1.245989e+00,1.128697e+00,1.327543e+00
