frequency,NS,EW,UD
0.000000e+00,6.946394e+02,1.747707e+02,4.302394e+02
1.470588e-02,2.977893e-01,3.851222e-01,2.183032e-02
2.941176e-02,6.639126e-01,6.852458e-01,4.172261e-01
4.411765e-02,3.958814e-01,3.357684e-01,4.565967e-01
5.882353e-02,7.064956e-01,4.802118e-01,8.179121e-01
7.352941e-02,4.339711e-01,9.643497e-02,3.923086e-01
8.823529e-02,6.198556e-01,6.608953e-01,9.500294e-01
1.029412e-01,5.555752e-01,1.970713e-01,5.374468e-01
1.176471e-01,9.826990e-01,1.511831e-01,1.717023e-01
1.323529e-01,1.449718e+00,6.908447e-01,1.231495e-01
1.470588e-01,4.270062e-01,3.265694e-01,4.423179e-01
1.617647e-01,7.054038e-01,2.122882e+00,7.717658e-01
1.764706e-01,1.036501e+00,2.140157e+00,6.139091e-01
1.911765e-01,1.717723e-01,1.027323e+00,9.901588e-01
2.058824e-01,1.287213e+00,9.791101e-01,1.331071e+00
2.205882e-01,7.934462e-01,1.793646e+00,2.168630e+00
2.352941e-01,2.275490e+00,1.315511e+00,1.926526e+00
2.500000e-01,1.047451e+00,7.983382e-01,1.050889e+00
2.647059e-01,2.356664e+00,1.465865e+00,5.994744e-01
2.794118e-01,5.168117e-01,1.300945e+00,5.272469e-01
2.941176e-01,8.959354e-01,2.990609e-01,4.281347e-01
3.088235e-01,2.863298e-01,2.702319e+00,8.905795e-01
3.235294e-01,9.593092e-01,2.547723e+00,8.496396e-01
3.382353e-01,5.125628e+00,8.955098e-01,8.136966e-01
3.529412e-01,2.516769e+00,5.668051e+00,2.020788e+00
3.676471e-01,3.545797e+00,2.461580e+00,8.814215e-01
3.823529e-01,1.524365e+00,2.664752e+00,1.579377e+00
3.970588e-01,1.387773e+00,2.324906e+00,9.292308e-01
4.117647e-01,3.259467e+00,2.285372e+00,1.401680e+00
4.264706e-01,1.217727e+00,4.437035e+00,1.592500e+00
4.411765e-01,4.714916e+00,1.833051e+00,1.736861e+00
4.558824e-01,2.937214e+00,2.144862e+00,2.006063e+00
4.705882e-01,2.963263e+00,5.954051e-01,2.117816e+00
