period,NS,EW,UD,H
2.000000e-02,2.127177e-02,6.047854e-03,1.353007e-02,2.211481e-02
2.129572e-02,3.044908e-02,8.666500e-03,1.936737e-02,3.165841e-02
2.267538e-02,3.433663e-02,9.773727e-03,2.184025e-02,3.570056e-02
2.414443e-02,3.642806e-02,1.036850e-02,2.317077e-02,3.787492e-02
2.570865e-02,3.780640e-02,1.076011e-02,2.404770e-02,3.930781e-02
2.737421e-02,3.920123e-02,1.111263e-02,2.491557e-02,4.074589e-02
2.914768e-02,4.008841e-02,1.136627e-02,2.546365e-02,4.166861e-02
3.103604e-02,4.661403e-02,1.339852e-02,2.981252e-02,4.850143e-02
3.304674e-02,5.203888e-02,1.497173e-02,3.328317e-02,5.414977e-02
3.518770e-02,5.341390e-02,1.539368e-02,3.417770e-02,5.558786e-02
3.746737e-02,5.089131e-02,1.470712e-02,3.259265e-02,5.297382e-02
3.989473e-02,4.804553e-02,1.354542e-02,3.050209e-02,4.991844e-02
4.247935e-02,5.700653e-02,1.609126e-02,3.620077e-02,5.923405e-02
4.523142e-02,6.547773e-02,1.849801e-02,4.158801e-02,6.804050e-02
4.816178e-02,7.341891e-02,2.075423e-02,4.663822e-02,7.629596e-02
5.128199e-02,8.081128e-02,2.285455e-02,5.133944e-02,8.398091e-02
5.460434e-02,8.765241e-02,2.479828e-02,5.569012e-02,9.109281e-02
5.814194e-02,9.395206e-02,2.658818e-02,5.969645e-02,9.764180e-02
6.190872e-02,9.972871e-02,2.822950e-02,6.337019e-02,1.036471e-01
6.591954e-02,1.050069e-01,2.972920e-02,6.672693e-02,1.091342e-01
7.019020e-02,1.098150e-01,3.109533e-02,6.978472e-02,1.141326e-01
7.473754e-02,1.141836e-01,3.233660e-02,7.256301e-02,1.186742e-01
7.957948e-02,1.181442e-01,3.346194e-02,7.508182e-02,1.227915e-01
8.473512e-02,1.217283e-01,3.448029e-02,7.736118e-02,1.265175e-01
9.022476e-02,1.317965e-01,3.694826e-02,8.343336e-02,1.368776e-01
9.607006e-02,1.427053e-01,4.003969e-02,9.036603e-02,1.482160e-01
1.022941e-01,1.527688e-01,4.289172e-02,9.676152e-02,1.586758e-01
1.089213e-01,1.620121e-01,4.551146e-02,1.026359e-01,1.682831e-01
1.159778e-01,1.704706e-01,4.790889e-02,1.080116e-01,1.770748e-01
1.234916e-01,1.806712e-01,5.016945e-02,1.139112e-01,1.875075e-01
1.314921e-01,1.964014e-01,5.461288e-02,1.238960e-01,2.038531e-01
1.400110e-01,2.109637e-01,5.872695e-02,1.331399e-01,2.189853e-01
1.490817e-01,2.243800e-01,6.251766e-02,1.416566e-01,2.329267e-01
1.587401e-01,2.366895e-01,6.599598e-02,1.494710e-01,2.457181e-01
1.690242e-01,2.479757e-01,6.917635e-02,1.566157e-01,2.574439e-01
1.799746e-01,2.667359e-01,7.361220e-02,1.677577e-01,2.767071e-01
1.916345e-01,2.840303e-01,7.848237e-02,1.787220e-01,2.946739e-01
2.040497e-01,2.999506e-01,8.295380e-02,1.887878e-01,3.112100e-01
2.172693e-01,3.232373e-01,8.855239e-02,2.024832e-01,3.351476e-01
2.313453e-01,3.447314e-01,9.458433e-02,2.160909e-01,3.574716e-01
2.463332e-01,3.644842e-01,1.162878e-01,2.285971e-01,3.825854e-01
2.622921e-01,3.890284e-01,1.058022e-01,2.428515e-01,4.031590e-01
2.792850e-01,4.137308e-01,1.354937e-01,2.584679e-01,4.353524e-01
2.973787e-01,4.428199e-01,1.705073e-01,2.757985e-01,4.745126e-01
3.166447e-01,4.719944e-01,2.011785e-01,2.942143e-01,5.130804e-01
3.371588e-01,5.018774e-01,2.394197e-01,3.123554e-01,5.560600e-01
3.590020e-01,5.349326e-01,2.797568e-01,3.331920e-01,6.036694e-01
3.822603e-01,5.720790e-01,2.667285e-01,3.561757e-01,6.312040e-01
4.070254e-01,6.083439e-01,2.871396e-01,3.790085e-01,6.727046e-01
4.333949e-01,6.490065e-01,3.344210e-01,4.042511e-01,7.301006e-01
4.614729e-01,6.924351e-01,3.810202e-01,4.311003e-01,7.903434e-01
4.913698e-01,7.365385e-01,3.897144e-01,4.588154e-01,8.332864e-01
5.232037e-01,7.851061e-01,3.472407e-01,4.888286e-01,8.584683e-01
5.571000e-01,8.378622e-01,3.073709e-01,5.217572e-01,8.924629e-01
5.931922e-01,8.923642e-01,3.237039e-01,5.560654e-01,9.492619e-01
6.316228e-01,9.517640e-01,4.102109e-01,5.936220e-01,1.036401e+00
6.725431e-01,1.013359e+00,5.374121e-01,6.326982e-01,1.147044e+00
7.161144e-01,1.079968e+00,5.690649e-01,6.751227e-01,1.220723e+00
