frequency,NS,EW,UD
0.000000e+00,1.889401e+02,2.968944e+02,6.270065e+02
1.666667e-02,1.437569e-01,5.519858e-01,1.427164e-01
3.333333e-02,8.370630e-01,4.003788e-01,6.741267e-01
5.000000e-02,1.079785e+00,6.167436e-01,9.615799e-01
6.666667e-02,1.217431e+00,1.561295e+00,4.939316e-01
8.333333e-02,1.003648e+00,2.006449e+00,4.166261e-01
1.000000e-01,1.029882e+00,1.437654e+00,9.042270e-01
1.166667e-01,6.827476e-01,1.702303e+00,9.268535e-01
1.333333e-01,1.183868e+00,4.723887e+00,1.249180e+00
1.500000e-01,3.439095e+00,7.972594e+00,1.997923e+00
1.666667e-01,3.681334e+00,5.443552e+00,2.323076e+00
1.833333e-01,1.962705e+00,5.191862e+00,2.559533e+00
2.000000e-01,1.493801e+00,1.756382e+00,1.161626e+00
2.166667e-01,4.271685e+00,6.532596e+00,2.120395e+00
2.333333e-01,2.657297e+00,2.625137e+00,3.441669e+00
2.500000e-01,1.595093e+00,1.566468e+00,1.667861e+00
2.666667e-01,3.815087e+00,2.623235e+00,9.470269e-01
2.833333e-01,2.594331e+00,9.305145e-01,3.566806e-01
3.000000e-01,3.797824e+00,2.149903e+00,2.341282e+00
3.166667e-01,4.350902e+00,1.854173e+00,8.285599e-01
3.333333e-01,4.522066e+00,2.033732e+00,4.156486e+00
3.500000e-01,5.077977e+00,2.998139e+00,4.321931e+00
3.666667e-01,4.070516e+00,3.778074e+00,6.834846e-01
3.833333e-01,2.060903e+00,2.677079e+00,8.791177e-01
4.000000e-01,2.328066e+00,2.171832e+00,1.262225e+00
4.166667e-01,7.931829e+00,3.491828e+00,3.969747e+00
4.333333e-01,3.869539e+00,2.093724e+00,3.598201e+00
4.500000e-01,1.029870e+00,2.346143e+00,2.373828e+00
4.666667e-01,3.320070e+00,2.307101e-01,1.829123e+00
4.833333e-01,2.421295e+00,1.839460e+00,4.368157e+00
5.000000e-01,2.913295e+00,2.460952e+00,6.082674e-01
5.166667e-01,1.727688e+00,2.613690e+00,1.904576e+00
5.333333e-01,5.121911e+00,1.783258e+00,3.363144e+00
5.500000e-01,3.457447e+00,1.779977e+00,1.632030e+00
5.666667e-01,3.582961e+00,2.886151e+00,2.419576e+00
5.833333e-01,4.994142e+00,1.648798e+00,1.035282e+00
6.000000e-01,4.730683e+00,2.417114e+00,1.577191e+00
6.166667e-01,1.463707e+00,1.854342e+00,1.115414e+00
6.333333e-01,1.468405e+00,2.375889e+00,4.392162e+00
6.500000e-01,3.978094e+00,7.134292e-01,2.921189e+00
6.666667e-01,1.773990e+00,4.293233e+00,1.419644e+00
6.833333e-01,2.262256e-01,1.971607e-01,8.692287e-01
7.000000e-01,2.175133e+00,2.581439e+00,3.088307e+00
7.166667e-01,2.610535e+00,4.790212e+00,1.924846e+00
7.333333e-01,6.060237e-01,4.591296e+00,1.969237e+00
7.500000e-01,1.835915e+00,2.043939e+00,1.882447e+00
7.666667e-01,8.147405e-01,5.722273e+00,4.722090e-01
7.833333e-01,1.369891e+00,1.990164e+00,2.142852e+00
8.000000e-01,2.341499e+00,1.516118e+00,1.536790e+00
8.166667e-01,6.762143e-01,2.009755e+00,6.709539e-01
8.333333e-01,5.285148e+00,3.390407e+00,1.054363e+00
8.500000e-01,4.757449e+00,5.093172e+00,3.541601e+00
8.666667e-01,3.270989e+00,2.655481e+00,1.481476e+00
8.833333e-01,1.146848e+00,2.291147e+00,1.912780e+00
9.000000e-01,1.546339e+00,2.909967e+00,1.608310e+00
9.166667e-01,2.284885e+00,1.258326e+00,2.763304e+00
9.333333e-01,2.276002e+00,3.444661e+00,1.804621e+00
9.500000e-01,3.209137e+00,1.605150e+00,7.482466e-01
9.666667e-01,4.645085e+00,1.378761e+00,3.337840e+00
9.833333e-01,1.883472e+00,7.251428e-01,1.486557e+00
1.000000e+00,1.328511e+00,1.534200e+00,1.593618e+00
1.016667e+00,1.330409e+00,1.487543e+00,3.236559e-01
1.033333e+00,2.392664e+00,1.608980e+00,1.674161e+00
1.050000e+00,1.207591e+00,7.128977e-01,1.113794e+00
1.066667e+00,1.565801e+00,2.892144e+00,1.931569e-01
1.083333e+00,7.642614e-01,9.123705e-01,2.854341e+00
1.100000e+00,2.345264e+00,1.641497e+00,1.940921e+00
1.116667e+00,4.024705e+00,3.257332e+00,1.056661e+00
1.133333e+00,3.408175e+00,1.664368e+00,1.601714e+00
1.150000e+00,3.784948e+00,1.721382e+00,2.407823e+00
1.166667e+00,2.459264e+00,2.727336e+00,6.616852e-01
1.183333e+00,1.213049e+00,1.392373e+00,3.662761e-01
1.200000e+00,7.051715e-01,2.368054e+00,7.353918e-01
1.216667e+00,1.590589e+00,7.477419e-01,6.771243e-01
1.233333e+00,2.609373e+00,6.388942e-01,1.471091e+00
1.250000e+00,3.166011e+00,5.699681e-01,8.752106e-01
1.266667e+00,2.361112e+00,2.102876e+00,1.739658e+00
1.283333e+00,6.457870e-01,2.317229e+00,1.146903e+00
1.300000e+00,1.132934e+00,2.522582e+00,1.202184e+00
1.316667e+00,1.206740e+00,1.183372e+00,9.256164e-01
1.333333e+00,2.045847e+00,8.871507e-01,1.486352e+00
1.350000e+00,2.125950e+00,1.823217e+00,1.096631e+00
1.366667e+00,2.165941e+00,1.205247e+00,7.920954e-01
1.383333e+00,1.340467e+00,1.373204e+00,1.792896e+00
1.400000e+00,8.783812e-01,2.809311e+00,1.551485e+00
1.416667e+00,4.941004e-01,2.255339e+00,1.389453e+00
1.433333e+00,9.091980e-01,3.603911e-01,1.119319e+00
1.450000e+00,4.797916e-01,1.333643e+00,9.432825e-01
1.466667e+00,3.816960e-01,1.212863e+00,6.034101e-01
1.483333e+00,2.160112e+00,7.842536e-01,6.827580e-01
1.500000e+00,1.581290e+00,5.385750e-01,2.134736e+00
1.516667e+00,1.089169e+00,1.837520e-01,7.812726e-01
1.533333e+00,1.412353e+00,3.363830e-01,1.389557e+00
1.550000e+00,1.985634e+00,5.859379e-01,1.581425e+00
1.566667e+00,9.771508e-01,6.084338e-01,4.811239e-01
1.583333e+00,2.146047e+00,9.501873e-01,8.776305e-01
1.600000e+00,6.103132e-01,1.403681e+00,1.001006e+00
1.616667e+00,1.498216e+00,1.620992e+00,1.202635e+00
1.633333e+00,2.053987e+00,1.638431e+00,2.137414e+00
1.650000e+00,1.449415e+00,2.598486e+00,1.507611e+00
1.666667e+00,7.087123e-01,7.368934e-01,6.602867e-01
1.683333e+00,1.145839e+00,2.538404e+00,1.678320e+00
1.700000e+00,4.871462e-01,4.998555e-01,1.043138e+00
1.716667e+00,1.361820e+00,8.064071e-01,1.233365e+00
1.733333e+00,8.381191e-01,1.005955e+00,3.597956e-01
1.750000e+00,8.541803e-01,8.942417e-01,1.595319e+00
1.766667e+00,2.178383e+00,1.402076e-01,4.509604e-01
1.783333e+00,3.161592e-01,1.206869e+00,3.766540e-01
1.800000e+00,2.630234e+00,5.658113e-01,3.636655e-01
1.816667e+00,1.831596e+00,1.770008e+00,1.056938e+00
1.833333e+00,7.848737e-01,1.002677e+00,8.523900e-01
1.850000e+00,9.194072e-01,8.225433e-01,1.344682e+00
1.866667e+00,1.476286e+00,1.212508e+00,1.520701e+00
1.883333e+00,1.601332e+00,8.816704e-01,8.070638e-01
1.900000e+00,9.245290e-01,5.245290e-01,7.619662e-01
1.916667e+00,1.542620e+00,1.682776e+00,1.279214e+00
1.933333e+00,1.343852e-01,3.009395e-01,1.174533e+00
1.950000e+00,1.818954e+00,4.780270e-01,8.209552e-01
1.966667e+00,1.799637e+00,4.531824e-01,7.438232e-01
1.983333e+00,1.017937e+00,1.652877e+00,1.050888e+00
2.000000e+00,1.289826e+00,9.390463e-01,2.982750e-01
2.016667e+00,6.448330e-01,5.656880e-01,5.723976e-01
2.033333e+00,1.134008e+00,5.824518e-01,5.482069e-01
2.050000e+00,9.590909e-01,1.057367e+00,1.200148e+00
2.066667e+00,1.226443e+00,6.641579e-02,5.099873e-01
2.083333e+00,4.710261e-01,6.787994e-01,4.323236e-01
2.100000e+00,1.100745e+00,8.937239e-01,6.742778e-01
2.116667e+00,4.605761e-01,1.169178e+00,1.444912e-01
2.133333e+00,1.389235e+00,1.004558e+00,7.037804e-01
2.150000e+00,1.698714e+00,5.615719e-01,2.128716e-01
2.166667e+00,2.151283e+00,8.777003e-01,2.115415e-01
2.183333e+00,1.256627e+00,5.472228e-01,3.404843e-01
2.200000e+00,1.104264e+00,3.514669e-01,5.573379e-01
2.216667e+00,1.588287e+00,1.296046e+00,5.292600e-01
2.233333e+00,1.820927e+00,5.891535e-02,9.584464e-02
2.250000e+00,8.283486e-01,1.285808e-01,4.658264e-01
2.266667e+00,1.465658e+00,2.271981e-01,1.060212e+00
2.283333e+00,5.777269e-01,1.115655e+00,1.234198e-01
2.300000e+00,1.815969e+00,1.404169e+00,8.516745e-01
2.316667e+00,1.313217e+00,1.166589e+00,7.737149e-01
2.333333e+00,2.298341e+00,1.293532e+00,4.328251e-01
2.350000e+00,1.662021e+00,4.961572e-01,3.478197e-01
2.366667e+00,4.989822e-01,8.779601e-01,9.892685e-01
2.383333e+00,1.127558e+00,3.637365e-01,6.501056e-01
2.400000e+00,1.465515e+00,6.579788e-01,5.693260e-01
2.416667e+00,1.580304e-01,1.524746e+00,1.081023e+00
2.433333e+00,4.451746e-01,1.449907e+00,8.600158e-01
2.450000e+00,9.877216e-01,4.994903e-01,5.705827e-01
2.466667e+00,2.885408e-01,1.257787e+00,9.783003e-01
2.483333e+00,6.629407e-01,1.917124e+00,1.139904e+00
2.500000e+00,5.825975e-01,1.352744e+00,4.544529e-01
2.516667e+00,7.263726e-01,1.492554e+00,6.917339e-01
2.533333e+00,3.835428e-01,7.478320e-01,6.342767e-01
2.550000e+00,9.332951e-01,1.128596e+00,1.547766e-01
2.566667e+00,7.526247e-01,1.018749e+00,3.503252e-01
2.583333e+00,5.325698e-01,1.149106e+00,6.930152e-01
2.600000e+00,4.991952e-01,6.027426e-02,9.079711e-01
2.616667e+00,9.434856e-01,9.142816e-01,5.351095e-01
2.633333e+00,1.466296e-01,3.854633e-01,3.407954e-01
2.650000e+00,2.867255e-01,8.131268e-01,2.951950e-01
2.666667e+00,1.025027e+00,8.454058e-01,3.953247e-01
2.683333e+00,5.139263e-01,3.978056e-01,2.939862e-01
2.700000e+00,1.942992e-01,6.149538e-01,4.942816e-01
2.716667e+00,7.027471e-01,4.109469e-01,6.402358e-01
2.733333e+00,9.069715e-01,3.272737e-01,4.388685e-01
2.750000e+00,1.474665e+00,1.121213e+00,4.017752e-01
