period,NS,EW,UD,H
2.000000e-02,5.257281e-03,1.116812e-02,2.191838e-02,1.234366e-02
2.129572e-02,7.514747e-03,1.599410e-02,3.138788e-02,1.767152e-02
2.267538e-02,8.472188e-03,1.803718e-02,3.539687e-02,1.992782e-02
2.414443e-02,8.988137e-03,1.913550e-02,3.755216e-02,2.114128e-02
2.570865e-02,9.328643e-03,1.985895e-02,3.897194e-02,2.194086e-02
2.737421e-02,9.765146e-03,2.085832e-02,4.061722e-02,2.303101e-02
2.914768e-02,9.994770e-03,2.138293e-02,4.159530e-02,2.360350e-02
3.103604e-02,1.118279e-02,2.434945e-02,4.792688e-02,2.679460e-02
3.304674e-02,1.246274e-02,2.720489e-02,5.353373e-02,2.992367e-02
3.518770e-02,1.274166e-02,2.793483e-02,5.496856e-02,3.070350e-02
3.746737e-02,1.205816e-02,2.661890e-02,5.238773e-02,2.922268e-02
3.989473e-02,1.208702e-02,2.516600e-02,4.940347e-02,2.791816e-02
4.247935e-02,1.430535e-02,2.986974e-02,5.863520e-02,3.311864e-02
4.523142e-02,1.640230e-02,3.431640e-02,6.736238e-02,3.803486e-02
4.816178e-02,1.836794e-02,3.848485e-02,7.554355e-02,4.264347e-02
5.128199e-02,2.019766e-02,4.236525e-02,8.315935e-02,4.693357e-02
5.460434e-02,2.189089e-02,4.595629e-02,9.020726e-02,5.090375e-02
5.814194e-02,2.345006e-02,4.926310e-02,9.669733e-02,5.455968e-02
6.190872e-02,2.487976e-02,5.229539e-02,1.026486e-01,5.791209e-02
6.591954e-02,2.618607e-02,5.506602e-02,1.080863e-01,6.097522e-02
7.019020e-02,2.794460e-02,5.758990e-02,1.130398e-01,6.401170e-02
7.473754e-02,3.253007e-02,5.988307e-02,1.175405e-01,6.814828e-02
7.957948e-02,3.410698e-02,6.196208e-02,1.216208e-01,7.072895e-02
8.473512e-02,4.168217e-02,6.384343e-02,1.253132e-01,7.624557e-02
9.022476e-02,3.802848e-02,6.920200e-02,1.356636e-01,7.896253e-02
9.607006e-02,3.636245e-02,7.492574e-02,1.468970e-01,8.328321e-02
1.022941e-01,3.886725e-02,8.020595e-02,1.572599e-01,8.912720e-02
1.089213e-01,4.116764e-02,8.505588e-02,1.667783e-01,9.449485e-02
1.159778e-01,4.327252e-02,8.949409e-02,1.754887e-01,9.940676e-02
1.234916e-01,4.719890e-02,9.557979e-02,1.865312e-01,1.065985e-01
1.314921e-01,5.114486e-02,1.038375e-01,2.027299e-01,1.157498e-01
1.400110e-01,5.479673e-02,1.114820e-01,2.177259e-01,1.242213e-01
1.490817e-01,5.816034e-02,1.185249e-01,2.315419e-01,1.320257e-01
1.587401e-01,6.124581e-02,1.249868e-01,2.442181e-01,1.391860e-01
1.690242e-01,6.602696e-02,1.324216e-01,2.567949e-01,1.479697e-01
1.799746e-01,7.077059e-02,1.422859e-01,2.761239e-01,1.589143e-01
1.916345e-01,7.514192e-02,1.513791e-01,2.939426e-01,1.690028e-01
2.040497e-01,8.139838e-02,1.618928e-01,3.113737e-01,1.812042e-01
2.172693e-01,8.733790e-02,1.741683e-01,3.353860e-01,1.948397e-01
2.313453e-01,9.281729e-02,1.854975e-01,3.575489e-01,2.074232e-01
2.463332e-01,9.970208e-02,1.972912e-01,3.779159e-01,2.210527e-01
2.622921e-01,1.065941e-01,2.114611e-01,4.039718e-01,2.368082e-01
2.792850e-01,1.145939e-01,2.257610e-01,4.294640e-01,2.531794e-01
2.973787e-01,1.227895e-01,2.425297e-01,4.595700e-01,2.718417e-01
3.166447e-01,1.308078e-01,2.580041e-01,4.897001e-01,2.892694e-01
3.371588e-01,1.401625e-01,2.762332e-01,5.199004e-01,3.097585e-01
3.590020e-01,1.497671e-01,2.948495e-01,5.540574e-01,3.307059e-01
3.822603e-01,1.601071e-01,3.158500e-01,5.913113e-01,3.541123e-01
4.070254e-01,1.704561e-01,3.366815e-01,6.287969e-01,3.773721e-01
4.333949e-01,1.815867e-01,3.592281e-01,6.694229e-01,4.025153e-01
4.614729e-01,1.939402e-01,3.846528e-01,7.127176e-01,4.307790e-01
4.913698e-01,2.063131e-01,4.097403e-01,7.583092e-01,4.587507e-01
5.232037e-01,2.203063e-01,4.366276e-01,8.066427e-01,4.890588e-01
5.571000e-01,2.612240e-01,4.658941e-01,8.586671e-01,5.341305e-01
5.931922e-01,3.068695e-01,4.959980e-01,9.116584e-01,5.832520e-01
6.316228e-01,3.130871e-01,5.282956e-01,9.691565e-01,6.141008e-01
6.725431e-01,3.530566e-01,5.611216e-01,1.029416e+00,6.629528e-01
7.161144e-01,3.899945e-01,5.958144e-01,1.093570e+00,7.121028e-01
7.625086e-01,4.101116e-01,6.314414e-01,1.161214e+00,7.529341e-01
8.119085e-01,4.449976e-01,6.692824e-01,1.234332e+00,8.037175e-01
8.645087e-01,5.141413e-01,7.086699e-01,1.311029e+00,8.755309e-01
9.205168e-01,4.850208e-01,7.511431e-01,1.393414e+00,8.941259e-01
9.801534e-01,5.336498e-01,7.979050e-01,1.482541e+00,9.599138e-01
1.043654e+00,5.663815e-01,8.506227e-01,1.578023e+00,1.021933e+00
1.111268e+00,5.691939e-01,9.074887e-01,1.681263e+00,1.071222e+00
1.183262e+00,5.763145e-01,9.665663e-01,1.792684e+00,1.125339e+00
1.259921e+00,6.183175e-01,1.027176e+00,1.911205e+00,1.198919e+00
1.341546e+00,6.625989e-01,1.089322e+00,2.035512e+00,1.275014e+00
1.428460e+00,7.080212e-01,1.152265e+00,2.166203e+00,1.352408e+00
1.521004e+00,7.542006e-01,1.217440e+00,2.304265e+00,1.432124e+00
1.619544e+00,8.010746e-01,1.286356e+00,2.450690e+00,1.515398e+00
1.724467e+00,8.784246e-01,1.363009e+00,2.607532e+00,1.621550e+00
1.836189e+00,8.950062e-01,1.449698e+00,2.774626e+00,1.703720e+00
1.955148e+00,9.488617e-01,1.542069e+00,2.955629e+00,1.810611e+00
2.081814e+00,9.890954e-01,1.636909e+00,3.151852e+00,1.912532e+00
2.216686e+00,1.035186e+00,1.732143e+00,3.361115e+00,2.017902e+00
2.360297e+00,1.080013e+00,1.828357e+00,3.581753e+00,2.123515e+00
2.513211e+00,1.124519e+00,1.927188e+00,3.816626e+00,2.231277e+00
