source,station_code,station_name,lat,lon,height_m,start_time,duration_s,sampling_rate_hz,intensity,acc_NS,acc_EW,acc_UD,acc_H,acc_total,vel_NS,vel_EW,vel_UD,vel_H,vel_total,disp_NS,disp_EW,disp_UD,disp_H,disp_total
JMA,41101,千歳市北栄,42.8259,141.6414,,2025-12-08T23:15:30.000,420.0,100,5弱,-93.796,-130.159,-44.172,130.17,131.961,-13.549,-16.004,-3.337,16.694,16.718,11.908,8.018,-1.941,13.829,13.845
JMA,41102,江別市高砂町,43.1037,141.5359,,2025-12-08T23:15:30.000,300.0,100,4,42.07,-43.687,14.869,47.94,48.923,6.331,4.015,-1.882,6.413,6.417,3.028,1.796,-1.255,3.129,3.201
JMA,41103,夕張市若菜,43.0287,141.9654,,2025-12-08T23:15:30.000,300.0,100,4,42.743,-50.655,-25.242,50.666,51.322,-6.876,-4.312,-2.31,7.418,7.542,3.592,1.77,-0.875,3.616,3.618
JMA,41104,滝川市大町,43.5574,141.9108,,2025-12-08T23:15:40.000,300.0,100,3,-20.766,-19.138,-11.409,25.527,25.795,-4.931,3.548,-2.374,5.059,5.108,-2.171,-1.56,0.988,2.412,2.413
JMA,41105,美唄市西５条,43.3345,141.8468,,2025-12-08T23:15:40.000,300.0,100,4,-29.816,34.718,10.441,35.126,35.185,3.955,4.074,-1.465,4.082,4.087,1.203,1.274,0.48,1.441,1.441
JMA,41106,名寄市大通,44.3557,142.4632,,2025-12-08T23:16:00.000,240.0,100,2,4.641,-5.721,-2.649,6.172,6.181,-1.24,-1.539,0.696,1.539,1.54,-0.584,0.593,-0.583,0.617,0.753
JMA,41107,富良野市若松町,43.3457,142.3843,,2025-12-08T23:15:40.000,300.0,100,4,37.096,-19.939,-11.334,37.186,37.361,-3.943,-4.01,-2.881,4.109,4.124,-2.102,-1.568,-1.607,2.16,2.402
JMA,41108,士別市東６条,44.1771,142.4013,,2025-12-08T23:15:50.000,300.0,100,3,-8.466,10.879,-3.381,10.884,10.896,1.672,1.828,1.005,1.875,1.906,1.122,0.56,0.792,1.123,1.242
JMA,41109,北見市公園町,43.8177,143.9032,,2025-12-08T23:15:50.000,420.0,100,4,-29.297,24.867,-18.843,29.867,31.749,-5.471,-3.861,3.289,5.507,5.989,-1.887,-1.695,0.665,2.317,2.39
JMA,41110,胆振伊達市梅本,42.4739,140.8761,,2025-12-08T23:15:30.000,300.0,100,4,-55.947,-55.615,22.107,59.722,60.07,-4.153,-4.93,1.691,5.476,5.482,1.779,-1.498,-0.777,1.956,2.052
JMA,41201,弘前市和田町,40.6114,140.4553,,2025-12-08T23:15:20.000,420.0,100,3,20.631,-19.116,-10.916,22.983,22.994,-4.528,5.361,2.829,5.439,5.462,3.384,-3.695,1.001,3.812,3.812
JMA,41202,五所川原市栄町,40.7995,140.4429,,2025-12-08T23:15:20.000,300.0,100,5弱,94.785,75.71,-26.203,103.439,103.54,13.81,10.972,4.135,14.847,14.896,-3.912,3.396,-1.329,4.868,4.878
JMA,41203,二戸市福岡,40.2722,141.3037,,2025-12-08T23:15:10.000,300.0,100,4,89.411,-79.067,40.254,91.516,93.914,-13.155,8.65,-4.32,13.38,13.393,-4.191,2.169,-0.849,4.346,4.355
JMA,41204,久慈市川崎町,40.1894,141.7754,,2025-12-08T23:15:10.000,360.0,100,4,46.495,-62.652,33.669,64.756,64.757,-4.507,-4.855,-1.557,4.982,4.989,1.147,1.819,-0.731,1.965,1.973
JMA,41205,釜石市只越町,39.276,141.8856,,2025-12-08T23:15:20.000,360.0,100,3,42.318,43.44,19.394,52.61,53.115,-1.332,2.215,0.868,2.215,2.229,0.635,0.841,0.393,0.912,0.95
JMA,41206,北上市柳原町,39.2929,141.1095,,2025-12-08T23:15:30.000,360.0,100,4,-49.295,-49.375,-25.477,56.14,56.675,6.009,6.634,3.418,8.364,8.415,1.757,-1.126,0.697,1.94,1.947
JMA,41207,奥州市水沢大鐘町,39.1292,141.1381,,2025-12-08T23:15:30.000,420.0,100,4,-47.743,-36.091,-22.619,47.761,47.771,-6.26,-5.64,2.74,7.167,7.222,2.452,-2.697,-0.721,3.237,3.242
JMA,41208,気仙沼市赤岩,38.8806,141.5743,,2025-12-08T23:15:30.000,360.0,100,3,42.333,-52.705,11.045,58.463,58.487,-1.79,2.414,-1.026,2.749,2.82,1.172,1.029,0.679,1.185,1.303
JMA,41209,大崎市古川三日町,38.5741,140.9561,,2025-12-08T23:15:40.000,300.0,100,4,36.788,-40.629,10.313,52.089,52.089,5.029,-5.356,2.056,6.451,6.559,-2.377,-1.788,0.834,2.499,2.502
JMA,41210,能代市緑町,40.1989,140.033,,2025-12-08T23:15:30.000,300.0,100,3,-13.538,-11.81,-6.386,16.432,16.752,6.39,4.232,-2.397,6.392,6.583,-5.8,-3.083,-1.838,5.836,5.97
JMA,41211,由利本荘市石脇,39.3988,140.0469,,2025-12-08T23:15:40.000,300.0,100,3,-10.018,-10.397,-5.477,11.247,11.734,2.812,-1.638,-1.188,3.173,3.346,1.394,0.872,-0.529,1.573,1.617
JMA,41212,湯沢市沖鶴,39.174,140.4796,,2025-12-08T23:15:30.000,300.0,100,3,-16.775,-18.157,-6.028,18.5,18.537,1.967,2.487,0.967,2.631,2.652,0.906,0.743,0.44,0.974,0.974
JMA,41213,鶴岡市馬場町,38.7271,139.8274,,2025-12-08T23:15:50.000,300.0,100,3,7.944,8.06,2.939,9.155,9.156,-1.202,2.075,0.668,2.092,2.112,-0.836,-1.207,0.321,1.218,1.219
