period,NS,EW,UD,H
2.000000e-02,3.596653e-03,3.312642e-03,1.971687e-03,4.889736e-03
2.129572e-02,4.095331e-03,3.763767e-03,2.245759e-03,5.562165e-03
2.267538e-02,4.654740e-03,4.279590e-03,2.559858e-03,6.323092e-03
2.414443e-02,5.294304e-03,4.873336e-03,2.934796e-03,7.195766e-03
2.570865e-02,6.036282e-03,5.555040e-03,3.363737e-03,8.203363e-03
2.737421e-02,6.883562e-03,6.323807e-03,3.854613e-03,9.347404e-03
2.914768e-02,7.858396e-03,7.211572e-03,4.413098e-03,1.066589e-02
3.103604e-02,8.974117e-03,8.227105e-03,5.070589e-03,1.217456e-02
3.304674e-02,1.027180e-02,9.397896e-03,5.852435e-03,1.392230e-02
3.518770e-02,1.177721e-02,1.075248e-02,6.786433e-03,1.594736e-02
3.746737e-02,1.352672e-02,1.231868e-02,7.908185e-03,1.829542e-02
3.989473e-02,1.558316e-02,1.413480e-02,9.261665e-03,2.103871e-02
4.247935e-02,1.802390e-02,1.624861e-02,1.094445e-02,2.426682e-02
4.523142e-02,2.108445e-02,1.875297e-02,1.403418e-02,2.821751e-02
4.816178e-02,2.536411e-02,2.194631e-02,1.811097e-02,3.354070e-02
5.128199e-02,2.954025e-02,2.550292e-02,2.561901e-02,3.902596e-02
5.460434e-02,3.737327e-02,2.902437e-02,3.813678e-02,4.731993e-02
5.814194e-02,4.548267e-02,3.470653e-02,5.456338e-02,5.721203e-02
6.190872e-02,4.819196e-02,4.052361e-02,5.097653e-02,6.296529e-02
6.591954e-02,5.423165e-02,4.680820e-02,5.298381e-02,7.163853e-02
7.019020e-02,6.496759e-02,5.939483e-02,5.434090e-02,8.802575e-02
7.473754e-02,7.366533e-02,7.600163e-02,5.841784e-02,1.058434e-01
7.957948e-02,9.812094e-02,9.976344e-02,6.608332e-02,1.399302e-01
8.473512e-02,1.232563e-01,1.169215e-01,7.538671e-02,1.698904e-01
9.022476e-02,1.351346e-01,1.438901e-01,8.296255e-02,1.973974e-01
9.607006e-02,1.756292e-01,1.584195e-01,1.022004e-01,2.365214e-01
1.022941e-01,2.085010e-01,2.360668e-01,1.057161e-01,3.149606e-01
1.089213e-01,2.202427e-01,3.113795e-01,1.329776e-01,3.813975e-01
1.159778e-01,2.685792e-01,2.916506e-01,1.315002e-01,3.964780e-01
1.234916e-01,3.101094e-01,3.139507e-01,1.410076e-01,4.412855e-01
1.314921e-01,3.866724e-01,3.293258e-01,1.716736e-01,5.079085e-01
1.400110e-01,4.032691e-01,2.969578e-01,2.141281e-01,5.008093e-01
1.490817e-01,4.344530e-01,3.999827e-01,2.432245e-01,5.905384e-01
1.587401e-01,6.761458e-01,4.764228e-01,3.080411e-01,8.271347e-01
1.690242e-01,8.939734e-01,5.191618e-01,3.738371e-01,1.033788e+00
1.799746e-01,7.563286e-01,7.632189e-01,3.886638e-01,1.074493e+00
1.916345e-01,7.337893e-01,8.442867e-01,4.335440e-01,1.118600e+00
2.040497e-01,7.877697e-01,8.572438e-01,4.785476e-01,1.164237e+00
2.172693e-01,1.032883e+00,1.122921e+00,5.280302e-01,1.525713e+00
2.313453e-01,1.139059e+00,1.293746e+00,5.014122e-01,1.723727e+00
2.463332e-01,1.139962e+00,1.173787e+00,5.575043e-01,1.636242e+00
2.622921e-01,1.063816e+00,1.409218e+00,5.560355e-01,1.765673e+00
2.792850e-01,1.249178e+00,1.733595e+00,4.914915e-01,2.136773e+00
2.973787e-01,1.630293e+00,2.198885e+00,7.309854e-01,2.737325e+00
3.166447e-01,1.596990e+00,2.624595e+00,1.105257e+00,3.072275e+00
3.371588e-01,2.344542e+00,2.775673e+00,1.357318e+00,3.633351e+00
3.590020e-01,2.772264e+00,3.266267e+00,1.223498e+00,4.284151e+00
3.822603e-01,3.409771e+00,3.259727e+00,1.628426e+00,4.717241e+00
4.070254e-01,3.192819e+00,3.127274e+00,1.669539e+00,4.469221e+00
4.333949e-01,3.186411e+00,3.142967e+00,1.487515e+00,4.475652e+00
4.614729e-01,3.289658e+00,3.152239e+00,1.724807e+00,4.556145e+00
4.913698e-01,4.017984e+00,3.721353e+00,2.188459e+00,5.476556e+00
5.232037e-01,4.347514e+00,4.578188e+00,2.566155e+00,6.313532e+00
5.571000e-01,5.235208e+00,4.866076e+00,2.408761e+00,7.147454e+00
5.931922e-01,5.235211e+00,5.467815e+00,2.684091e+00,7.569969e+00
6.316228e-01,5.929987e+00,5.833034e+00,3.054007e+00,8.317995e+00
6.725431e-01,6.754738e+00,5.390400e+00,3.185507e+00,8.641927e+00
7.161144e-01,7.187910e+00,5.391993e+00,3.723578e+00,8.985524e+00
7.625086e-01,6.317436e+00,6.153383e+00,3.234346e+00,8.818963e+00
8.119085e-01,5.973977e+00,5.679630e+00,4.762523e+00,8.242973e+00
8.645087e-01,7.110851e+00,6.886622e+00,5.179691e+00,9.898978e+00
9.205168e-01,8.526106e+00,6.847579e+00,4.362620e+00,1.093544e+01
