frequency,NS,EW,UD
0.000000e+00,1.522800e-01,2.104000e-02,2.569000e-02
5.555556e-03,1.832175e-01,5.978191e-02,8.421749e-02
1.111111e-02,2.457471e-01,5.619923e-02,9.182375e-02
1.666667e-02,3.334083e-01,8.728578e-02,1.151600e-01
2.222222e-02,1.379227e-01,2.202674e-01,5.049161e-02
2.777778e-02,5.063214e-01,4.745676e-02,2.116704e-01
3.333333e-02,5.318792e-01,5.654931e-01,3.219271e-01
3.888889e-02,1.007649e+00,5.006679e-01,4.499181e-01
4.444444e-02,1.678123e-01,1.027924e-01,2.001220e-01
5.000000e-02,3.058356e-01,5.537144e-01,2.806027e-01
5.555556e-02,1.625970e-01,5.609874e-01,1.751037e-01
6.111111e-02,6.305028e-02,6.708959e-01,4.029759e-01
6.666667e-02,3.462004e-01,6.726770e-01,5.301640e-01
7.222222e-02,2.432821e-01,4.786807e-01,3.239371e-01
7.777778e-02,7.002366e-01,2.395128e-01,2.047771e-01
8.333333e-02,4.447100e-01,3.579592e-01,2.962914e-01
8.888889e-02,5.873238e-01,1.170412e+00,7.960570e-01
9.444444e-02,8.483319e-01,9.602252e-01,3.780227e-01
1.000000e-01,1.543969e+00,1.021497e+00,6.435831e-01
1.055556e-01,6.581641e-01,2.040690e+00,4.765071e-01
1.111111e-01,7.990657e-01,1.312157e+00,6.353720e-01
1.166667e-01,8.441619e-01,8.865100e-01,4.773028e-01
1.222222e-01,1.021655e+00,1.937196e+00,8.846609e-01
1.277778e-01,9.324151e-01,2.691451e+00,6.765402e-01
1.333333e-01,9.659767e-01,2.154139e+00,1.490945e+00
1.388889e-01,7.789421e-01,1.314856e+00,1.259640e+00
1.444444e-01,1.347006e+00,2.565890e+00,1.304579e+00
1.500000e-01,2.465962e+00,3.770741e+00,9.771797e-01
1.555556e-01,1.767252e+00,5.098951e+00,1.234130e+00
1.611111e-01,1.801322e+00,5.131941e+00,1.830308e+00
1.666667e-01,2.689447e+00,4.509053e+00,2.883066e+00
1.722222e-01,3.413116e+00,1.910300e+00,1.694345e+00
