period,NS,EW,UD,H
2.000000e-02,2.243894e-02,1.024362e-02,2.090877e-02,2.466653e-02
2.129572e-02,3.212284e-02,1.466337e-02,2.993240e-02,3.531135e-02
2.267538e-02,3.622348e-02,1.653557e-02,3.375383e-02,3.981917e-02
2.414443e-02,3.842921e-02,1.754270e-02,3.580936e-02,4.224394e-02
2.570865e-02,3.988280e-02,1.820641e-02,3.716394e-02,4.384189e-02
2.737421e-02,4.143985e-02,1.890927e-02,3.863200e-02,4.555021e-02
2.914768e-02,4.240116e-02,1.935010e-02,3.953427e-02,4.660777e-02
3.103604e-02,4.903336e-02,2.236653e-02,4.567682e-02,5.389371e-02
3.304674e-02,5.474387e-02,2.497168e-02,5.099930e-02,6.017039e-02
3.518770e-02,5.618262e-02,2.562677e-02,5.234142e-02,6.175126e-02
3.746737e-02,5.351032e-02,2.440518e-02,4.985290e-02,5.881298e-02
3.989473e-02,5.070822e-02,2.315313e-02,4.724115e-02,5.574398e-02
4.247935e-02,6.016141e-02,2.746867e-02,5.604954e-02,6.613565e-02
4.523142e-02,6.909788e-02,3.154831e-02,6.437645e-02,7.595928e-02
4.816178e-02,7.747519e-02,3.537269e-02,7.218234e-02,8.516826e-02
5.128199e-02,8.527353e-02,3.893276e-02,7.944877e-02,9.374078e-02
5.460434e-02,9.249035e-02,4.222736e-02,8.617334e-02,1.016741e-01
5.814194e-02,9.913594e-02,4.526118e-02,9.236564e-02,1.089794e-01
6.190872e-02,1.052298e-01,5.237587e-02,9.804387e-02,1.175438e-01
6.591954e-02,1.107978e-01,6.707042e-02,1.032321e-01,1.295168e-01
7.019020e-02,1.158700e-01,7.664945e-02,1.079583e-01,1.389280e-01
7.473754e-02,1.204785e-01,8.514286e-02,1.122524e-01,1.475275e-01
7.957948e-02,1.246565e-01,7.209490e-02,1.161455e-01,1.440032e-01
8.473512e-02,1.284374e-01,1.026791e-01,1.196685e-01,1.644359e-01
9.022476e-02,1.392989e-01,1.250317e-01,1.297916e-01,1.871820e-01
9.607006e-02,1.508096e-01,1.323226e-01,1.405168e-01,2.006310e-01
1.022941e-01,1.614282e-01,1.296716e-01,1.504106e-01,2.070599e-01
1.089213e-01,1.711813e-01,1.339172e-01,1.594982e-01,2.173404e-01
1.159778e-01,1.801064e-01,1.628470e-01,1.678141e-01,2.428116e-01
1.234916e-01,1.914552e-01,1.930681e-01,1.784457e-01,2.719014e-01
1.314921e-01,2.080624e-01,2.173216e-01,1.939197e-01,3.008631e-01
1.400110e-01,2.625273e-01,2.206578e-01,2.082445e-01,3.429438e-01
1.490817e-01,2.667333e-01,2.312801e-01,2.214418e-01,3.530399e-01
1.587401e-01,2.850382e-01,3.020255e-01,2.335502e-01,4.152905e-01
1.690242e-01,3.531021e-01,3.860577e-01,2.453953e-01,5.231841e-01
1.799746e-01,4.582407e-01,4.576660e-01,2.638642e-01,6.476439e-01
1.916345e-01,4.884175e-01,5.033108e-01,2.808895e-01,7.013369e-01
2.040497e-01,4.681225e-01,4.768325e-01,2.969784e-01,6.682124e-01
2.172693e-01,5.510303e-01,5.818046e-01,3.199224e-01,8.013308e-01
2.313453e-01,5.846076e-01,5.383663e-01,3.410991e-01,7.947354e-01
2.463332e-01,6.653950e-01,6.416979e-01,3.737204e-01,9.244061e-01
2.622921e-01,8.974192e-01,7.603209e-01,4.401705e-01,1.176201e+00
2.792850e-01,1.074589e+00,8.860133e-01,4.385377e-01,1.392753e+00
2.973787e-01,1.042782e+00,8.258639e-01,4.546169e-01,1.330205e+00
3.166447e-01,8.709516e-01,7.859184e-01,5.954879e-01,1.173126e+00
3.371588e-01,9.012089e-01,9.142460e-01,5.912082e-01,1.283754e+00
3.590020e-01,1.067202e+00,1.330552e+00,8.607378e-01,1.705664e+00
3.822603e-01,1.204181e+00,1.381856e+00,1.028912e+00,1.832915e+00
4.070254e-01,1.229428e+00,1.695675e+00,1.242145e+00,2.094471e+00
4.333949e-01,1.247461e+00,1.826909e+00,1.316702e+00,2.212183e+00
4.614729e-01,1.324597e+00,1.490226e+00,1.513035e+00,1.993823e+00
4.913698e-01,1.611836e+00,1.277298e+00,1.310256e+00,2.056577e+00
5.232037e-01,1.260067e+00,1.735858e+00,1.500189e+00,2.144988e+00
5.571000e-01,1.439080e+00,1.653898e+00,1.468120e+00,2.192334e+00
5.931922e-01,1.699552e+00,1.654043e+00,1.448580e+00,2.371568e+00
6.316228e-01,1.966851e+00,1.833396e+00,1.759996e+00,2.688837e+00
6.725431e-01,2.031527e+00,2.294254e+00,1.980328e+00,3.064426e+00
7.161144e-01,2.269703e+00,2.654578e+00,2.028600e+00,3.492612e+00
7.625086e-01,2.536023e+00,2.554811e+00,1.468882e+00,3.599788e+00
8.119085e-01,3.389944e+00,2.653641e+00,1.627503e+00,4.305059e+00
8.645087e-01,3.322683e+00,2.989448e+00,2.036209e+00,4.469566e+00
9.205168e-01,3.309483e+00,2.837775e+00,1.847378e+00,4.359546e+00
9.801534e-01,3.295087e+00,3.789589e+00,2.060618e+00,5.021811e+00
1.043654e+00,4.519587e+00,4.174304e+00,2.398345e+00,6.152356e+00
1.111268e+00,6.383505e+00,5.450394e+00,2.447918e+00,8.393803e+00
1.183262e+00,7.946737e+00,6.371256e+00,2.160591e+00,1.018546e+01
1.259921e+00,7.839628e+00,6.160706e+00,2.876684e+00,9.970660e+00
1.341546e+00,6.922382e+00,7.702129e+00,3.637576e+00,1.035578e+01
1.428460e+00,6.915943e+00,7.321509e+00,3.781929e+00,1.007148e+01
1.521004e+00,7.090332e+00,7.496918e+00,4.838218e+00,1.031875e+01
1.619544e+00,5.823593e+00,6.327699e+00,4.399487e+00,8.599652e+00
1.724467e+00,4.257911e+00,6.000142e+00,2.972650e+00,7.357412e+00
1.836189e+00,4.628020e+00,5.967640e+00,2.692815e+00,7.551907e+00
1.955148e+00,4.033382e+00,6.993167e+00,2.867452e+00,8.072952e+00
2.081814e+00,4.151488e+00,9.218728e+00,3.053001e+00,1.011038e+01
2.216686e+00,4.178467e+00,8.682029e+00,3.250903e+00,9.635207e+00
2.360297e+00,3.713722e+00,6.959262e+00,3.461484e+00,7.888159e+00
2.513211e+00,4.176396e+00,6.426608e+00,3.685458e+00,7.664436e+00
2.676031e+00,5.208956e+00,7.815322e+00,3.924253e+00,9.392150e+00
2.849401e+00,5.667652e+00,9.110855e+00,4.178511e+00,1.072986e+01
3.034002e+00,5.314004e+00,7.410144e+00,4.449417e+00,9.118600e+00
3.230563e+00,5.083090e+00,6.297960e+00,4.737484e+00,8.093337e+00
3.439858e+00,5.412555e+00,5.864756e+00,5.044473e+00,7.980671e+00
3.662712e+00,5.763147e+00,6.112503e+00,5.371064e+00,8.400986e+00
3.900005e+00,6.136774e+00,6.500739e+00,5.719065e+00,8.939777e+00
4.152671e+00,6.534193e+00,7.294601e+00,6.089528e+00,9.793206e+00
4.421705e+00,6.957446e+00,6.903246e+00,6.484107e+00,9.801065e+00
4.708170e+00,7.408200e+00,7.883752e+00,6.904093e+00,1.081827e+01
5.013193e+00,7.888228e+00,6.895513e+00,7.351405e+00,1.047722e+01
5.337978e+00,8.399023e+00,5.883977e+00,7.827433e+00,1.025499e+01
5.683804e+00,8.943139e+00,4.962381e+00,8.334442e+00,1.022766e+01
6.052035e+00,9.523547e+00,4.886170e+00,8.875130e+00,1.070386e+01
6.444122e+00,1.014171e+01,4.629868e+00,9.451339e+00,1.114854e+01
6.861610e+00,1.079271e+01,4.927130e+00,1.005788e+01,1.186420e+01
7.306147e+00,1.150316e+01,5.252329e+00,1.071988e+01,1.264554e+01
7.779482e+00,1.222938e+01,5.583793e+00,1.139687e+01,1.344383e+01
8.283484e+00,1.304077e+01,5.954715e+00,1.215322e+01,1.433598e+01
8.820137e+00,1.390609e+01,6.351045e+00,1.296030e+01,1.528775e+01
9.391559e+00,1.477609e+01,6.749020e+00,1.377108e+01,1.624445e+01
1.000000e+01,1.568943e+01,7.163175e+00,1.462024e+01,1.724730e+01
