frequency,NS,EW,UD
0.000000e+00,1.862410e+03,1.012483e+03,4.167119e+03
6.756757e-03,1.005053e-01,2.299038e-01,1.962851e-01
1.351351e-02,3.128113e-01,2.528682e-01,2.627668e-01
2.027027e-02,7.011956e-01,4.966154e-02,2.593355e-01
2.702703e-02,1.326340e+00,3.693359e-01,7.097102e-01
3.378378e-02,1.741583e+00,9.641379e-01,1.160964e+00
4.054054e-02,7.916026e-01,9.919269e-01,1.743350e+00
4.729730e-02,8.959844e-01,6.607057e-01,2.027062e+00
5.405405e-02,7.534280e-01,1.631322e+00,3.177013e+00
6.081081e-02,1.562660e+00,1.234426e+00,2.094938e+00
6.756757e-02,2.074490e+00,1.714360e+00,6.777794e-01
7.432432e-02,1.536982e+00,1.360558e+00,2.156079e+00
8.108108e-02,6.094895e-01,5.241190e-01,1.148149e+00
8.783784e-02,1.027558e+00,8.766691e-01,5.202670e-01
9.459459e-02,2.500521e+00,1.016078e+00,8.111377e-01
1.013514e-01,9.229174e-01,2.737680e+00,1.003161e+00
1.081081e-01,3.644523e+00,4.426827e+00,6.759442e-01
1.148649e-01,1.991447e+00,3.833930e+00,5.513231e-01
1.216216e-01,1.323618e+00,6.952221e+00,1.560367e+00
1.283784e-01,3.973621e+00,9.282639e+00,8.596005e-01
1.351351e-01,2.755047e+00,6.649558e+00,4.100942e+00
1.418919e-01,5.927985e+00,4.790830e+00,3.415570e+00
1.486486e-01,4.710450e+00,7.659830e+00,1.711454e+00
1.554054e-01,8.078748e+00,1.425306e+01,2.700082e+00
1.621622e-01,9.398582e+00,1.042665e+01,1.876597e+00
1.689189e-01,4.056921e+00,1.910317e+01,4.433205e+00
1.756757e-01,9.073136e+00,1.467452e+01,6.819906e+00
1.824324e-01,1.536505e+01,9.872798e+00,3.277133e+00
1.891892e-01,1.323841e+01,1.545302e+01,6.413674e+00
1.959459e-01,1.100970e+01,1.135265e+01,8.745173e+00
2.027027e-01,1.149249e+01,8.605401e+00,7.806689e+00
2.094595e-01,1.335018e+01,1.020995e+01,1.243334e+01
2.162162e-01,1.412319e+01,1.309142e+01,1.396962e+01
2.229730e-01,4.658689e+00,1.948121e+01,1.203333e+01
2.297297e-01,7.795366e+00,2.208252e+01,9.651028e+00
2.364865e-01,9.035877e+00,1.549973e+01,1.289335e+01
2.432432e-01,6.049814e+00,6.526574e+00,7.451867e+00
2.500000e-01,9.848349e+00,9.444367e+00,5.337090e+00
2.567568e-01,7.406299e+00,8.378487e+00,7.290091e+00
2.635135e-01,4.929450e+00,8.058534e+00,8.900918e+00
2.702703e-01,7.729148e+00,7.876431e+00,5.531808e+00
2.770270e-01,7.093165e+00,7.031073e+00,9.395352e+00
2.837838e-01,1.188926e+01,2.034534e+00,7.636854e+00
2.905405e-01,1.482469e+01,7.356543e-01,6.556471e+00
2.972973e-01,1.930729e+01,1.767672e+00,3.310027e+00
3.040541e-01,1.695805e+01,2.540442e+00,2.332707e+00
3.108108e-01,8.419883e+00,4.776473e+00,2.542630e+00
3.175676e-01,9.150140e+00,6.001422e+00,9.529670e+00
3.243243e-01,1.629342e+01,1.455552e+01,1.012904e+01
3.310811e-01,1.814539e+01,8.874546e+00,4.808609e+00
3.378378e-01,1.768500e+01,1.433709e+01,7.856301e+00
3.445946e-01,2.069148e+01,1.160525e+01,9.571261e+00
3.513514e-01,2.742191e+01,1.507906e+01,1.120075e+01
3.581081e-01,1.495661e+01,1.752312e+01,1.156256e+01
3.648649e-01,3.259649e+01,1.401492e+01,2.300218e+00
3.716216e-01,2.320217e+01,5.534218e+00,8.505546e+00
3.783784e-01,1.680638e+01,1.395998e+01,1.143357e+01
