period,NS,EW,UD,H
2.000000e-02,3.776425e-02,5.100111e-02,3.147382e-02,6.346063e-02
2.129572e-02,4.316355e-02,5.868233e-02,4.505959e-02,7.284716e-02
2.267538e-02,4.951906e-02,6.786344e-02,5.081197e-02,8.400943e-02
2.414443e-02,5.744474e-02,7.936887e-02,5.390596e-02,9.797609e-02
2.570865e-02,6.737508e-02,9.439935e-02,5.594483e-02,1.159769e-01
2.737421e-02,7.424466e-02,1.055311e-01,5.890451e-02,1.290313e-01
2.914768e-02,8.570502e-02,1.125499e-01,6.678958e-02,1.414667e-01
3.103604e-02,1.121146e-01,1.355521e-01,8.667379e-02,1.759093e-01
3.304674e-02,1.319605e-01,1.608800e-01,1.042417e-01,2.080768e-01
3.518770e-02,1.518130e-01,2.012224e-01,1.217860e-01,2.520667e-01
3.746737e-02,1.681426e-01,2.546553e-01,1.439521e-01,3.051578e-01
3.989473e-02,2.058190e-01,2.549784e-01,1.932634e-01,3.276819e-01
4.247935e-02,2.468279e-01,2.881799e-01,2.835633e-01,3.794360e-01
4.523142e-02,3.252418e-01,3.220111e-01,3.592374e-01,4.576826e-01
4.816178e-02,3.779298e-01,4.064779e-01,4.526860e-01,5.550272e-01
5.128199e-02,5.622520e-01,5.938266e-01,5.850006e-01,8.177758e-01
5.460434e-02,5.680867e-01,6.640579e-01,7.261542e-01,8.738967e-01
5.814194e-02,7.577670e-01,6.410538e-01,6.691325e-01,9.925527e-01
6.190872e-02,8.781794e-01,7.895825e-01,8.244818e-01,1.180949e+00
6.591954e-02,1.048065e+00,9.656877e-01,8.970524e-01,1.425129e+00
7.019020e-02,1.200739e+00,1.290152e+00,9.162917e-01,1.762460e+00
7.473754e-02,1.405643e+00,1.638588e+00,9.808739e-01,2.158889e+00
7.957948e-02,1.732129e+00,2.028786e+00,1.117962e+00,2.667629e+00
8.473512e-02,1.820617e+00,2.377654e+00,1.331800e+00,2.994643e+00
9.022476e-02,2.294520e+00,3.416148e+00,1.945701e+00,4.115202e+00
9.607006e-02,2.389709e+00,4.218403e+00,1.909551e+00,4.848261e+00
1.022941e-01,2.282117e+00,4.000154e+00,1.711926e+00,4.605355e+00
1.089213e-01,3.155411e+00,3.343355e+00,2.061996e+00,4.597243e+00
1.159778e-01,3.621380e+00,3.461720e+00,2.131043e+00,5.009781e+00
1.234916e-01,3.531326e+00,3.616345e+00,1.708359e+00,5.054524e+00
1.314921e-01,3.964983e+00,4.420769e+00,1.745306e+00,5.938375e+00
1.400110e-01,4.673955e+00,5.579075e+00,1.596921e+00,7.278181e+00
1.490817e-01,5.556232e+00,6.958583e+00,1.781273e+00,8.904695e+00
1.587401e-01,8.040274e+00,7.228659e+00,1.706989e+00,1.081201e+01
1.690242e-01,1.054741e+01,9.008932e+00,1.592114e+00,1.387114e+01
1.799746e-01,1.003182e+01,1.036138e+01,1.639888e+00,1.442205e+01
1.916345e-01,1.051417e+01,1.049815e+01,1.954522e+00,1.485796e+01
2.040497e-01,9.547751e+00,1.553813e+01,1.659076e+00,1.823713e+01
2.172693e-01,8.540426e+00,1.927211e+01,1.803643e+00,2.107969e+01
2.313453e-01,9.750759e+00,2.124939e+01,2.209376e+00,2.337977e+01
2.463332e-01,1.054216e+01,2.453958e+01,2.193839e+00,2.670821e+01
