frequency,NS,EW,UD
0.000000e+00,2.113429e+03,1.177050e+03,2.492830e+03
6.410256e-03,6.284139e-01,4.143910e-01,2.740437e-01
1.282051e-02,9.083204e-01,8.114275e-01,4.356545e-01
1.923077e-02,1.221773e+00,7.956329e-01,1.913921e-01
2.564103e-02,1.923304e+00,8.713652e-01,5.666737e-01
3.205128e-02,3.054416e+00,5.663091e-01,1.050137e+00
3.846154e-02,2.522238e+00,6.624519e-01,7.264157e-01
4.487179e-02,1.455440e+00,2.077130e+00,6.146034e-01
5.128205e-02,3.538879e+00,3.525840e+00,2.501227e+00
5.769231e-02,1.741717e+00,2.128653e+00,3.659450e+00
6.410256e-02,3.369275e+00,1.265577e+00,3.599438e+00
7.051282e-02,6.550845e+00,1.208078e+00,1.354547e+00
7.692308e-02,3.041234e+00,2.815643e+00,1.491796e+00
8.333333e-02,1.686730e+00,1.370214e+00,1.080810e+00
8.974359e-02,5.335286e+00,8.289138e+00,5.347188e+00
9.615385e-02,1.004931e+01,5.470114e+00,3.616412e+00
1.025641e-01,7.435766e+00,4.732957e+00,3.724035e+00
1.089744e-01,8.004043e+00,9.088254e-01,2.518141e+00
1.153846e-01,5.102914e+00,7.244455e+00,3.434905e+00
1.217949e-01,1.051555e+01,1.249330e+01,3.408147e+00
1.282051e-01,1.859191e+01,1.217845e+01,2.196253e+00
1.346154e-01,1.374431e+01,1.112983e+01,6.435186e+00
1.410256e-01,1.180190e+01,3.528342e+00,3.527094e+00
1.474359e-01,1.103333e+01,1.680369e+01,2.501659e+00
1.538462e-01,3.256925e+01,2.386220e+01,6.573794e+00
1.602564e-01,2.150391e+01,7.735264e+00,7.704802e+00
1.666667e-01,1.457139e+01,2.412397e+01,5.393969e+00
1.730769e-01,2.852665e+01,2.339417e+01,7.228075e-01
1.794872e-01,3.754439e+01,1.531579e+01,6.512169e+00
1.858974e-01,1.004813e+01,2.478279e+01,4.290508e+00
1.923077e-01,1.381172e+01,2.250175e+01,1.702335e+00
1.987179e-01,2.139747e+01,7.018057e+00,6.206858e+00
2.051282e-01,3.144572e+01,1.561914e+01,9.634154e+00
2.115385e-01,2.966577e+01,1.485700e+01,9.904490e+00
2.179487e-01,3.440140e+01,4.190277e+00,1.202103e+01
2.243590e-01,2.035866e+01,1.482433e+01,1.075547e+01
2.307692e-01,2.110367e+01,1.254895e+01,1.130640e+01
2.371795e-01,2.914997e+01,2.787491e+01,7.328140e+00
2.435897e-01,1.363765e+01,2.433226e+01,4.909220e+00
2.500000e-01,2.458131e+01,5.166522e+00,4.010979e+00
2.564103e-01,2.489956e+01,6.700995e+00,5.282452e+00
2.628205e-01,1.427097e+01,9.102864e+00,6.306156e+00
2.692308e-01,8.784552e+00,1.346241e+01,1.034321e+01
2.756410e-01,7.018246e+00,1.857398e+01,7.610627e+00
2.820513e-01,7.035872e+00,2.186551e+01,6.628945e+00
2.884615e-01,3.501479e+00,2.660156e+01,4.599644e+00
2.948718e-01,1.073353e+01,1.094636e+01,8.589861e+00
3.012821e-01,1.788565e+01,1.364636e+01,1.437734e+01
3.076923e-01,4.021495e+01,8.424474e-01,7.143103e+00
3.141026e-01,1.135715e+01,2.152444e+01,1.535796e+00
3.205128e-01,2.914089e+01,1.358773e+01,7.364839e+00
3.269231e-01,2.468032e+01,3.925409e+01,3.806481e+00
3.333333e-01,1.895000e+01,2.576028e+01,9.381503e+00
3.397436e-01,2.674794e+01,3.109324e+01,4.219734e+00
3.461538e-01,4.803935e+01,3.668203e+01,2.137201e+01
3.525641e-01,3.119389e+01,2.712956e+01,1.874400e+01
3.589744e-01,2.285217e+01,2.075085e+01,1.042714e+01
3.653846e-01,1.794203e+01,2.181929e+01,1.329657e+01
3.717949e-01,2.208868e+01,4.184829e+01,1.106406e+01
3.782051e-01,4.918172e+01,3.409296e+01,1.659542e+01
3.846154e-01,3.292647e+01,3.064694e+01,1.531336e+01
3.910256e-01,3.583990e+01,3.384099e+01,1.552218e+01
3.974359e-01,1.996040e+01,1.366954e+01,2.295691e+01
4.038462e-01,2.417992e+01,3.797271e+01,1.101521e+01
4.102564e-01,1.006455e+01,2.191971e+01,8.634634e+00
4.166667e-01,6.464466e+00,2.473894e+01,3.333432e+00
4.230769e-01,3.581090e+00,9.730230e+00,6.954514e+00
4.294872e-01,1.523861e+01,6.884593e+00,1.549659e+01
4.358974e-01,1.096307e+01,1.034241e+01,9.966362e+00
4.423077e-01,3.079984e+00,7.229954e+00,8.582137e+00
4.487179e-01,8.378860e+00,8.960734e+00,2.422589e+00
