frequency,NS,EW,UD
0.000000e+00,8.835117e+02,1.484410e+03,3.552617e+03
7.092199e-03,7.828982e-02,1.397076e-01,1.176655e-01
1.418440e-02,1.650374e-01,3.096295e-01,1.951082e-01
2.127660e-02,4.686350e-02,2.258332e-01,1.578742e-01
2.836879e-02,4.245948e-01,3.708544e-01,5.497102e-01
3.546099e-02,6.895825e-01,4.097646e-01,5.942088e-01
4.255319e-02,6.191268e-01,9.269524e-01,2.597535e-01
4.964539e-02,7.085030e-01,1.536322e-01,6.331386e-01
5.673759e-02,8.772177e-01,4.999073e-01,8.778509e-01
6.382979e-02,6.058635e-01,3.394740e-01,9.258795e-01
7.092199e-02,6.940203e-01,2.513254e-01,7.034774e-01
7.801418e-02,7.466479e-01,3.241247e-01,5.099054e-01
8.510638e-02,2.494922e-01,8.536416e-01,1.519783e-01
9.219858e-02,1.011125e+00,7.593471e-01,3.186164e-01
9.929078e-02,1.939546e+00,1.526967e+00,1.022708e+00
1.063830e-01,6.529760e-01,6.043559e-01,7.642153e-01
1.134752e-01,1.058059e+00,1.324081e+00,2.254513e-01
1.205674e-01,2.904821e-01,7.219657e-01,1.320234e-01
1.276596e-01,1.619548e+00,1.562266e+00,1.169952e+00
1.347518e-01,2.145166e+00,1.762029e+00,1.309869e+00
1.418440e-01,1.623835e+00,2.509506e+00,1.946966e+00
1.489362e-01,2.801751e+00,3.726528e+00,9.747007e-01
1.560284e-01,3.180346e-01,2.262213e+00,3.513725e-01
1.631206e-01,5.407263e-01,2.694229e+00,2.109695e+00
1.702128e-01,2.925051e+00,3.385163e+00,4.688401e+00
1.773050e-01,7.050236e+00,1.633770e+00,4.631677e+00
1.843972e-01,3.835706e+00,4.220862e+00,3.531451e+00
1.914894e-01,1.572639e+00,6.746415e+00,1.697828e+00
1.985816e-01,2.488456e+00,3.201787e+00,1.425531e+00
2.056738e-01,2.303038e+00,2.986540e+00,2.042093e+00
2.127660e-01,1.088417e+00,1.309984e+00,1.630218e+00
2.198582e-01,1.736702e+00,3.998877e+00,1.747748e+00
2.269504e-01,3.114554e+00,3.505406e+00,6.208919e-01
2.340426e-01,3.452746e+00,1.932687e+00,6.069399e-01
2.411348e-01,5.734300e-01,1.787519e+00,2.670132e+00
2.482270e-01,2.404346e+00,1.182009e+00,2.395839e+00
2.553191e-01,2.361775e+00,2.503334e+00,1.080670e+00
2.624113e-01,7.963028e-01,1.724177e+00,5.450191e-01
2.695035e-01,2.192008e+00,1.435049e+00,1.300802e+00
2.765957e-01,2.360849e+00,3.676573e+00,1.312486e+00
2.836879e-01,2.530238e+00,6.488815e+00,1.672151e+00
2.907801e-01,1.789210e+00,6.663150e+00,1.348733e+00
2.978723e-01,1.400558e+00,6.452019e+00,1.711492e+00
3.049645e-01,4.717672e+00,7.738086e+00,3.026495e+00
3.120567e-01,2.906841e+00,7.286102e+00,1.280065e+00
3.191489e-01,3.583874e+00,1.156835e+01,1.089158e+00
3.262411e-01,1.966061e+00,6.686561e+00,2.877861e-01
3.333333e-01,8.697316e+00,1.264776e+01,1.496896e+00
3.404255e-01,9.183670e+00,1.555007e+01,2.329533e+00
3.475177e-01,3.331296e+00,1.347042e+01,3.216739e+00
