period,NS,EW,UD,H
2.000000e-02,2.796654e-02,2.104599e-02,4.441846e-02,3.500087e-02
2.129572e-02,4.000905e-02,3.011913e-02,6.358264e-02,5.007880e-02
2.267538e-02,4.511460e-02,3.396290e-02,7.170063e-02,5.646951e-02
2.414443e-02,4.786335e-02,3.603126e-02,7.606773e-02,5.990953e-02
2.570865e-02,4.967583e-02,3.739471e-02,7.894573e-02,6.217759e-02
2.737421e-02,5.167927e-02,3.891796e-02,8.208144e-02,6.469431e-02
2.914768e-02,5.286104e-02,3.982599e-02,8.398934e-02,6.618458e-02
3.103604e-02,6.075282e-02,4.575075e-02,9.704898e-02,7.605285e-02
3.304674e-02,6.778676e-02,5.106301e-02,1.083516e-01,8.486740e-02
3.518770e-02,6.949604e-02,5.236858e-02,1.111983e-01,8.701820e-02
3.746737e-02,6.608244e-02,4.981893e-02,1.059071e-01,8.275756e-02
3.989473e-02,6.351551e-02,4.771484e-02,1.003834e-01,7.944134e-02
4.247935e-02,7.530262e-02,5.658381e-02,1.190962e-01,9.419242e-02
4.523142e-02,8.644524e-02,6.496789e-02,1.367862e-01,1.081370e-01
4.816178e-02,9.689054e-02,7.282731e-02,1.533693e-01,1.212089e-01
5.128199e-02,1.066139e-01,8.014350e-02,1.688063e-01,1.333773e-01
5.460434e-02,1.156121e-01,8.691409e-02,1.830922e-01,1.446382e-01
5.814194e-02,1.238980e-01,9.314873e-02,1.962474e-01,1.550077e-01
6.190872e-02,1.314959e-01,9.886576e-02,2.083104e-01,1.645163e-01
6.591954e-02,1.384383e-01,1.040895e-01,2.193324e-01,1.732044e-01
7.019020e-02,1.447623e-01,1.088479e-01,2.293729e-01,1.811187e-01
7.473754e-02,1.505082e-01,1.131714e-01,2.384955e-01,1.883095e-01
7.957948e-02,1.557175e-01,1.170911e-01,2.467661e-01,1.948288e-01
8.473512e-02,1.604315e-01,1.206381e-01,2.542505e-01,2.007282e-01
9.022476e-02,1.749989e-01,1.314204e-01,2.757750e-01,2.188514e-01
9.607006e-02,1.893728e-01,1.422306e-01,2.985611e-01,2.368366e-01
1.022941e-01,2.026320e-01,1.522027e-01,3.195812e-01,2.534273e-01
1.089213e-01,2.148102e-01,1.613619e-01,3.388881e-01,2.686654e-01
1.159778e-01,2.259542e-01,1.697433e-01,3.565557e-01,2.826094e-01
1.234916e-01,2.416398e-01,1.813842e-01,3.791513e-01,3.021424e-01
1.314921e-01,2.624148e-01,1.970022e-01,4.120274e-01,3.281332e-01
1.400110e-01,2.816454e-01,2.114596e-01,4.424620e-01,3.521922e-01
1.490817e-01,2.993612e-01,2.247784e-01,4.705009e-01,3.743561e-01
1.587401e-01,3.156146e-01,2.369978e-01,4.962264e-01,3.946904e-01
