frequency,NS,EW,UD
0.000000e+00,4.010064e+02,1.914732e+02,4.646966e+02
6.578947e-03,3.918062e-01,2.253449e-01,2.478508e-01
1.315789e-02,4.305046e-01,4.233388e-01,2.442470e-01
1.973684e-02,4.405575e-01,8.333431e-01,6.484570e-01
2.631579e-02,7.624704e-01,9.594105e-01,9.358133e-01
3.289474e-02,9.939028e-01,1.598469e+00,2.234572e+00
3.947368e-02,3.685786e+00,3.506577e+00,3.694735e+00
4.605263e-02,2.378435e+00,6.740529e+00,3.956103e+00
5.263158e-02,1.752860e+00,3.278129e+00,6.144790e+00
5.921053e-02,5.175481e+00,6.666396e+00,4.358831e+00
6.578947e-02,7.073545e-01,4.117042e+00,4.509129e+00
7.236842e-02,3.915922e+00,1.128030e+00,2.513172e+00
7.894737e-02,3.500381e+00,1.990497e+00,3.905248e+00
8.552632e-02,2.624138e-01,1.900682e+00,2.869515e+00
9.210526e-02,2.649905e+00,2.932121e+00,6.053110e+00
9.868421e-02,4.562420e+00,5.878726e+00,5.174626e+00
1.052632e-01,1.471283e+00,2.998317e+00,1.861780e+00
1.118421e-01,2.787509e+00,3.968098e-01,3.870388e+00
1.184211e-01,2.090189e+00,2.717727e+00,2.975133e+00
1.250000e-01,5.757217e+00,5.845690e+00,2.735042e+00
1.315789e-01,8.776670e+00,3.296056e+00,3.873143e+00
1.381579e-01,3.569504e+00,4.683721e+00,7.065111e+00
1.447368e-01,1.363600e+00,2.824447e+00,5.041131e+00
1.513158e-01,2.718563e+00,4.260766e+00,4.247628e+00
1.578947e-01,5.549374e+00,1.513219e+00,3.492938e+00
1.644737e-01,9.994189e+00,5.459056e+00,1.295752e+00
1.710526e-01,5.870825e+00,8.575839e+00,2.218791e+00
1.776316e-01,1.032113e+01,2.146454e+00,7.014678e-01
1.842105e-01,4.950285e+00,8.084372e+00,4.415607e+00
1.907895e-01,3.249747e+00,2.851150e+00,2.101514e+00
1.973684e-01,1.061225e+00,2.646906e+00,2.504289e+00
2.039474e-01,4.382083e+00,6.189610e+00,6.996005e+00
2.105263e-01,7.622738e+00,7.376271e+00,2.066820e+00
2.171053e-01,1.912049e+00,8.136581e+00,2.121001e+00
2.236842e-01,1.431352e+00,7.828844e+00,4.678656e+00
2.302632e-01,2.998678e+00,3.663493e+00,1.698764e+00
2.368421e-01,5.512356e+00,2.188675e+00,1.623684e+00
2.434211e-01,1.119354e+01,5.359462e+00,9.971642e-01
2.500000e-01,5.808567e+00,5.007814e+00,4.440357e+00
2.565789e-01,6.735507e+00,1.077272e+01,1.055169e+00
2.631579e-01,9.364061e+00,8.936405e+00,4.549705e+00
2.697368e-01,7.302289e+00,7.506718e+00,6.692127e+00
2.763158e-01,1.315307e+01,2.307240e+00,6.958253e+00
2.828947e-01,5.869556e+00,9.113896e+00,9.822331e-01
2.894737e-01,1.217638e+01,9.363422e+00,6.472494e+00
2.960526e-01,1.917887e+01,1.522168e+01,1.065799e+01
3.026316e-01,1.527716e+01,8.259084e+00,8.160709e+00
