period,NS,EW,UD,H
2.000000e-02,1.546866e-02,1.266441e-02,1.114425e-02,1.999167e-02
2.129572e-02,1.763322e-02,1.439919e-02,1.615744e-02,2.276548e-02
2.267538e-02,2.011003e-02,1.637015e-02,1.824581e-02,2.593059e-02
2.414443e-02,2.290396e-02,1.862481e-02,1.934951e-02,2.952075e-02
2.570865e-02,2.603890e-02,2.107520e-02,2.006761e-02,3.349908e-02
2.737421e-02,2.977197e-02,2.369998e-02,2.488800e-02,3.805337e-02
2.914768e-02,3.471228e-02,2.693033e-02,2.629897e-02,4.393387e-02
3.103604e-02,4.169694e-02,3.107223e-02,2.428546e-02,5.200114e-02
3.304674e-02,4.871525e-02,3.904020e-02,2.816182e-02,6.242846e-02
3.518770e-02,5.413265e-02,4.527958e-02,3.415658e-02,7.057325e-02
3.746737e-02,5.838187e-02,5.882252e-02,4.616615e-02,8.287661e-02
3.989473e-02,7.385347e-02,6.827382e-02,5.309210e-02,1.005766e-01
4.247935e-02,8.698927e-02,7.917344e-02,6.478297e-02,1.176247e-01
4.523142e-02,9.933090e-02,8.897124e-02,8.095275e-02,1.333511e-01
4.816178e-02,1.139432e-01,9.365673e-02,1.105416e-01,1.474945e-01
5.128199e-02,1.534694e-01,1.157945e-01,1.414152e-01,1.922530e-01
5.460434e-02,1.705819e-01,1.452959e-01,1.742202e-01,2.240739e-01
5.814194e-02,1.892155e-01,1.975487e-01,2.461904e-01,2.735471e-01
6.190872e-02,2.644745e-01,2.600445e-01,3.062309e-01,3.709042e-01
6.591954e-02,3.668810e-01,3.602725e-01,3.831387e-01,5.141964e-01
7.019020e-02,4.823516e-01,4.337753e-01,3.694883e-01,6.487096e-01
7.473754e-02,5.551825e-01,5.335092e-01,3.517161e-01,7.699738e-01
7.957948e-02,6.381441e-01,6.177441e-01,3.585412e-01,8.881642e-01
8.473512e-02,8.282318e-01,7.013559e-01,3.910875e-01,1.085296e+00
9.022476e-02,1.111261e+00,6.950359e-01,3.433460e-01,1.310716e+00
9.607006e-02,1.390508e+00,9.787439e-01,3.302032e-01,1.700427e+00
1.022941e-01,1.824928e+00,9.754893e-01,2.627745e-01,2.069285e+00
1.089213e-01,1.700817e+00,1.337929e+00,3.102952e-01,2.163985e+00
1.159778e-01,1.731692e+00,1.703655e+00,3.483611e-01,2.429238e+00
1.234916e-01,1.770504e+00,1.820755e+00,4.209996e-01,2.539653e+00
1.314921e-01,1.944891e+00,2.234029e+00,4.941132e-01,2.962007e+00
1.400110e-01,2.147554e+00,3.522875e+00,6.172374e-01,4.125849e+00
1.490817e-01,2.543746e+00,3.918723e+00,5.817261e-01,4.671941e+00
1.587401e-01,2.236068e+00,3.198763e+00,5.842526e-01,3.902830e+00
1.690242e-01,2.306381e+00,3.126991e+00,5.622275e-01,3.885546e+00
1.799746e-01,2.743725e+00,3.366371e+00,5.481705e-01,4.342866e+00
1.916345e-01,2.744520e+00,3.043384e+00,6.032900e-01,4.098119e+00
2.040497e-01,2.516259e+00,2.615984e+00,5.350980e-01,3.629729e+00
2.172693e-01,2.715110e+00,2.817411e+00,4.812999e-01,3.912751e+00
2.313453e-01,2.679377e+00,2.571132e+00,6.220739e-01,3.713460e+00
2.463332e-01,2.883537e+00,3.019907e+00,8.531405e-01,4.175479e+00
2.622921e-01,3.315129e+00,2.489652e+00,7.659202e-01,4.145895e+00
2.792850e-01,3.689146e+00,2.734208e+00,6.633405e-01,4.591916e+00
2.973787e-01,4.623867e+00,2.525487e+00,6.491267e-01,5.268607e+00
3.166447e-01,5.567872e+00,3.067968e+00,6.047656e-01,6.357171e+00
3.371588e-01,4.034787e+00,3.954956e+00,4.697706e-01,5.649883e+00
3.590020e-01,4.228796e+00,4.917073e+00,6.289298e-01,6.485393e+00
3.822603e-01,4.079632e+00,4.224771e+00,6.849657e-01,5.872996e+00
4.070254e-01,4.423263e+00,3.274023e+00,6.037881e-01,5.503134e+00
4.333949e-01,3.000846e+00,2.595821e+00,5.238767e-01,3.967791e+00
4.614729e-01,2.581327e+00,2.289438e+00,6.254128e-01,3.450329e+00
4.913698e-01,2.813782e+00,2.155887e+00,6.017649e-01,3.544744e+00
5.232037e-01,2.563580e+00,1.971089e+00,5.481445e-01,3.233749e+00
5.571000e-01,2.293724e+00,2.028386e+00,5.320630e-01,3.061947e+00
5.931922e-01,2.409178e+00,1.822891e+00,4.390604e-01,3.021104e+00
6.316228e-01,2.145434e+00,1.763943e+00,5.308104e-01,2.777478e+00
6.725431e-01,2.046182e+00,1.631911e+00,5.153669e-01,2.617250e+00
7.161144e-01,1.648871e+00,1.718162e+00,5.593036e-01,2.381356e+00
7.625086e-01,1.676841e+00,1.576666e+00,6.030015e-01,2.301667e+00
8.119085e-01,1.588918e+00,1.507766e+00,6.434142e-01,2.190437e+00
8.645087e-01,1.608728e+00,1.329821e+00,7.803236e-01,2.087206e+00
9.205168e-01,1.533164e+00,1.581989e+00,7.457922e-01,2.203017e+00
9.801534e-01,1.517838e+00,1.409351e+00,7.847609e-01,2.071256e+00
1.043654e+00,1.710136e+00,1.359824e+00,8.485331e-01,2.184877e+00
1.111268e+00,1.746523e+00,1.326868e+00,9.076427e-01,2.193381e+00
1.183262e+00,1.459353e+00,1.247431e+00,9.659226e-01,1.919842e+00
1.259921e+00,1.515618e+00,1.268784e+00,1.020454e+00,1.976591e+00
1.341546e+00,1.583154e+00,1.522980e+00,1.079086e+00,2.196781e+00
1.428460e+00,1.612541e+00,1.332144e+00,1.156126e+00,2.091625e+00
1.521004e+00,1.425392e+00,1.221783e+00,1.227182e+00,1.877364e+00
1.619544e+00,1.348914e+00,1.391671e+00,1.292441e+00,1.938123e+00
1.724467e+00,1.369720e+00,1.538237e+00,1.389477e+00,2.059686e+00
1.836189e+00,1.168139e+00,1.692642e+00,1.488205e+00,2.056596e+00
1.955148e+00,1.265583e+00,1.586626e+00,1.583246e+00,2.029552e+00
2.081814e+00,1.190100e+00,1.549509e+00,1.671297e+00,1.953795e+00
2.216686e+00,1.199462e+00,1.683616e+00,1.773268e+00,2.067189e+00
2.360297e+00,1.287373e+00,1.594826e+00,1.889729e+00,2.049585e+00
2.513211e+00,1.383516e+00,1.452746e+00,2.031511e+00,2.006137e+00
2.676031e+00,1.380805e+00,1.418148e+00,2.162414e+00,1.979335e+00
2.849401e+00,1.432928e+00,1.397640e+00,2.305026e+00,2.001669e+00
3.034002e+00,1.588639e+00,1.544465e+00,2.446540e+00,2.215659e+00
3.230563e+00,1.600434e+00,1.580025e+00,2.603681e+00,2.248971e+00
3.439858e+00,1.680363e+00,1.671805e+00,2.813885e+00,2.370348e+00
3.662712e+00,1.753501e+00,1.716192e+00,3.011063e+00,2.453585e+00
3.900005e+00,1.826277e+00,1.855266e+00,3.192812e+00,2.603324e+00
4.152671e+00,1.955712e+00,1.988534e+00,3.359642e+00,2.789100e+00
4.421705e+00,2.076091e+00,2.111426e+00,3.588697e+00,2.961127e+00
4.708170e+00,2.189515e+00,2.226480e+00,3.824229e+00,3.122690e+00
5.013193e+00,2.328302e+00,2.350697e+00,4.070424e+00,3.308589e+00
5.337978e+00,2.490327e+00,2.529465e+00,4.309193e+00,3.549637e+00
5.683804e+00,2.639670e+00,2.694868e+00,4.546788e+00,3.772290e+00
6.052035e+00,2.776748e+00,2.849327e+00,4.854834e+00,3.978566e+00
6.444122e+00,2.983784e+00,3.078006e+00,5.180960e+00,4.286851e+00
6.861610e+00,3.193341e+00,3.291448e+00,5.499096e+00,4.585963e+00
7.306147e+00,3.387491e+00,3.497782e+00,5.853855e+00,4.869248e+00
