period,NS,EW,UD,H
2.000000e-02,4.683108e-02,3.716462e-02,8.555820e-02,5.978594e-02
2.129572e-02,5.564449e-02,4.361848e-02,1.224782e-01,7.070277e-02
2.267538e-02,6.683241e-02,5.204017e-02,1.381152e-01,8.470390e-02
2.414443e-02,8.143321e-02,6.283148e-02,1.465266e-01,1.028551e-01
2.570865e-02,1.019973e-01,7.692073e-02,1.520698e-01,1.277507e-01
2.737421e-02,1.298311e-01,9.567017e-02,1.580894e-01,1.612727e-01
2.914768e-02,1.773153e-01,1.221225e-01,1.617754e-01,2.153012e-01
3.103604e-02,2.461428e-01,1.856947e-01,1.869209e-01,3.083323e-01
3.304674e-02,3.412723e-01,2.297713e-01,2.086977e-01,4.114142e-01
3.518770e-02,4.600286e-01,3.039209e-01,2.141869e-01,5.513567e-01
3.746737e-02,6.767468e-01,4.697967e-01,2.040011e-01,8.238295e-01
3.989473e-02,7.446284e-01,5.679449e-01,1.933261e-01,9.365003e-01
4.247935e-02,7.353737e-01,6.314055e-01,2.293701e-01,9.692510e-01
4.523142e-02,6.963898e-01,8.465192e-01,2.634438e-01,1.096154e+00
4.816178e-02,7.002089e-01,8.313335e-01,2.953855e-01,1.086926e+00
5.128199e-02,6.992039e-01,9.201173e-01,3.251197e-01,1.155639e+00
5.460434e-02,7.771433e-01,8.966058e-01,3.526367e-01,1.186530e+00
5.814194e-02,8.888539e-01,8.469022e-01,3.779756e-01,1.227723e+00
6.190872e-02,1.059423e+00,7.608532e-01,4.012109e-01,1.304330e+00
6.591954e-02,8.662184e-01,7.694420e-01,4.224412e-01,1.158609e+00
7.019020e-02,9.281629e-01,9.357123e-01,4.417807e-01,1.317970e+00
7.473754e-02,9.702363e-01,7.992187e-01,4.593524e-01,1.257024e+00
7.957948e-02,8.134211e-01,6.968350e-01,4.752830e-01,1.071090e+00
8.473512e-02,7.493567e-01,6.780865e-01,4.896991e-01,1.010612e+00
9.022476e-02,8.314610e-01,8.404321e-01,5.311289e-01,1.182224e+00
9.607006e-02,9.597592e-01,9.280163e-01,5.750170e-01,1.335048e+00
1.022941e-01,1.086670e+00,9.122106e-01,6.155035e-01,1.418795e+00
1.089213e-01,1.127168e+00,1.021857e+00,6.526904e-01,1.521413e+00
1.159778e-01,9.887089e-01,9.108601e-01,7.262454e-01,1.344326e+00
1.234916e-01,1.205859e+00,1.142884e+00,8.229365e-01,1.661410e+00
1.314921e-01,1.391003e+00,1.182146e+00,7.935460e-01,1.825475e+00
1.400110e-01,1.320235e+00,1.291943e+00,8.521647e-01,1.847197e+00
1.490817e-01,1.213642e+00,1.513869e+00,9.061693e-01,1.940290e+00
1.587401e-01,1.403167e+00,1.587480e+00,9.557181e-01,2.118719e+00
1.690242e-01,2.007579e+00,1.780894e+00,1.063820e+00,2.683647e+00
1.799746e-01,2.190170e+00,1.880853e+00,1.247430e+00,2.886945e+00
