frequency,NS,EW,UD
0.000000e+00,9.489910e+01,1.106249e+03,2.049565e+03
6.369427e-03,3.381590e-02,1.080795e-01,1.766573e-01
1.273885e-02,1.695504e-01,2.072501e-01,1.376451e-01
1.910828e-02,3.956863e-01,2.357120e-01,1.894966e-01
2.547771e-02,7.478858e-01,3.053412e-01,8.110278e-02
3.184713e-02,1.343794e+00,9.237912e-01,9.617511e-01
3.821656e-02,1.528018e+00,1.245516e+00,1.066849e+00
4.458599e-02,9.364422e-01,8.281440e-01,7.329810e-01
5.095541e-02,4.358282e-01,7.180081e-01,1.633057e+00
5.732484e-02,7.644012e-01,1.375305e+00,1.488330e+00
6.369427e-02,1.044569e+00,9.960197e-01,2.843793e-01
7.006369e-02,1.485552e+00,1.464353e+00,9.945304e-01
7.643312e-02,2.910059e-01,1.627805e+00,1.806276e+00
8.280255e-02,1.277424e+00,1.187288e+00,1.134618e+00
8.917197e-02,8.608597e-01,2.112559e+00,1.783641e+00
9.554140e-02,1.822535e+00,1.786496e+00,7.526422e-01
1.019108e-01,1.784681e+00,7.169040e-01,1.593186e-01
1.082803e-01,9.945362e-01,2.209627e+00,1.385623e+00
1.146497e-01,1.282809e+00,1.526431e+00,2.405145e+00
1.210191e-01,1.015014e+00,1.212052e+00,2.426741e+00
1.273885e-01,3.375470e+00,4.917954e+00,2.404218e+00
1.337580e-01,1.746013e+00,5.020842e+00,5.917553e-01
1.401274e-01,1.958090e+00,7.928029e-01,2.477241e+00
1.464968e-01,2.075896e+00,6.742775e+00,2.059404e+00
1.528662e-01,4.475271e+00,1.408014e+00,3.353665e+00
1.592357e-01,7.849438e+00,3.864853e+00,4.139908e+00
1.656051e-01,1.026999e+01,3.903147e+00,4.432029e+00
1.719745e-01,6.273690e+00,4.435289e+00,6.049142e+00
1.783439e-01,4.745758e+00,2.010044e+00,3.560755e+00
1.847134e-01,3.514193e+00,3.657276e+00,1.481281e+00
1.910828e-01,2.883017e+00,1.420429e+00,2.733681e+00
1.974522e-01,1.038398e+01,1.331343e+00,2.218666e+00
2.038217e-01,6.728450e+00,2.530931e+00,2.790472e+00
2.101911e-01,4.874861e+00,7.421196e+00,1.626892e+00
2.165605e-01,5.888634e+00,6.819262e+00,9.085363e+00
2.229299e-01,8.311448e+00,5.063150e+00,5.239063e+00
2.292994e-01,4.001701e+00,3.836778e+00,9.230572e+00
2.356688e-01,9.578949e+00,7.354017e+00,6.334663e+00
2.420382e-01,4.633556e+00,6.727273e+00,2.300687e+00
2.484076e-01,3.046998e+00,5.490516e+00,1.357593e+00
2.547771e-01,5.540717e+00,2.441743e+00,1.187488e+00
2.611465e-01,6.390122e+00,6.949372e+00,1.575640e+00
2.675159e-01,4.847234e+00,5.445529e+00,3.084816e+00
2.738854e-01,1.924709e+00,1.732756e+00,3.098906e+00
2.802548e-01,4.643774e+00,3.214314e+00,4.982633e+00
2.866242e-01,8.991212e+00,1.752969e+00,3.687240e+00
2.929936e-01,2.635845e+00,6.519848e+00,4.772083e-01
2.993631e-01,6.189427e+00,1.120153e+01,3.257216e+00
3.057325e-01,2.730514e+00,4.936715e+00,5.240191e+00
3.121019e-01,4.473460e+00,5.620849e+00,4.602242e+00
3.184713e-01,9.240800e+00,1.272714e+01,4.864720e+00
3.248408e-01,1.156775e+01,8.602526e+00,4.219292e+00
3.312102e-01,1.287585e+01,9.094267e+00,3.273650e+00
3.375796e-01,3.268148e+00,1.109754e+01,4.032728e+00
3.439490e-01,4.263956e+00,4.660445e+00,2.714321e+00
3.503185e-01,1.242324e+01,5.860758e+00,5.285181e+00
3.566879e-01,1.046101e+01,8.368378e+00,7.245439e+00
3.630573e-01,1.198258e+01,1.116402e+01,7.147393e+00
3.694268e-01,7.164862e+00,8.878481e+00,2.627701e+00
3.757962e-01,6.311989e+00,7.309800e+00,7.744415e+00
3.821656e-01,1.121143e+01,6.499695e+00,4.567346e+00
3.885350e-01,8.390993e+00,4.997516e+00,6.660153e+00
3.949045e-01,5.494448e+00,6.068471e-01,9.115400e-01
4.012739e-01,1.384324e+00,3.879525e+00,3.688391e+00
4.076433e-01,6.393048e+00,4.125909e+00,9.395241e+00
4.140127e-01,1.157313e+01,4.259136e+00,4.321070e+00
4.203822e-01,8.287314e+00,4.629961e+00,3.985368e+00
4.267516e-01,7.008277e+00,2.102914e+00,5.414065e+00
4.331210e-01,5.679310e+00,1.560173e+00,9.830501e-01
4.394904e-01,4.580015e+00,9.834539e+00,4.726601e+00
4.458599e-01,1.085780e+01,6.431189e+00,8.470072e+00
4.522293e-01,1.118038e+01,3.714974e+00,5.095158e+00
4.585987e-01,1.339116e+01,4.093660e+00,3.739628e+00
4.649682e-01,1.026966e+01,2.725359e+00,4.976705e+00
4.713376e-01,1.423066e+01,5.334436e+00,3.206688e+00
4.777070e-01,1.241002e+01,5.278786e+00,6.219702e+00
4.840764e-01,8.323471e+00,4.606254e+00,4.948867e+00
4.904459e-01,6.066948e+00,6.816562e+00,5.512919e+00
4.968153e-01,6.530502e+00,1.276357e+00,6.020121e+00
5.031847e-01,5.801574e+00,9.280411e+00,5.048219e+00
5.095541e-01,4.312434e+00,8.907551e+00,4.624599e+00
5.159236e-01,7.089788e+00,5.593738e+00,5.742982e+00
5.222930e-01,6.346579e+00,7.411139e+00,3.144490e+00
5.286624e-01,6.828849e-01,1.334191e+01,5.696477e+00
5.350318e-01,4.848587e+00,1.141063e+01,8.589132e+00
5.414013e-01,7.636266e+00,8.773956e+00,1.409407e+01
5.477707e-01,8.814601e+00,4.690809e+00,2.460685e+00
5.541401e-01,8.683541e+00,5.854486e+00,7.184619e+00
5.605096e-01,6.012606e+00,3.777051e+00,1.066515e+01
5.668790e-01,3.374989e+00,9.720777e+00,8.736832e+00
5.732484e-01,6.960854e+00,1.188409e+01,5.505254e+00
5.796178e-01,1.541714e+01,8.194664e+00,5.638925e+00
5.859873e-01,1.153033e+01,4.133210e+00,7.207519e+00
5.923567e-01,6.428285e+00,5.505203e+00,1.042909e+01
5.987261e-01,7.720092e+00,5.835813e+00,7.709993e+00
6.050955e-01,3.016290e+00,3.491909e+00,5.622073e+00
6.114650e-01,4.167074e+00,1.168322e+01,1.363560e+00
6.178344e-01,8.010156e+00,1.820938e+01,2.623561e+00
6.242038e-01,4.007470e+00,1.057663e+01,6.743841e+00
6.305732e-01,1.003871e+01,5.313705e+00,7.752628e+00
6.369427e-01,8.962160e+00,1.467287e+01,9.465097e+00
6.433121e-01,5.485689e+00,1.029747e+01,4.096067e+00
6.496815e-01,1.553096e+01,3.683057e+00,3.075920e+00
6.560510e-01,1.648833e+01,6.490800e+00,4.016128e+00
6.624204e-01,1.744426e+01,7.284676e+00,4.216178e+00
6.687898e-01,1.174760e+01,7.169352e+00,3.529917e+00
6.751592e-01,9.663264e+00,1.053776e+01,5.197498e+00
6.815287e-01,7.799344e+00,8.767200e+00,4.803653e+00
6.878981e-01,2.320049e+01,1.061963e+01,2.560303e+00
6.942675e-01,2.254287e+01,7.834808e+00,2.449466e+00
7.006369e-01,2.076130e+01,8.821646e-01,3.112374e+00
7.070064e-01,1.737868e+01,4.652088e+00,3.415458e+00
7.133758e-01,1.114428e+01,7.956407e+00,5.287736e+00
7.197452e-01,1.106758e+01,1.042269e+01,7.015811e+00
7.261146e-01,1.892655e+01,8.222420e+00,1.101545e+01
7.324841e-01,2.335486e+01,1.939898e+00,8.254513e+00
7.388535e-01,2.532213e+01,7.996349e+00,5.217710e+00
7.452229e-01,1.414608e+01,1.554367e+01,3.314858e+00
7.515924e-01,1.167452e+01,1.494929e+01,4.662312e+00
7.579618e-01,1.425374e+01,1.133189e+01,8.234362e+00
7.643312e-01,3.335570e+00,8.986291e+00,5.971036e+00
7.707006e-01,3.375978e+00,8.197419e+00,4.804652e+00
7.770701e-01,1.390447e+01,7.358987e+00,5.774042e+00
7.834395e-01,8.524524e+00,1.121398e+01,3.128838e+00
7.898089e-01,6.348323e+00,6.290075e+00,2.414466e+00
7.961783e-01,1.050200e+01,1.857356e+00,7.087106e+00
8.025478e-01,1.003539e+01,1.607249e+00,4.294923e+00
8.089172e-01,4.097946e+00,5.146031e+00,3.572464e+00
8.152866e-01,1.278001e+01,1.060606e+01,2.438243e+00
8.216561e-01,1.480222e+01,1.059788e+01,3.079567e+00
8.280255e-01,1.567825e+01,8.509598e+00,5.968282e+00
8.343949e-01,9.283059e+00,4.695729e+00,5.058178e+00
8.407643e-01,1.415105e+01,1.155178e+01,1.499523e+00
8.471338e-01,4.386047e+00,9.441797e+00,3.285495e+00
8.535032e-01,8.398594e+00,9.215159e+00,7.311471e+00
8.598726e-01,6.927205e+00,2.017195e+01,1.114931e+01
8.662420e-01,4.814202e+00,2.131623e+01,1.333349e+01
8.726115e-01,1.154602e+01,1.944846e+01,1.306664e+01
8.789809e-01,9.994089e+00,1.565282e+01,8.896354e+00
8.853503e-01,8.681879e+00,1.240904e+01,1.387168e+01
8.917197e-01,1.096001e+01,2.292977e+00,7.710303e+00
8.980892e-01,6.393812e+00,3.837306e+00,6.122671e+00
9.044586e-01,6.663738e+00,5.301342e+00,7.706875e+00
9.108280e-01,1.213733e+01,2.552240e+00,5.772671e+00
9.171975e-01,9.113532e+00,1.147939e+01,6.484647e+00
9.235669e-01,6.064998e+00,1.743044e+01,8.291195e+00
9.299363e-01,3.065390e+00,1.579069e+01,4.438081e+00
9.363057e-01,7.630953e+00,1.462594e+01,4.525725e+00
