period,NS,EW,UD,H
2.000000e-02,1.193352e-02,1.319330e-02,2.311306e-02,1.778966e-02
2.129572e-02,1.370546e-02,1.502719e-02,3.308820e-02,2.033854e-02
2.267538e-02,1.580659e-02,1.713483e-02,3.731230e-02,2.331203e-02
2.414443e-02,1.829111e-02,1.953478e-02,3.958443e-02,2.676139e-02
2.570865e-02,2.121657e-02,2.227290e-02,4.108175e-02,3.076077e-02
2.737421e-02,2.403844e-02,2.644052e-02,4.269953e-02,3.573440e-02
2.914768e-02,2.994164e-02,3.221218e-02,4.369773e-02,4.397870e-02
3.103604e-02,3.558483e-02,4.189286e-02,5.047726e-02,5.496627e-02
3.304674e-02,4.258169e-02,4.796251e-02,5.635871e-02,6.413737e-02
3.518770e-02,4.410366e-02,5.236731e-02,5.784018e-02,6.846509e-02
3.746737e-02,5.903048e-02,6.677428e-02,5.508721e-02,8.912576e-02
3.989473e-02,7.299645e-02,9.004692e-02,6.232711e-02,1.159178e-01
4.247935e-02,1.078395e-01,1.012186e-01,8.322364e-02,1.479005e-01
4.523142e-02,1.199439e-01,1.181836e-01,1.024138e-01,1.683862e-01
4.816178e-02,1.693344e-01,1.453404e-01,1.137070e-01,2.231546e-01
5.128199e-02,1.996775e-01,1.750870e-01,1.480977e-01,2.655684e-01
5.460434e-02,2.107812e-01,2.197093e-01,1.820675e-01,3.044682e-01
5.814194e-02,2.036907e-01,2.902903e-01,2.285508e-01,3.546243e-01
6.190872e-02,2.636166e-01,3.712797e-01,2.066276e-01,4.553485e-01
6.591954e-02,3.553373e-01,4.118009e-01,2.746225e-01,5.439160e-01
7.019020e-02,4.467304e-01,4.117143e-01,2.644588e-01,6.075169e-01
7.473754e-02,4.916640e-01,4.577062e-01,2.906825e-01,6.717354e-01
7.957948e-02,6.905800e-01,6.331449e-01,3.488157e-01,9.368955e-01
8.473512e-02,8.701185e-01,8.136827e-01,3.637422e-01,1.191296e+00
9.022476e-02,7.983371e-01,8.800379e-01,4.304070e-01,1.188196e+00
9.607006e-02,1.011530e+00,1.172658e+00,4.951545e-01,1.548651e+00
1.022941e-01,1.096042e+00,1.402994e+00,4.905648e-01,1.780365e+00
1.089213e-01,1.103876e+00,1.663926e+00,4.547045e-01,1.996796e+00
1.159778e-01,1.481543e+00,1.764988e+00,4.162792e-01,2.304377e+00
1.234916e-01,1.639184e+00,1.918081e+00,4.299510e-01,2.523086e+00
1.314921e-01,1.709889e+00,1.831555e+00,5.056155e-01,2.505656e+00
1.400110e-01,1.895741e+00,1.863069e+00,6.317947e-01,2.657981e+00
1.490817e-01,1.912412e+00,1.612148e+00,5.421361e-01,2.501268e+00
1.587401e-01,1.629641e+00,1.549905e+00,5.814120e-01,2.248985e+00
1.690242e-01,1.304619e+00,2.230941e+00,7.052488e-01,2.584401e+00
1.799746e-01,1.298445e+00,3.235097e+00,9.111125e-01,3.485945e+00
1.916345e-01,1.316809e+00,2.931514e+00,8.663560e-01,3.213683e+00
2.040497e-01,1.302728e+00,2.533795e+00,8.581201e-01,2.849073e+00
2.172693e-01,1.137784e+00,2.672787e+00,9.687551e-01,2.904882e+00
2.313453e-01,1.350660e+00,3.198959e+00,1.080246e+00,3.472409e+00
2.463332e-01,1.461357e+00,3.327753e+00,1.011459e+00,3.634488e+00
2.622921e-01,1.599306e+00,3.092144e+00,9.507466e-01,3.481255e+00
2.792850e-01,1.822885e+00,2.669119e+00,1.014909e+00,3.232199e+00
2.973787e-01,2.149473e+00,3.315204e+00,1.393143e+00,3.951052e+00
3.166447e-01,1.688150e+00,3.232732e+00,1.236666e+00,3.646972e+00
3.371588e-01,1.506551e+00,3.258337e+00,1.127928e+00,3.589771e+00
3.590020e-01,1.720199e+00,2.570075e+00,1.129552e+00,3.092631e+00
3.822603e-01,2.272559e+00,2.890268e+00,1.243327e+00,3.676707e+00
4.070254e-01,2.463669e+00,2.875266e+00,1.553383e+00,3.786399e+00
4.333949e-01,2.334767e+00,3.023721e+00,1.490861e+00,3.820213e+00
4.614729e-01,1.679105e+00,2.333548e+00,1.171055e+00,2.874863e+00
4.913698e-01,1.579765e+00,2.348312e+00,1.303268e+00,2.830234e+00
5.232037e-01,1.469211e+00,1.953800e+00,1.229894e+00,2.444568e+00
5.571000e-01,1.583733e+00,1.708476e+00,1.249664e+00,2.329614e+00
5.931922e-01,1.910823e+00,1.919328e+00,1.407106e+00,2.708332e+00
6.316228e-01,2.140838e+00,2.064124e+00,1.558431e+00,2.973852e+00
6.725431e-01,2.366796e+00,2.120006e+00,1.725784e+00,3.177444e+00
7.161144e-01,1.800616e+00,2.909464e+00,1.382653e+00,3.421578e+00
7.625086e-01,1.914363e+00,3.176816e+00,1.498981e+00,3.709036e+00
8.119085e-01,1.609696e+00,2.798516e+00,1.693265e+00,3.228438e+00
8.645087e-01,1.426165e+00,2.718893e+00,1.610218e+00,3.070232e+00
9.205168e-01,1.464508e+00,2.548014e+00,1.492629e+00,2.938904e+00
9.801534e-01,1.414517e+00,2.445300e+00,1.810293e+00,2.824952e+00
1.043654e+00,1.724024e+00,2.521605e+00,1.786132e+00,3.054628e+00
1.111268e+00,1.580118e+00,2.527370e+00,1.801494e+00,2.980667e+00
1.183262e+00,1.417327e+00,2.694894e+00,1.918667e+00,3.044876e+00
1.259921e+00,1.163365e+00,3.084670e+00,2.043034e+00,3.296758e+00
1.341546e+00,1.047259e+00,2.916426e+00,2.175376e+00,3.098756e+00
1.428460e+00,1.111805e+00,2.403435e+00,2.316291e+00,2.648133e+00
1.521004e+00,9.888880e-01,2.049812e+00,2.466117e+00,2.275880e+00
1.619544e+00,9.726385e-01,2.160357e+00,2.626281e+00,2.369212e+00
1.724467e+00,1.094416e+00,2.309402e+00,2.796317e+00,2.555599e+00
1.836189e+00,1.072349e+00,2.592687e+00,2.977312e+00,2.805701e+00
1.955148e+00,1.013087e+00,2.987645e+00,3.170464e+00,3.154737e+00
2.081814e+00,1.073875e+00,2.919824e+00,3.375644e+00,3.111042e+00
2.216686e+00,1.188433e+00,3.224348e+00,3.594501e+00,3.436392e+00
2.360297e+00,1.242969e+00,3.280924e+00,3.827282e+00,3.508480e+00
2.513211e+00,1.296340e+00,3.146558e+00,4.074912e+00,3.403134e+00
2.676031e+00,1.380399e+00,2.979623e+00,4.338975e+00,3.283847e+00
2.849401e+00,1.469887e+00,2.784080e+00,4.620253e+00,3.148280e+00
3.034002e+00,1.565209e+00,2.593870e+00,4.919781e+00,3.029528e+00
3.230563e+00,1.666586e+00,2.425352e+00,5.238208e+00,2.942760e+00
3.439858e+00,1.774616e+00,2.361777e+00,5.577792e+00,2.954192e+00
3.662712e+00,1.889515e+00,2.203793e+00,5.938916e+00,2.902925e+00
3.900005e+00,2.011882e+00,1.925361e+00,6.323729e+00,2.784723e+00
4.152671e+00,2.142135e+00,2.006618e+00,6.733403e+00,2.935176e+00
4.421705e+00,2.280879e+00,2.267296e+00,7.169689e+00,3.216060e+00
4.708170e+00,2.428519e+00,2.244852e+00,7.633980e+00,3.307123e+00
5.013193e+00,2.586012e+00,2.370058e+00,8.128888e+00,3.507796e+00
5.337978e+00,2.753551e+00,2.523651e+00,8.655547e+00,3.735085e+00
5.683804e+00,2.931884e+00,2.687111e+00,9.216259e+00,3.976997e+00
6.052035e+00,3.121858e+00,2.861321e+00,9.813461e+00,4.234755e+00
6.444122e+00,3.324413e+00,3.047038e+00,1.045029e+01,4.509564e+00
6.861610e+00,3.539549e+00,3.244096e+00,1.112624e+01,4.801309e+00
7.306147e+00,3.767572e+00,3.453050e+00,1.184302e+01,5.110593e+00
7.779482e+00,4.015232e+00,3.679986e+00,1.262099e+01,5.446502e+00
8.283484e+00,4.270040e+00,3.913820e+00,1.342307e+01,5.792342e+00
8.820137e+00,4.547993e+00,4.168249e+00,1.429673e+01,6.169161e+00
9.391559e+00,4.854636e+00,4.449579e+00,1.526014e+01,6.585305e+00
1.000000e+01,5.166527e+00,4.734968e+00,1.624092e+01,7.008061e+00
