frequency,NS,EW,UD
0.000000e+00,4.601353e+02,6.530031e+02,7.565049e+03
6.666667e-03,7.392752e-02,2.141710e-02,2.226214e-01
1.333333e-02,5.025570e-02,1.511885e-01,2.247212e-01
2.000000e-02,1.408828e-01,3.391846e-01,2.689087e-01
2.666667e-02,2.897955e-01,2.357015e-01,5.371239e-01
3.333333e-02,4.928832e-01,6.726849e-01,3.969965e-01
4.000000e-02,7.487963e-01,9.103959e-01,7.173790e-01
4.666667e-02,6.117842e-01,9.094664e-01,7.745986e-01
5.333333e-02,9.784987e-01,5.344673e-01,9.471520e-01
6.000000e-02,9.425786e-01,1.036259e+00,1.043566e+00
6.666667e-02,1.319772e-01,9.453161e-01,1.937061e-01
7.333333e-02,2.982757e-01,6.200202e-01,3.990596e-01
8.000000e-02,5.292748e-01,1.198811e+00,8.868764e-01
8.666667e-02,8.983601e-01,1.255908e+00,1.094404e+00
9.333333e-02,1.008920e+00,2.112545e+00,1.185401e+00
1.000000e-01,1.927408e+00,1.309854e+00,1.459664e+00
1.066667e-01,6.358528e-01,1.349029e+00,5.734544e-01
1.133333e-01,1.745146e+00,2.289080e+00,3.438183e-01
1.200000e-01,5.585084e-01,1.090303e+00,4.299359e-01
1.266667e-01,1.433148e+00,2.638282e+00,1.512636e+00
1.333333e-01,2.169809e+00,1.910664e+00,1.459063e+00
1.400000e-01,2.241749e+00,3.164406e+00,2.039745e+00
1.466667e-01,1.330060e+00,2.788740e+00,8.998200e-01
1.533333e-01,2.079647e+00,4.137757e+00,1.713264e+00
1.600000e-01,2.623402e+00,4.124533e+00,2.957404e+00
1.666667e-01,1.881644e+00,1.460563e+00,3.400469e+00
1.733333e-01,5.073143e+00,1.168145e+00,2.982914e+00
1.800000e-01,2.958303e+00,4.932522e+00,4.259398e+00
1.866667e-01,5.228061e+00,2.933398e+00,6.103010e+00
1.933333e-01,3.839282e+00,3.668188e+00,4.296173e+00
2.000000e-01,3.347866e+00,3.155113e+00,4.287435e+00
2.066667e-01,3.184329e+00,3.567991e+00,4.156341e+00
2.133333e-01,3.109532e-01,8.148651e+00,1.086769e+00
2.200000e-01,5.821153e-01,5.398915e+00,1.982950e+00
2.266667e-01,1.743740e+00,4.487807e+00,1.726562e+00
2.333333e-01,2.008499e+00,3.002924e+00,3.856936e+00
2.400000e-01,4.017647e+00,3.554672e+00,3.171971e+00
2.466667e-01,2.377009e+00,5.077489e+00,2.269864e+00
2.533333e-01,8.967427e-01,5.078441e+00,3.275570e+00
2.600000e-01,2.111623e+00,2.100398e+00,1.296221e+00
2.666667e-01,1.447350e+00,3.332606e+00,2.669883e+00
2.733333e-01,5.271428e-01,1.161461e+00,7.979748e-01
2.800000e-01,1.242375e+00,1.080884e+00,3.458098e+00
2.866667e-01,1.960032e+00,2.865793e+00,1.002980e+00
2.933333e-01,8.661457e-01,2.109011e+00,1.898720e+00
3.000000e-01,3.115083e+00,3.229479e+00,1.456573e+00
3.066667e-01,2.320068e+00,2.226062e+00,2.968388e+00
3.133333e-01,3.259797e+00,3.391576e+00,2.730780e+00
3.200000e-01,1.241030e+00,3.357198e-01,2.602196e+00
3.266667e-01,3.788311e+00,2.399787e+00,5.966140e+00
3.333333e-01,7.555321e+00,6.247212e+00,5.008425e+00
3.400000e-01,5.039135e+00,8.323038e+00,3.773821e+00
3.466667e-01,5.395722e+00,6.858541e+00,5.516788e+00
3.533333e-01,5.410836e+00,1.064538e+01,2.546608e+00
3.600000e-01,4.591522e+00,1.330921e+01,6.596136e+00
3.666667e-01,7.379911e+00,1.138146e+01,8.495252e+00
3.733333e-01,8.746812e+00,1.056228e+01,6.670858e+00
3.800000e-01,4.813696e+00,8.526596e+00,9.824771e+00
3.866667e-01,4.107590e+00,1.248352e+01,3.837960e+00
3.933333e-01,6.317215e+00,7.161911e+00,2.746753e+00
4.000000e-01,1.460250e+00,7.478968e+00,3.969381e+00
4.066667e-01,3.534916e+00,5.809459e+00,5.400822e+00
4.133333e-01,3.376501e+00,1.009191e+01,2.088566e+00
4.200000e-01,1.664741e+00,4.120470e+00,5.558714e+00
4.266667e-01,7.764573e+00,5.758963e+00,5.782146e+00
4.333333e-01,4.730743e+00,5.165519e+00,7.859644e+00
4.400000e-01,5.065290e+00,7.821271e+00,3.904428e+00
4.466667e-01,1.671397e+00,5.295628e+00,4.312734e+00
4.533333e-01,5.529318e+00,8.243122e+00,2.625749e+00
4.600000e-01,2.495799e+00,5.320239e+00,2.465536e+00
4.666667e-01,5.486330e+00,4.920629e+00,4.163298e+00
4.733333e-01,1.545262e+00,2.130083e+00,5.125749e+00
4.800000e-01,1.073121e+00,4.845298e+00,4.247836e+00
4.866667e-01,4.861583e-01,4.364042e+00,5.243954e+00
4.933333e-01,4.912771e+00,1.131176e+00,1.974620e+00
5.000000e-01,6.314811e+00,3.615815e+00,3.090750e+00
5.066667e-01,5.233717e+00,1.636018e+00,3.909242e+00
5.133333e-01,2.457145e+00,8.939578e+00,2.812378e+00
5.200000e-01,1.094814e+00,4.900143e+00,3.878635e+00
5.266667e-01,4.334304e+00,9.511205e-01,5.392132e+00
5.333333e-01,3.120348e+00,3.447358e+00,5.288334e+00
5.400000e-01,9.559865e-01,1.026038e+00,5.139909e+00
5.466667e-01,3.613865e+00,5.377209e+00,4.171720e+00
5.533333e-01,4.741759e+00,4.721886e+00,3.492038e+00
5.600000e-01,3.630959e+00,1.230074e+00,6.409306e+00
5.666667e-01,1.991450e+00,1.625109e+00,6.810560e+00
5.733333e-01,2.089911e+00,3.904969e+00,6.269516e+00
5.800000e-01,6.249173e+00,5.051674e+00,4.126430e+00
5.866667e-01,5.189093e+00,6.249688e-01,1.585094e+00
5.933333e-01,2.478716e-01,1.171304e+00,3.365704e+00
6.000000e-01,2.339516e+00,3.064064e+00,4.280809e+00
6.066667e-01,4.967531e+00,2.750423e+00,1.892740e+00
6.133333e-01,5.937689e+00,2.102571e+00,4.746623e+00
6.200000e-01,8.156648e+00,3.928665e+00,5.560216e+00
6.266667e-01,7.340742e+00,9.163814e+00,7.418892e+00
6.333333e-01,4.812169e+00,8.383123e+00,9.359410e+00
6.400000e-01,2.927714e+00,4.415262e+00,8.297495e+00
6.466667e-01,6.172172e+00,3.896479e+00,4.875372e+00
6.533333e-01,1.866591e+00,6.032383e+00,6.397687e+00
6.600000e-01,1.546812e+00,3.699088e+00,5.567977e+00
6.666667e-01,5.781523e+00,3.381574e+00,4.223885e+00
6.733333e-01,5.766114e+00,2.462706e+00,6.106212e+00
6.800000e-01,4.944628e+00,5.103579e+00,3.005063e+00
6.866667e-01,4.558936e+00,3.280708e+00,5.312607e+00
6.933333e-01,9.355546e-01,8.293134e+00,5.600610e+00
7.000000e-01,3.101426e+00,8.668708e+00,3.959047e+00
7.066667e-01,5.526003e+00,8.466551e+00,4.931722e+00
7.133333e-01,6.992696e+00,7.564269e+00,5.599875e+00
7.200000e-01,3.796541e+00,5.162075e+00,4.785117e+00
7.266667e-01,2.002626e+00,4.095299e+00,3.150504e+00
7.333333e-01,2.392433e+00,1.973609e+00,3.150940e+00
7.400000e-01,8.426277e+00,5.252493e+00,1.019722e+00
7.466667e-01,3.414940e+00,1.226254e+01,3.293998e+00
