frequency,NS,EW,UD
0.000000e+00,7.218777e+02,1.553722e+02,5.256143e+02
1.388889e-02,8.004842e-02,1.403014e-01,5.043106e-02
2.777778e-02,4.401959e-01,2.921875e-01,3.991867e-01
4.166667e-02,1.196358e+00,1.157077e+00,4.161919e-01
5.555556e-02,5.226332e-01,9.246571e-01,6.867121e-01
6.944444e-02,1.096096e+00,6.162557e-01,3.701026e-01
8.333333e-02,1.074689e-01,4.441524e-01,3.584631e-01
9.722222e-02,1.158765e+00,1.510729e-01,9.436573e-01
1.111111e-01,3.942404e-01,2.855295e-01,8.441506e-01
1.250000e-01,7.468771e-01,2.156445e+00,2.145689e-01
1.388889e-01,2.798165e-01,6.133096e-01,2.678077e-01
1.527778e-01,2.932824e+00,5.681627e+00,3.866055e-01
1.666667e-01,1.231375e+00,2.961874e+00,1.406662e+00
1.805556e-01,4.021086e+00,1.417915e+00,1.540325e+00
1.944444e-01,3.024257e+00,5.439629e+00,1.956873e-01
2.083333e-01,6.296445e+00,7.755880e+00,1.953690e+00
2.222222e-01,3.795310e+00,4.756104e+00,4.635160e+00
2.361111e-01,3.977793e+00,3.197784e+00,4.112548e+00
2.500000e-01,3.953157e+00,6.234319e+00,2.354745e+00
2.638889e-01,1.215647e+00,4.190487e+00,7.886877e-01
2.777778e-01,4.825782e+00,5.064418e+00,1.224351e-01
2.916667e-01,2.372758e+00,5.376140e+00,8.862371e-01
3.055556e-01,2.217454e+00,6.698803e+00,8.383263e-01
3.194444e-01,3.525260e+00,1.030019e+01,3.102549e+00
3.333333e-01,5.006840e+00,9.334650e+00,8.574489e-01
3.472222e-01,4.170401e+00,8.761156e+00,2.952844e+00
3.611111e-01,1.582067e+00,8.200163e+00,2.643413e+00
3.750000e-01,3.418522e+00,2.464826e+00,5.141794e+00
3.888889e-01,1.035096e+00,1.799820e+00,4.108572e+00
4.027778e-01,3.037231e+00,2.103733e+00,1.202449e+00
4.166667e-01,6.445314e+00,6.053323e+00,1.940353e+00
4.305556e-01,3.024046e+00,2.753397e+00,1.013382e+00
4.444444e-01,6.730042e+00,3.887555e+00,2.625866e+00
4.583333e-01,3.705887e+00,4.819254e+00,5.549500e-01
4.722222e-01,1.790114e+00,3.208013e+00,2.572090e+00
4.861111e-01,3.331489e+00,4.604659e+00,5.273474e+00
5.000000e-01,2.637658e+00,3.872334e-01,1.188936e+00
5.138889e-01,1.291065e+00,6.376038e+00,8.027676e-01
5.277778e-01,1.249820e+00,3.440295e+00,1.415927e+00
5.416667e-01,5.272809e+00,7.512565e+00,3.416943e+00
5.555556e-01,1.594384e+00,2.180073e+00,9.991670e-02
5.694444e-01,3.585678e+00,4.380635e+00,1.363475e+00
5.833333e-01,3.413663e+00,3.518588e+00,1.957521e+00
5.972222e-01,9.289278e-01,2.758836e+00,4.008979e+00
6.111111e-01,4.520922e+00,4.776604e+00,3.087456e+00
6.250000e-01,5.868595e-01,5.854528e+00,4.811059e+00
6.388889e-01,1.408161e+00,7.064973e+00,2.774441e+00
6.527778e-01,1.774705e+00,4.741245e+00,2.128306e+00
6.666667e-01,2.875461e+00,4.865245e+00,2.567253e+00
6.805556e-01,4.240290e+00,4.861366e+00,3.556934e+00
6.944444e-01,5.310066e-01,6.422128e+00,5.226873e+00
7.083333e-01,2.466853e+00,5.766410e+00,3.669036e+00
7.222222e-01,2.523134e+00,1.033905e+00,2.143402e+00
7.361111e-01,3.921544e+00,8.662057e+00,3.829931e+00
7.500000e-01,3.242145e+00,6.986668e+00,3.412750e+00
7.638889e-01,9.477459e-01,5.617754e+00,4.606398e+00
7.777778e-01,5.107927e+00,7.679711e+00,2.044034e+00
7.916667e-01,4.475830e+00,4.205886e+00,6.284332e-01
8.055556e-01,5.465296e-01,2.126530e+00,2.398549e+00
8.194444e-01,5.363910e+00,2.317143e+00,1.530887e-01
8.333333e-01,1.669748e+00,3.427733e+00,3.338947e+00
8.472222e-01,4.427139e+00,2.553653e+00,3.578869e+00
8.611111e-01,4.385091e+00,2.787467e+00,3.700878e+00
8.750000e-01,4.232883e+00,1.089493e+00,1.603454e+00
8.888889e-01,4.286084e+00,3.607897e+00,7.216718e-01
9.027778e-01,1.908078e+00,3.006281e+00,1.689031e+00
9.166667e-01,3.096493e+00,1.353680e+00,8.371796e-01
9.305556e-01,1.758400e+00,7.829205e+00,9.416797e-01
9.444444e-01,3.527124e+00,9.837975e-01,2.958228e+00
9.583333e-01,7.085589e+00,2.123166e+00,1.535648e+00
9.722222e-01,4.467952e+00,3.908719e+00,1.822894e-01
9.861111e-01,3.266332e+00,4.249922e+00,2.358386e+00
1.000000e+00,2.964226e+00,2.480423e+00,3.200211e+00
1.013889e+00,9.639658e-01,5.281131e+00,2.500958e+00
1.027778e+00,1.098837e+00,3.227610e+00,1.751247e+00
1.041667e+00,4.600720e+00,1.323669e+00,1.239679e+00
1.055556e+00,3.917986e+00,4.738078e+00,5.477036e+00
1.069444e+00,3.749363e+00,3.519034e+00,4.639802e+00
1.083333e+00,5.096482e+00,6.272576e+00,2.652356e+00
1.097222e+00,4.691776e+00,5.411421e+00,9.528628e-01
1.111111e+00,5.375913e+00,2.591938e+00,3.497523e+00
1.125000e+00,1.844675e+00,2.635201e+00,1.981902e+00
1.138889e+00,1.302838e+00,2.648320e+00,1.028673e+00
1.152778e+00,4.498013e+00,2.097695e+00,2.221337e+00
1.166667e+00,2.795103e+00,4.827268e-01,1.319545e+00
1.180556e+00,4.723680e+00,1.813688e+00,2.610214e+00
1.194444e+00,4.468949e+00,1.108278e+00,1.833358e+00
1.208333e+00,5.983743e+00,3.592851e+00,1.456991e+00
1.222222e+00,5.152314e+00,7.303866e+00,5.500588e-01
1.236111e+00,4.404130e+00,2.963666e+00,1.249084e+00
1.250000e+00,1.878011e+00,1.688505e+00,2.014660e+00
1.263889e+00,3.931454e+00,4.828281e+00,3.726456e+00
1.277778e+00,3.804878e+00,4.312188e+00,2.983212e+00
1.291667e+00,3.929134e+00,7.345036e+00,1.317631e+00
1.305556e+00,5.213717e+00,6.281109e+00,1.275001e+00
1.319444e+00,5.732569e+00,1.228025e+01,2.956105e+00
1.333333e+00,3.212283e+00,6.540914e+00,1.338077e+00
1.347222e+00,3.740520e+00,7.226557e+00,2.685219e+00
1.361111e+00,1.043863e+01,8.292647e+00,2.919935e+00
1.375000e+00,9.770999e+00,3.547946e+00,1.664259e+00
1.388889e+00,6.028451e+00,1.616637e+00,1.603763e+00
1.402778e+00,3.475839e+00,2.630756e+00,1.876918e+00
1.416667e+00,3.992907e+00,2.004791e+00,1.373752e+00
1.430556e+00,1.911248e+00,6.792460e+00,1.085969e+00
1.444444e+00,2.785449e-01,4.965127e+00,9.453108e-01
1.458333e+00,5.319309e+00,4.602601e+00,1.938806e+00
1.472222e+00,3.999533e+00,1.762567e+00,1.083725e+00
1.486111e+00,2.487347e+00,1.505312e+00,2.079986e+00
1.500000e+00,3.496595e+00,4.417071e+00,8.555169e-01
1.513889e+00,8.000518e+00,1.086610e+00,2.428088e+00
1.527778e+00,2.640858e+00,2.349707e+00,3.721135e-01
1.541667e+00,9.502797e+00,4.123716e+00,2.149089e+00
1.555556e+00,9.049034e+00,3.628459e+00,1.411893e+00
1.569444e+00,8.468543e+00,3.669144e+00,3.529615e+00
1.583333e+00,8.722032e+00,2.993109e+00,1.556483e+00
1.597222e+00,8.377182e+00,4.738341e+00,1.317904e+00
1.611111e+00,6.549598e+00,4.123592e+00,6.154263e-01
1.625000e+00,1.820191e+00,3.437872e+00,2.680288e+00
1.638889e+00,5.385960e+00,4.024160e+00,1.834672e-01
1.652778e+00,8.686958e-01,2.242028e+00,3.433038e-01
1.666667e+00,7.347498e+00,2.182462e+00,8.651969e-01
1.680556e+00,1.762435e+00,2.512372e+00,1.318062e+00
1.694444e+00,5.883049e+00,9.895784e-01,2.220989e-01
1.708333e+00,3.561163e+00,8.468896e-01,4.644833e-01
1.722222e+00,4.746554e+00,2.483528e+00,2.908689e+00
1.736111e+00,6.079115e+00,3.243523e+00,2.580952e+00
1.750000e+00,2.628633e-01,2.856707e+00,9.270645e-01
1.763889e+00,2.126246e-01,1.327020e+00,1.111476e+00
1.777778e+00,3.450543e+00,1.540273e+00,1.030217e+00
1.791667e+00,1.751264e+00,2.355234e+00,1.622012e+00
1.805556e+00,2.763467e+00,6.001996e-01,1.554258e+00
1.819444e+00,3.063095e+00,2.952937e+00,3.613981e-01
1.833333e+00,5.448148e+00,3.946315e+00,1.900783e+00
1.847222e+00,8.198394e-01,3.971439e+00,1.288185e+00
1.861111e+00,3.572638e+00,2.323050e+00,5.361068e-01
1.875000e+00,2.437335e+00,7.410793e-01,5.457568e-01
1.888889e+00,8.010049e+00,2.302884e+00,1.161534e+00
1.902778e+00,5.541285e+00,3.616743e+00,2.861433e+00
1.916667e+00,3.720991e+00,5.129543e+00,9.497834e-01
1.930556e+00,1.427895e+00,3.460446e+00,1.643756e+00
1.944444e+00,3.600525e+00,1.689858e+00,1.339189e+00
1.958333e+00,2.015853e+00,1.868147e+00,7.736339e-01
1.972222e+00,3.350751e+00,5.082969e+00,2.872268e+00
1.986111e+00,4.345584e+00,1.079490e+00,1.933173e+00
2.000000e+00,1.841366e+00,5.220664e+00,2.179416e+00
2.013889e+00,5.418353e+00,3.705391e+00,3.433652e-01
2.027778e+00,3.403655e+00,3.236975e+00,7.443969e-01
2.041667e+00,2.488569e+00,6.508976e+00,2.883090e-01
2.055556e+00,6.037627e+00,3.393320e+00,4.898089e-01
2.069444e+00,4.206378e+00,1.302201e+00,1.153628e+00
2.083333e+00,6.446737e+00,3.992393e+00,9.617814e-01
2.097222e+00,2.294484e+00,3.731516e+00,2.394948e+00
2.111111e+00,2.569672e+00,1.638589e+00,1.296482e+00
2.125000e+00,5.550534e+00,6.575676e+00,2.445640e+00
2.138889e+00,2.216315e+00,3.045513e+00,2.190301e+00
2.152778e+00,2.788596e+00,3.225353e+00,1.946398e+00
2.166667e+00,3.428205e+00,2.062420e+00,1.919934e+00
2.180556e+00,1.942176e+00,2.726208e+00,5.815728e-01
2.194444e+00,2.200661e+00,1.352510e+00,9.835218e-01
2.208333e+00,3.485084e+00,2.336825e+00,8.375805e-01
2.222222e+00,2.403595e+00,3.633388e+00,1.437808e+00
2.236111e+00,4.850281e+00,9.836633e+00,3.247158e+00
2.250000e+00,6.174523e+00,5.202974e-01,1.218851e+00
2.263889e+00,3.311825e-01,1.379830e+00,6.623430e-01
2.277778e+00,8.851288e+00,2.805698e+00,1.404557e+00
2.291667e+00,3.109302e+00,8.876789e-01,5.895468e-01
2.305556e+00,2.059494e+00,5.535118e+00,1.058661e+00
2.319444e+00,2.721331e+00,1.105558e+01,3.502987e+00
2.333333e+00,3.534339e+00,4.839300e+00,1.316898e+00
2.347222e+00,3.543859e+00,3.216334e+00,1.028654e+00
2.361111e+00,7.266553e+00,1.954049e+00,7.763628e-01
2.375000e+00,6.458060e+00,2.842119e+00,2.102014e+00
2.388889e+00,7.834988e+00,3.284776e+00,2.100858e-01
2.402778e+00,7.011973e+00,3.979297e+00,1.617783e+00
2.416667e+00,5.294692e+00,4.057632e+00,1.484099e+00
2.430556e+00,4.523816e+00,3.332232e+00,3.568523e-01
2.444444e+00,1.041054e+01,6.033188e+00,1.409134e+00
2.458333e+00,5.868945e+00,3.150210e+00,2.341573e+00
2.472222e+00,1.862458e+00,3.235664e+00,2.243315e+00
2.486111e+00,7.502077e+00,4.804374e+00,1.978138e+00
2.500000e+00,7.761079e+00,1.397802e+00,1.107356e+00
2.513889e+00,7.281138e+00,7.722063e+00,2.812799e+00
2.527778e+00,4.001860e+00,4.407785e+00,6.735739e-01
2.541667e+00,1.159793e+01,1.915193e+00,6.683080e-01
2.555556e+00,6.251879e+00,1.064590e+00,5.555724e-01
2.569444e+00,3.298506e+00,5.438259e-01,6.472230e-01
2.583333e+00,3.939681e+00,8.787933e-01,4.498391e-01
2.597222e+00,4.283474e+00,2.585134e+00,9.216007e-01
2.611111e+00,4.071996e+00,3.376882e+00,2.461152e-01
2.625000e+00,6.411796e+00,4.188749e+00,9.102002e-01
2.638889e+00,6.490599e+00,4.635199e+00,2.998897e-01
2.652778e+00,7.390615e+00,1.091516e+00,1.827602e+00
2.666667e+00,6.067961e+00,6.852814e-01,9.228946e-01
2.680556e+00,6.742032e+00,1.192921e+00,1.000556e+00
2.694444e+00,4.722422e+00,3.313768e+00,1.979850e+00
2.708333e+00,5.720444e+00,2.461343e+00,1.715236e+00
2.722222e+00,3.623842e+00,1.943583e+00,5.024505e-01
2.736111e+00,4.138329e+00,1.292840e+00,1.296199e+00
2.750000e+00,6.144019e+00,5.359770e+00,1.540842e+00
2.763889e+00,6.380143e+00,3.589039e+00,1.228288e+00
2.777778e+00,5.479275e+00,4.765885e+00,4.813375e-01
2.791667e+00,2.987682e+00,5.065969e+00,5.757920e-01
2.805556e+00,4.809666e+00,3.114841e+00,8.471639e-01
2.819444e+00,4.422826e+00,4.964790e+00,1.194448e+00
2.833333e+00,8.046259e+00,7.202771e+00,1.365601e+00
2.847222e+00,6.115017e+00,4.989644e+00,6.717470e-01
2.861111e+00,2.537856e+00,3.617652e+00,5.647514e-01
2.875000e+00,4.313567e+00,3.217506e+00,1.735393e+00
2.888889e+00,2.871146e+00,3.086795e+00,1.600556e+00
2.902778e+00,5.464235e+00,5.223890e+00,1.357766e+00
2.916667e+00,4.065153e+00,4.722993e+00,1.135760e+00
2.930556e+00,3.001925e+00,3.292772e+00,3.286920e-01
2.944444e+00,2.562418e+00,3.908483e+00,6.992138e-01
2.958333e+00,2.815868e+00,1.683887e+00,1.062797e+00
2.972222e+00,2.173158e+00,2.738762e+00,9.638349e-01
2.986111e+00,2.936462e+00,8.355868e-01,9.758544e-02
3.000000e+00,6.237303e+00,3.958510e+00,1.105909e+00
3.013889e+00,8.405709e+00,2.791599e+00,1.357484e+00
3.027778e+00,5.532651e+00,2.816373e+00,1.201097e+00
3.041667e+00,4.065736e+00,2.746833e+00,1.286664e+00
3.055556e+00,5.101230e+00,3.365882e+00,9.663369e-01
3.069444e+00,4.058696e+00,3.323797e+00,5.222331e-01
3.083333e+00,1.650979e+00,1.208352e+00,4.517918e-01
3.097222e+00,4.865681e+00,1.142825e-01,3.351562e-01
3.111111e+00,3.077945e+00,9.223225e-01,5.739438e-01
3.125000e+00,1.730469e+00,6.933914e-01,6.793379e-01
3.138889e+00,3.476758e+00,1.916044e+00,9.043160e-01
3.152778e+00,4.333151e+00,2.360605e+00,2.872837e-01
3.166667e+00,2.698373e+00,3.275149e+00,2.752864e-01
3.180556e+00,1.186962e+00,1.889382e+00,1.848840e-01
3.194444e+00,2.277611e+00,3.107556e+00,5.069883e-01
3.208333e+00,1.760669e+00,9.289008e-01,2.737904e-01
3.222222e+00,1.929002e+00,1.040277e+00,4.906861e-01
3.236111e+00,1.637958e+00,7.637463e-01,7.787413e-01
3.250000e+00,1.323309e+00,9.351547e-01,7.763409e-01
3.263889e+00,1.547174e+00,2.260079e+00,4.137759e-01
3.277778e+00,1.683316e+00,2.273404e+00,2.973906e-01
3.291667e+00,1.357177e+00,1.911001e+00,9.611745e-01
3.305556e+00,1.623097e+00,4.119841e+00,1.712801e+00
3.319444e+00,3.309726e+00,3.083851e+00,8.711345e-01
3.333333e+00,4.805343e+00,1.313325e+00,4.155101e-01
3.347222e+00,2.029649e+00,3.466062e+00,6.399626e-01
3.361111e+00,1.240063e+00,1.055402e+00,7.295133e-01
3.375000e+00,2.916460e+00,3.553396e-01,4.537598e-01
3.388889e+00,1.906592e+00,1.446172e+00,4.196903e-01
3.402778e+00,1.561059e+00,1.762633e+00,2.774493e-01
3.416667e+00,1.057310e+00,1.403652e+00,5.709734e-01
3.430556e+00,1.306435e+00,2.260232e+00,4.437843e-02
3.444444e+00,3.720724e+00,3.135212e+00,6.101097e-01
3.458333e+00,2.633962e+00,1.584520e+00,4.511960e-01
3.472222e+00,5.101441e-01,8.214119e-01,8.727253e-01
3.486111e+00,1.660878e+00,3.017821e+00,8.403217e-01
3.500000e+00,1.746327e+00,3.506903e+00,4.290671e-01
3.513889e+00,1.985032e+00,1.541957e+00,6.586565e-01
3.527778e+00,1.689366e+00,1.109819e+00,7.104146e-01
3.541667e+00,2.176338e+00,1.231217e+00,6.307042e-01
3.555556e+00,7.453532e-01,2.628571e+00,3.159693e-01
3.569444e+00,2.245917e+00,3.755059e+00,3.635347e-01
3.583333e+00,2.864674e-01,1.070699e+00,7.264077e-01
3.597222e+00,1.930423e+00,2.615478e+00,1.181316e+00
3.611111e+00,1.009778e+00,1.611837e+00,3.199081e-01
3.625000e+00,3.258944e-01,5.927413e-01,4.503422e-01
3.638889e+00,2.015822e+00,3.458071e+00,3.500422e-01
3.652778e+00,9.996626e-01,1.491748e+00,1.061544e+00
3.666667e+00,5.246807e-01,7.033097e-01,2.527329e-01
3.680556e+00,8.017125e-01,2.126705e+00,6.285832e-01
3.694444e+00,4.276897e-01,1.891061e+00,5.495127e-01
3.708333e+00,5.563946e-01,1.716265e+00,8.735951e-02
3.722222e+00,4.489210e-01,1.348229e+00,4.630030e-01
3.736111e+00,7.414443e-01,1.285622e+00,2.772205e-01
3.750000e+00,1.277187e+00,1.292813e+00,3.915385e-01
3.763889e+00,7.877878e-01,2.004803e+00,1.195564e+00
3.777778e+00,1.653431e+00,1.098658e+00,7.026148e-01
