period,NS,EW,UD,H
2.000000e-02,1.329750e-02,4.988752e-03,4.823877e-02,1.420251e-02
2.129572e-02,1.901028e-02,7.122497e-03,6.904603e-02,2.030075e-02
2.267538e-02,2.143446e-02,8.029001e-03,7.786175e-02,2.288888e-02
2.414443e-02,2.274076e-02,8.518353e-03,8.260471e-02,2.428383e-02
2.570865e-02,2.360267e-02,8.841693e-03,8.573058e-02,2.520439e-02
2.737421e-02,2.460463e-02,9.184280e-03,8.912329e-02,2.626288e-02
2.914768e-02,2.515961e-02,9.373528e-03,9.119088e-02,2.684901e-02
3.103604e-02,2.864440e-02,1.060975e-02,1.053674e-01,3.054617e-02
3.304674e-02,3.193578e-02,1.180662e-02,1.176337e-01,3.404835e-02
3.518770e-02,3.269504e-02,1.205310e-02,1.207166e-01,3.484599e-02
3.746737e-02,3.101906e-02,1.138626e-02,1.149618e-01,3.304284e-02
3.989473e-02,3.039807e-02,1.155257e-02,1.090513e-01,3.251929e-02
4.247935e-02,3.600593e-02,1.365896e-02,1.293741e-01,3.850966e-02
4.523142e-02,4.130705e-02,1.565005e-02,1.485860e-01,4.417235e-02
4.816178e-02,4.627633e-02,1.751643e-02,1.665959e-01,4.948055e-02
5.128199e-02,5.090207e-02,1.925374e-02,1.833610e-01,5.442176e-02
5.460434e-02,5.518279e-02,2.086144e-02,1.988759e-01,5.899441e-02
5.814194e-02,5.912463e-02,2.234183e-02,2.131628e-01,6.320506e-02
6.190872e-02,6.273917e-02,2.369929e-02,2.262637e-01,6.706609e-02
6.591954e-02,6.604179e-02,2.493959e-02,2.382340e-01,7.059392e-02
7.019020e-02,6.905025e-02,2.606942e-02,2.491382e-01,7.380753e-02
7.473754e-02,7.178370e-02,2.709596e-02,2.590457e-01,7.672737e-02
7.957948e-02,7.426185e-02,2.802661e-02,2.680279e-01,7.937451e-02
8.473512e-02,7.671250e-02,2.937532e-02,2.761561e-01,8.214449e-02
9.022476e-02,8.410327e-02,3.216220e-02,2.996273e-01,9.004314e-02
9.607006e-02,9.095521e-02,3.474560e-02,3.243760e-01,9.736584e-02
1.022941e-01,9.727552e-02,3.712832e-02,3.472066e-01,1.041203e-01
1.089213e-01,1.030803e-01,3.931650e-02,3.681763e-01,1.103238e-01
1.159778e-01,1.083919e-01,4.131864e-02,3.873656e-01,1.160001e-01
1.234916e-01,1.168806e-01,4.502690e-02,4.120126e-01,1.252537e-01
1.314921e-01,1.268079e-01,4.878515e-02,4.477238e-01,1.358685e-01
1.400110e-01,1.359964e-01,5.226308e-02,4.807828e-01,1.456930e-01
1.490817e-01,1.444604e-01,6.011356e-02,5.112394e-01,1.564687e-01
1.587401e-01,1.522252e-01,5.840453e-02,5.391830e-01,1.630448e-01
1.690242e-01,1.622137e-01,6.291740e-02,5.667024e-01,1.739882e-01
1.799746e-01,1.741104e-01,7.184125e-02,6.093290e-01,1.883497e-01
1.916345e-01,1.850750e-01,9.808678e-02,6.486238e-01,2.094607e-01
2.040497e-01,1.981064e-01,1.142151e-01,6.860819e-01,2.286727e-01
2.172693e-01,2.129497e-01,1.288103e-01,7.390425e-01,2.488768e-01
2.313453e-01,2.266460e-01,1.309422e-01,7.879233e-01,2.617523e-01
2.463332e-01,2.403759e-01,1.367560e-01,8.328421e-01,2.765552e-01
2.622921e-01,2.575380e-01,1.686215e-01,8.888613e-01,3.078296e-01
2.792850e-01,2.735022e-01,1.815195e-01,9.450795e-01,3.282571e-01
2.973787e-01,2.993970e-01,2.138561e-01,1.009921e+00,3.679307e-01
3.166447e-01,3.397530e-01,2.280834e-01,1.076352e+00,4.092116e-01
3.371588e-01,3.330362e-01,3.014279e-01,1.141687e+00,4.491903e-01
3.590020e-01,3.543622e-01,3.299989e-01,1.216973e+00,4.842229e-01
3.822603e-01,4.352353e-01,3.556017e-01,1.298181e+00,5.620341e-01
4.070254e-01,5.205353e-01,4.407327e-01,1.380778e+00,6.820574e-01
4.333949e-01,5.443241e-01,4.617292e-01,1.469822e+00,7.137805e-01
4.614729e-01,6.514752e-01,5.400693e-01,1.565210e+00,8.462238e-01
4.913698e-01,8.134861e-01,5.178644e-01,1.665610e+00,9.643356e-01
5.232037e-01,7.756249e-01,5.405195e-01,1.772855e+00,9.453863e-01
5.571000e-01,6.494144e-01,5.760684e-01,1.889356e+00,8.680979e-01
5.931922e-01,5.949575e-01,6.625550e-01,2.009289e+00,8.904794e-01
6.316228e-01,6.917143e-01,7.394277e-01,2.140233e+00,1.012532e+00
6.725431e-01,7.696329e-01,7.698007e-01,2.276320e+00,1.088544e+00
7.161144e-01,7.752794e-01,8.639057e-01,2.423601e+00,1.160772e+00
7.625086e-01,8.493511e-01,8.042633e-01,2.577084e+00,1.169717e+00
8.119085e-01,1.304183e+00,8.185507e-01,2.742492e+00,1.539778e+00
8.645087e-01,1.858154e+00,8.021460e-01,2.915314e+00,2.023900e+00
9.205168e-01,1.875588e+00,8.810099e-01,3.101967e+00,2.072199e+00
9.801534e-01,1.401892e+00,7.724920e-01,3.303496e+00,1.600639e+00
1.043654e+00,1.572698e+00,8.344915e-01,3.517598e+00,1.780381e+00
1.111268e+00,1.583453e+00,1.039960e+00,3.745356e+00,1.894423e+00
1.183262e+00,1.237335e+00,1.464122e+00,3.990671e+00,1.916938e+00
1.259921e+00,1.338108e+00,1.882536e+00,4.251492e+00,2.309648e+00
1.341546e+00,1.443068e+00,1.977938e+00,4.529037e+00,2.448404e+00
1.428460e+00,1.552595e+00,1.807285e+00,4.826710e+00,2.382610e+00
1.521004e+00,1.666665e+00,1.692289e+00,5.147215e+00,2.375209e+00
1.619544e+00,1.784166e+00,1.508746e+00,5.486703e+00,2.336571e+00
1.724467e+00,1.901471e+00,1.460576e+00,5.843939e+00,2.397681e+00
1.836189e+00,2.019172e+00,1.047892e+00,6.220168e+00,2.274892e+00
1.955148e+00,2.137240e+00,1.071423e+00,6.618934e+00,2.390761e+00
2.081814e+00,2.257639e+00,1.305835e+00,7.048492e+00,2.608091e+00
2.216686e+00,2.385299e+00,1.233845e+00,7.512497e+00,2.685522e+00
2.360297e+00,2.526997e+00,1.435645e+00,8.007224e+00,2.906336e+00
2.513211e+00,2.676783e+00,1.491079e+00,8.524938e+00,3.064063e+00
2.676031e+00,2.836340e+00,1.589307e+00,9.073438e+00,3.251264e+00
2.849401e+00,3.005426e+00,1.829774e+00,9.665111e+00,3.518616e+00
3.034002e+00,3.186843e+00,2.134217e+00,1.030040e+01,3.835473e+00
3.230563e+00,3.393842e+00,1.986860e+00,1.097566e+01,3.932655e+00
3.439858e+00,3.630691e+00,2.329706e+00,1.169873e+01,4.313867e+00
3.662712e+00,3.877644e+00,2.036782e+00,1.245539e+01,4.380023e+00
3.900005e+00,4.128872e+00,2.218212e+00,1.324197e+01,4.687009e+00
4.152671e+00,4.384575e+00,2.511751e+00,1.408573e+01,5.053057e+00
4.421705e+00,4.650162e+00,1.907475e+00,1.500760e+01,5.026178e+00
4.708170e+00,4.973779e+00,2.237705e+00,1.599337e+01,5.453971e+00
5.013193e+00,5.321451e+00,2.429654e+00,1.702332e+01,5.849877e+00
5.337978e+00,5.673220e+00,2.308264e+00,1.809317e+01,6.124828e+00
5.683804e+00,6.021853e+00,2.502082e+00,1.926576e+01,6.520976e+00
6.052035e+00,6.399118e+00,2.696061e+00,2.056261e+01,6.943879e+00
6.444122e+00,6.837325e+00,2.878325e+00,2.190006e+01,7.418475e+00
6.861610e+00,7.271706e+00,3.049150e+00,2.330954e+01,7.885115e+00
7.306147e+00,7.707134e+00,3.209681e+00,2.482093e+01,8.348771e+00
7.779482e+00,8.241958e+00,3.369983e+00,2.644035e+01,8.904306e+00
8.283484e+00,8.812082e+00,3.586818e+00,2.816344e+01,9.514098e+00
8.820137e+00,9.402705e+00,3.821853e+00,3.001567e+01,1.014975e+01
9.391559e+00,1.000976e+01,4.050431e+00,3.197868e+01,1.079820e+01
1.000000e+01,1.067391e+01,4.302677e+00,3.405286e+01,1.150849e+01
